,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
10,Either Laquisha or Dustin is a builder,Laquisha is a builder,0.684,0.287,0.030,entailment,Dustin is a builder,0.893,0.078,0.029,entailment,0.417,Either Dustin or Laquisha is a builder,Laquisha is a builder,0.752,0.226,0.022,entailment,Dustin is a builder,0.763,0.180,0.057,entailment,0.092,0.136,0.260,0.396
11,Either Emily or Cody is a mechanic,Emily is a mechanic,0.531,0.368,0.100,entailment,Cody is a mechanic,0.513,0.403,0.084,entailment,0.071,Either Cody or Emily is a mechanic,Emily is a mechanic,0.445,0.414,0.141,entailment,Cody is a mechanic,0.491,0.415,0.094,entailment,0.094,0.173,0.045,0.218
12,Either Maggie or Rocco is a CEO,Maggie is a CEO,0.506,0.318,0.176,entailment,Rocco is a CEO,0.644,0.204,0.153,entailment,0.275,Either Rocco or Maggie is a CEO,Maggie is a CEO,0.719,0.179,0.102,entailment,Rocco is a CEO,0.588,0.230,0.182,entailment,0.263,0.426,0.112,0.538
13,Either Sara or Sheng Lee is a servant,Sara is a servant,0.689,0.225,0.086,entailment,Sheng Lee is a servant,0.773,0.142,0.085,entailment,0.169,Either Sheng Lee or Sara is a servant,Sara is a servant,0.766,0.167,0.067,entailment,Sheng Lee is a servant,0.747,0.177,0.076,entailment,0.039,0.155,0.070,0.225
14,Either Lea or Rocco is an engineer,Lea is an engineer,0.674,0.304,0.023,entailment,Rocco is an engineer,0.745,0.224,0.031,entailment,0.159,Either Rocco or Lea is an engineer,Lea is an engineer,0.653,0.322,0.025,entailment,Rocco is an engineer,0.682,0.281,0.037,entailment,0.082,0.041,0.125,0.166
15,Either Cynthia or Chen Wee is a guitarist,Cynthia is a guitarist,0.677,0.286,0.037,entailment,Chen Wee is a guitarist,0.804,0.150,0.046,entailment,0.273,Either Chen Wee or Cynthia is a guitarist,Cynthia is a guitarist,0.660,0.296,0.044,entailment,Chen Wee is a guitarist,0.778,0.156,0.066,entailment,0.281,0.034,0.053,0.086
16,Either Fabioloa or Lars is a groom,Fabioloa is a groom,0.777,0.135,0.088,entailment,Lars is a groom,0.769,0.161,0.070,entailment,0.053,Either Lars or Fabioloa is a groom,Fabioloa is a groom,0.796,0.122,0.082,entailment,Lars is a groom,0.743,0.167,0.090,entailment,0.106,0.037,0.053,0.090
17,Either Tasha or Jamel is a judge,Tasha is a judge,0.506,0.371,0.123,entailment,Jamel is a judge,0.701,0.174,0.124,entailment,0.392,Either Jamel or Tasha is a judge,Tasha is a judge,0.766,0.182,0.052,entailment,Jamel is a judge,0.801,0.138,0.060,entailment,0.088,0.521,0.201,0.722
18,Either Shannon or Vince is a musician,Shannon is a musician,0.650,0.241,0.109,entailment,Vince is a musician,0.765,0.149,0.086,entailment,0.230,Either Vince or Shannon is a musician,Shannon is a musician,0.676,0.176,0.148,entailment,Vince is a musician,0.761,0.174,0.065,entailment,0.171,0.130,0.050,0.180
19,Either Maya or Steven is a theologian,Maya is a theologian,0.561,0.341,0.098,entailment,Steven is a theologian,0.616,0.220,0.165,entailment,0.243,Either Steven or Maya is a theologian,Maya is a theologian,0.511,0.380,0.109,entailment,Steven is a theologian,0.434,0.279,0.287,entailment,0.356,0.100,0.364,0.464
20,Either Molly or John is a librarian,Molly is a librarian,0.732,0.234,0.034,entailment,John is a librarian,0.486,0.365,0.149,entailment,0.490,Either John or Molly is a librarian,Molly is a librarian,0.615,0.319,0.066,entailment,John is a librarian,0.452,0.405,0.142,entailment,0.326,0.233,0.081,0.313
21,Either Sue or Mitchell is a detective,Sue is a detective,0.469,0.459,0.072,entailment,Mitchell is a detective,0.536,0.347,0.117,entailment,0.225,Either Mitchell or Sue is a detective,Sue is a detective,0.509,0.417,0.075,entailment,Mitchell is a detective,0.608,0.287,0.106,entailment,0.261,0.085,0.144,0.228
22,Either Joanne or Lars is a handball player,Joanne is a handball player,0.790,0.167,0.043,entailment,Lars is a handball player,0.851,0.123,0.027,entailment,0.121,Either Lars or Joanne is a handball player,Joanne is a handball player,0.844,0.126,0.029,entailment,Lars is a handball player,0.819,0.136,0.045,entailment,0.051,0.108,0.064,0.172
23,Either Precious or Dustin is an arts,Precious is an arts,0.834,0.094,0.072,entailment,Dustin is an arts,0.683,0.099,0.218,entailment,0.302,Either Dustin or Precious is an arts,Precious is an arts,0.719,0.158,0.123,entailment,Dustin is an arts,0.683,0.116,0.202,entailment,0.157,0.229,0.034,0.263
24,Either Nia or Chan is a director,Nia is a director,0.692,0.252,0.056,entailment,Chan is a director,0.747,0.172,0.082,entailment,0.161,Either Chan or Nia is a director,Nia is a director,0.673,0.249,0.078,entailment,Chan is a director,0.739,0.188,0.073,entailment,0.130,0.044,0.033,0.077
25,Either Barbara or Marquis is a detective,Barbara is a detective,0.649,0.263,0.087,entailment,Marquis is a detective,0.578,0.318,0.104,entailment,0.143,Either Marquis or Barbara is a detective,Barbara is a detective,0.560,0.333,0.108,entailment,Marquis is a detective,0.611,0.315,0.074,entailment,0.103,0.180,0.066,0.246
26,Either Lea or Fred is a musician,Lea is a musician,0.765,0.186,0.049,entailment,Fred is a musician,0.623,0.259,0.118,entailment,0.285,Either Fred or Lea is a musician,Lea is a musician,0.674,0.229,0.097,entailment,Fred is a musician,0.513,0.368,0.119,entailment,0.323,0.181,0.220,0.401
27,Either Candy or Ronnie is an astronomer,Candy is an astronomer,0.598,0.294,0.108,entailment,Ronnie is an astronomer,0.629,0.196,0.174,entailment,0.195,Either Ronnie or Candy is an astronomer,Candy is an astronomer,0.525,0.366,0.109,entailment,Ronnie is an astronomer,0.457,0.303,0.240,entailment,0.263,0.146,0.345,0.491
28,Either Shelly or LeBron is a diplomat,Shelly is a diplomat,0.802,0.163,0.035,entailment,LeBron is a diplomat,0.841,0.125,0.034,entailment,0.078,Either LeBron or Shelly is a diplomat,Shelly is a diplomat,0.713,0.216,0.071,entailment,LeBron is a diplomat,0.753,0.207,0.040,entailment,0.081,0.179,0.176,0.355
29,Either Benny or Chan is a historian,Benny is a historian,0.258,0.563,0.179,neutral,Chan is a historian,0.399,0.467,0.134,neutral,0.283,Either Chan or Benny is a historian,Benny is a historian,0.444,0.449,0.106,neutral,Chan is a historian,0.428,0.440,0.132,neutral,0.051,0.373,0.058,0.431
30,Either Jacqui or Steven is an athlete,Jacqui is an athlete,0.567,0.355,0.078,entailment,Steven is an athlete,0.525,0.363,0.112,entailment,0.085,Either Steven or Jacqui is an athlete,Jacqui is an athlete,0.513,0.342,0.145,entailment,Steven is an athlete,0.601,0.321,0.078,entailment,0.176,0.134,0.153,0.287
31,Either Cathy or Treyvone is an agent,Cathy is an agent,0.680,0.224,0.096,entailment,Treyvone is an agent,0.681,0.229,0.090,entailment,0.012,Either Treyvone or Cathy is an agent,Cathy is an agent,0.659,0.247,0.094,entailment,Treyvone is an agent,0.590,0.303,0.107,entailment,0.138,0.047,0.182,0.229
32,Either Janet or Jesus is a manager,Janet is a manager,0.706,0.172,0.121,entailment,Jesus is a manager,0.395,0.402,0.203,neutral,0.623,Either Jesus or Janet is a manager,Janet is a manager,0.814,0.101,0.085,entailment,Jesus is a manager,0.209,0.546,0.245,neutral,1.210,0.215,0.373,0.588
33,Either Sharon or Vince is a psychologist,Sharon is a psychologist,0.593,0.341,0.066,entailment,Vince is a psychologist,0.826,0.122,0.052,entailment,0.466,Either Vince or Sharon is a psychologist,Sharon is a psychologist,0.717,0.223,0.059,entailment,Vince is a psychologist,0.758,0.171,0.071,entailment,0.105,0.249,0.136,0.385
34,Either Ellen or Jose is a radiologist,Ellen is a radiologist,0.593,0.276,0.131,entailment,Jose is a radiologist,0.622,0.224,0.154,entailment,0.105,Either Jose or Ellen is a radiologist,Ellen is a radiologist,0.528,0.311,0.161,entailment,Jose is a radiologist,0.511,0.294,0.195,entailment,0.068,0.131,0.222,0.353
35,Either Candice or Louis is a mathematician,Candice is a mathematician,0.689,0.280,0.031,entailment,Louis is a mathematician,0.803,0.170,0.027,entailment,0.227,Either Louis or Candice is a mathematician,Candice is a mathematician,0.757,0.213,0.030,entailment,Louis is a mathematician,0.722,0.236,0.042,entailment,0.071,0.135,0.163,0.298
36,Either Megan or Vince is an attourney,Megan is an attourney,0.324,0.527,0.149,neutral,Vince is an attourney,0.438,0.390,0.172,entailment,0.274,Either Vince or Megan is an attourney,Megan is an attourney,0.302,0.502,0.195,neutral,Vince is an attourney,0.428,0.406,0.166,entailment,0.251,0.094,0.032,0.126
37,Either Roberta or Treyvone is an umpire,Roberta is an umpire,0.544,0.307,0.149,entailment,Treyvone is an umpire,0.656,0.213,0.131,entailment,0.223,Either Treyvone or Roberta is an umpire,Roberta is an umpire,0.646,0.228,0.126,entailment,Treyvone is an umpire,0.626,0.246,0.128,entailment,0.040,0.204,0.066,0.270
38,Either Marianne or Joe is a mover,Marianne is a mover,0.133,0.788,0.079,neutral,Joe is a mover,0.236,0.693,0.071,neutral,0.206,Either Joe or Marianne is a mover,Marianne is a mover,0.242,0.650,0.108,neutral,Joe is a mover,0.122,0.796,0.082,neutral,0.292,0.275,0.228,0.503
39,Either Beyonce or Shane is a manager,Beyonce is a manager,0.749,0.198,0.053,entailment,Shane is a manager,0.805,0.117,0.078,entailment,0.162,Either Shane or Beyonce is a manager,Beyonce is a manager,0.730,0.167,0.103,entailment,Shane is a manager,0.808,0.123,0.069,entailment,0.157,0.100,0.019,0.119
40,Either Ruby or Scott is a laborer,Ruby is a laborer,0.787,0.160,0.053,entailment,Scott is a laborer,0.719,0.185,0.096,entailment,0.135,Either Scott or Ruby is a laborer,Ruby is a laborer,0.807,0.147,0.047,entailment,Scott is a laborer,0.787,0.162,0.052,entailment,0.040,0.039,0.135,0.174
41,Either Barbara or Ramon is an arts,Barbara is an arts,0.782,0.097,0.121,entailment,Ramon is an arts,0.627,0.191,0.182,entailment,0.309,Either Ramon or Barbara is an arts,Barbara is an arts,0.553,0.230,0.217,entailment,Ramon is an arts,0.745,0.148,0.106,entailment,0.385,0.458,0.236,0.694
42,Either Ellen or Kevin is a singer,Ellen is a singer,0.743,0.182,0.075,entailment,Kevin is a singer,0.519,0.294,0.188,entailment,0.449,Either Kevin or Ellen is a singer,Ellen is a singer,0.431,0.307,0.262,entailment,Kevin is a singer,0.589,0.302,0.109,entailment,0.316,0.623,0.158,0.781
43,Either Roberta or Rocco is a professor,Roberta is a professor,0.779,0.152,0.069,entailment,Rocco is a professor,0.779,0.140,0.081,entailment,0.025,Either Rocco or Roberta is a professor,Roberta is a professor,0.810,0.121,0.069,entailment,Rocco is a professor,0.761,0.148,0.091,entailment,0.099,0.063,0.037,0.100
44,Either Joanne or Trevon is a firefighter,Joanne is a firefighter,0.588,0.356,0.056,entailment,Trevon is a firefighter,0.761,0.204,0.036,entailment,0.344,Either Trevon or Joanne is a firefighter,Joanne is a firefighter,0.678,0.292,0.030,entailment,Trevon is a firefighter,0.804,0.172,0.024,entailment,0.251,0.179,0.086,0.265
45,Either Maya or Shane is a performing artist,Maya is a performing artist,0.886,0.081,0.034,entailment,Shane is a performing artist,0.720,0.149,0.131,entailment,0.331,Either Shane or Maya is a performing artist,Maya is a performing artist,0.558,0.225,0.218,entailment,Shane is a performing artist,0.692,0.165,0.143,entailment,0.269,0.656,0.056,0.713
46,Either Tessa or Robert is a firefighter,Tessa is a firefighter,0.525,0.437,0.038,entailment,Robert is a firefighter,0.849,0.122,0.029,entailment,0.648,Either Robert or Tessa is a firefighter,Tessa is a firefighter,0.474,0.477,0.049,neutral,Robert is a firefighter,0.753,0.214,0.033,entailment,0.559,0.103,0.191,0.294
47,Either Carla or Jones is a chief,Carla is a chief,0.307,0.514,0.179,neutral,Jones is a chief,0.221,0.578,0.201,neutral,0.172,Either Jones or Carla is a chief,Carla is a chief,0.369,0.426,0.206,neutral,Jones is a chief,0.195,0.616,0.189,neutral,0.381,0.177,0.076,0.253
48,Either Janet or John is an auditor,Janet is an auditor,0.592,0.308,0.100,entailment,John is an auditor,0.345,0.465,0.191,neutral,0.495,Either John or Janet is an auditor,Janet is an auditor,0.541,0.326,0.133,entailment,John is an auditor,0.397,0.419,0.184,neutral,0.289,0.102,0.105,0.206
49,Either Katie or Micheal is a judge,Katie is a judge,0.327,0.440,0.232,neutral,Micheal is a judge,0.742,0.179,0.079,entailment,0.829,Either Micheal or Katie is a judge,Katie is a judge,0.547,0.248,0.205,entailment,Micheal is a judge,0.699,0.196,0.106,entailment,0.303,0.440,0.086,0.526
50,Either Nina or LeShawn is a magician,Nina is a magician,0.580,0.371,0.049,entailment,LeShawn is a magician,0.737,0.210,0.053,entailment,0.322,Either LeShawn or Nina is a magician,Nina is a magician,0.724,0.240,0.036,entailment,LeShawn is a magician,0.662,0.252,0.085,entailment,0.123,0.288,0.150,0.438
51,Either Heather or Kevin is a banker,Heather is a banker,0.703,0.201,0.095,entailment,Kevin is a banker,0.760,0.174,0.066,entailment,0.114,Either Kevin or Heather is a banker,Heather is a banker,0.509,0.310,0.181,entailment,Kevin is a banker,0.583,0.316,0.101,entailment,0.159,0.389,0.355,0.744
52,Either Claire or Jamie is a receptionist,Claire is a receptionist,0.868,0.106,0.025,entailment,Jamie is a receptionist,0.726,0.200,0.073,entailment,0.284,Either Jamie or Claire is a receptionist,Claire is a receptionist,0.813,0.153,0.034,entailment,Jamie is a receptionist,0.619,0.233,0.148,entailment,0.387,0.112,0.215,0.326
53,Either Joanne or Javier is a guitarist,Joanne is a guitarist,0.485,0.458,0.057,entailment,Javier is a guitarist,0.790,0.156,0.054,entailment,0.610,Either Javier or Joanne is a guitarist,Joanne is a guitarist,0.520,0.424,0.056,entailment,Javier is a guitarist,0.845,0.127,0.028,entailment,0.651,0.069,0.110,0.179
54,Either Sharon or Jim is a plumber,Sharon is a plumber,0.628,0.332,0.040,entailment,Jim is a plumber,0.783,0.165,0.052,entailment,0.335,Either Jim or Sharon is a plumber,Sharon is a plumber,0.697,0.266,0.037,entailment,Jim is a plumber,0.607,0.289,0.105,entailment,0.181,0.139,0.353,0.491
55,Either Tina or David is an engineer,Tina is an engineer,0.401,0.535,0.064,neutral,David is an engineer,0.586,0.348,0.067,entailment,0.375,Either David or Tina is an engineer,Tina is an engineer,0.383,0.570,0.047,neutral,David is an engineer,0.506,0.408,0.087,entailment,0.324,0.069,0.160,0.229
56,Either Raven or Vince is a farmer,Raven is a farmer,0.610,0.291,0.100,entailment,Vince is a farmer,0.763,0.146,0.091,entailment,0.307,Either Vince or Raven is a farmer,Raven is a farmer,0.646,0.277,0.077,entailment,Vince is a farmer,0.730,0.172,0.099,entailment,0.211,0.073,0.066,0.139
57,Either Ellen or Dylan is a drawer,Ellen is a drawer,0.556,0.206,0.237,entailment,Dylan is a drawer,0.473,0.150,0.377,entailment,0.280,Either Dylan or Ellen is a drawer,Ellen is a drawer,0.373,0.245,0.381,contradiction,Dylan is a drawer,0.588,0.140,0.272,entailment,0.428,0.366,0.230,0.595
58,Either Tuppence or LeShawn is a performing artist,Tuppence is a performing artist,0.880,0.077,0.042,entailment,LeShawn is a performing artist,0.847,0.084,0.069,entailment,0.067,Either LeShawn or Tuppence is a performing artist,Tuppence is a performing artist,0.898,0.070,0.032,entailment,LeShawn is a performing artist,0.829,0.083,0.088,entailment,0.139,0.036,0.039,0.075
59,Either Carla or Aaron is a janitor,Carla is a janitor,0.670,0.266,0.064,entailment,Aaron is a janitor,0.621,0.216,0.163,entailment,0.199,Either Aaron or Carla is a janitor,Carla is a janitor,0.661,0.226,0.113,entailment,Aaron is a janitor,0.595,0.243,0.162,entailment,0.131,0.099,0.054,0.153
60,Either Megan or Dylan is a lifeguard,Megan is a lifeguard,0.356,0.552,0.092,neutral,Dylan is a lifeguard,0.467,0.441,0.092,entailment,0.223,Either Dylan or Megan is a lifeguard,Megan is a lifeguard,0.458,0.410,0.131,entailment,Dylan is a lifeguard,0.435,0.421,0.144,entailment,0.046,0.284,0.103,0.387
61,Either Marianne or Edward is an agent,Marianne is an agent,0.545,0.377,0.078,entailment,Edward is an agent,0.719,0.205,0.076,entailment,0.347,Either Edward or Marianne is an agent,Marianne is an agent,0.517,0.385,0.098,entailment,Edward is an agent,0.510,0.326,0.164,entailment,0.133,0.056,0.418,0.474
62,Either Beth or Zack is a sociologist,Beth is a sociologist,0.536,0.375,0.089,entailment,Zack is a sociologist,0.651,0.232,0.117,entailment,0.286,Either Zack or Beth is a sociologist,Beth is a sociologist,0.554,0.363,0.083,entailment,Zack is a sociologist,0.643,0.228,0.129,entailment,0.270,0.036,0.025,0.060
63,Either Cindy or Aaron is an army,Cindy is an army,0.456,0.393,0.151,entailment,Aaron is an army,0.530,0.284,0.186,entailment,0.219,Either Aaron or Cindy is an army,Cindy is an army,0.367,0.446,0.188,neutral,Aaron is an army,0.400,0.317,0.284,entailment,0.258,0.179,0.261,0.439
64,Either Ruby or Terrance is an employee,Ruby is an employee,0.910,0.071,0.019,entailment,Terrance is an employee,0.746,0.191,0.062,entailment,0.328,Either Terrance or Ruby is an employee,Ruby is an employee,0.855,0.110,0.034,entailment,Terrance is an employee,0.841,0.127,0.032,entailment,0.034,0.110,0.189,0.299
65,Either Candace or Micheal is a teacher,Candace is a teacher,0.745,0.213,0.041,entailment,Micheal is a teacher,0.889,0.092,0.019,entailment,0.287,Either Micheal or Candace is a teacher,Candace is a teacher,0.870,0.104,0.027,entailment,Micheal is a teacher,0.851,0.120,0.029,entailment,0.037,0.249,0.075,0.324
66,Either Erica or Vince is a cleaner,Erica is a cleaner,0.625,0.258,0.116,entailment,Vince is a cleaner,0.770,0.153,0.077,entailment,0.289,Either Vince or Erica is a cleaner,Erica is a cleaner,0.528,0.277,0.196,entailment,Vince is a cleaner,0.681,0.234,0.085,entailment,0.307,0.195,0.177,0.373
67,Either Monique or Fred is a secretary,Monique is a secretary,0.640,0.249,0.111,entailment,Fred is a secretary,0.673,0.199,0.128,entailment,0.099,Either Fred or Monique is a secretary,Monique is a secretary,0.665,0.202,0.133,entailment,Fred is a secretary,0.507,0.316,0.177,entailment,0.315,0.094,0.332,0.425
68,Either Janice or Jake is an employee,Janice is an employee,0.844,0.134,0.022,entailment,Jake is an employee,0.700,0.224,0.076,entailment,0.287,Either Jake or Janice is an employee,Janice is an employee,0.709,0.238,0.053,entailment,Jake is an employee,0.688,0.227,0.085,entailment,0.064,0.269,0.023,0.292
69,Either Shevon or Terrance is a pilot,Shevon is a pilot,0.455,0.408,0.137,entailment,Terrance is a pilot,0.587,0.315,0.098,entailment,0.265,Either Terrance or Shevon is a pilot,Shevon is a pilot,0.541,0.341,0.118,entailment,Terrance is a pilot,0.704,0.240,0.057,entailment,0.326,0.171,0.232,0.403
70,Either Bai or DeShawn is a fireman,Bai is a fireman,0.804,0.168,0.028,entailment,DeShawn is a fireman,0.860,0.117,0.022,entailment,0.112,Either DeShawn or Bai is a fireman,Bai is a fireman,0.848,0.134,0.019,entailment,DeShawn is a fireman,0.771,0.192,0.037,entailment,0.153,0.087,0.178,0.265
71,Either Jenna or Fred is a hostess,Jenna is a hostess,0.542,0.282,0.177,entailment,Fred is a hostess,0.379,0.348,0.273,entailment,0.324,Either Fred or Jenna is a hostess,Jenna is a hostess,0.461,0.336,0.203,entailment,Fred is a hostess,0.261,0.470,0.268,neutral,0.399,0.161,0.245,0.406
72,Either Diamond or Kariem is a secretary,Diamond is a secretary,0.840,0.105,0.055,entailment,Kariem is a secretary,0.919,0.057,0.024,entailment,0.158,Either Kariem or Diamond is a secretary,Diamond is a secretary,0.861,0.103,0.036,entailment,Kariem is a secretary,0.903,0.064,0.033,entailment,0.083,0.042,0.033,0.075
73,Either Bai or DeShawn is a lifeguard,Bai is a lifeguard,0.640,0.290,0.070,entailment,DeShawn is a lifeguard,0.705,0.237,0.059,entailment,0.130,Either DeShawn or Bai is a lifeguard,Bai is a lifeguard,0.712,0.239,0.049,entailment,DeShawn is a lifeguard,0.584,0.338,0.078,entailment,0.256,0.144,0.242,0.385
74,Either Olga or Jafari is a tailor,Olga is a tailor,0.867,0.112,0.021,entailment,Jafari is a tailor,0.885,0.102,0.014,entailment,0.036,Either Jafari or Olga is a tailor,Olga is a tailor,0.872,0.111,0.017,entailment,Jafari is a tailor,0.786,0.174,0.040,entailment,0.172,0.011,0.197,0.208
75,Either Candace or Jafari is a comedian,Candace is a comedian,0.896,0.080,0.024,entailment,Jafari is a comedian,0.917,0.068,0.015,entailment,0.041,Either Jafari or Candace is a comedian,Candace is a comedian,0.913,0.067,0.020,entailment,Jafari is a comedian,0.867,0.103,0.030,entailment,0.092,0.034,0.099,0.133
76,Either Cathy or Fred is a barber,Cathy is a barber,0.635,0.291,0.074,entailment,Fred is a barber,0.604,0.321,0.075,entailment,0.061,Either Fred or Cathy is a barber,Cathy is a barber,0.701,0.235,0.064,entailment,Fred is a barber,0.394,0.534,0.072,neutral,0.614,0.133,0.426,0.558
77,Either Marianne or Tyresse is a performing artist,Marianne is a performing artist,0.856,0.092,0.051,entailment,Tyresse is a performing artist,0.827,0.114,0.060,entailment,0.059,Either Tyresse or Marianne is a performing artist,Marianne is a performing artist,0.837,0.096,0.067,entailment,Tyresse is a performing artist,0.820,0.114,0.066,entailment,0.037,0.039,0.014,0.053
78,Either Craig or Chang Lee is a postman,Craig is a postman,0.703,0.233,0.063,entailment,Chang Lee is a postman,0.787,0.154,0.058,entailment,0.168,Either Chang Lee or Craig is a postman,Craig is a postman,0.811,0.155,0.034,entailment,Chang Lee is a postman,0.853,0.110,0.037,entailment,0.089,0.216,0.131,0.348
79,Either Liz or Juan is a pilot,Liz is a pilot,0.445,0.413,0.143,entailment,Juan is a pilot,0.555,0.326,0.119,entailment,0.221,Either Juan or Liz is a pilot,Liz is a pilot,0.318,0.555,0.128,neutral,Juan is a pilot,0.588,0.270,0.142,entailment,0.569,0.284,0.111,0.395
80,Either Erica or Mark is an agent,Erica is an agent,0.673,0.211,0.115,entailment,Mark is an agent,0.727,0.177,0.096,entailment,0.106,Either Mark or Erica is an agent,Erica is an agent,0.544,0.252,0.204,entailment,Mark is an agent,0.576,0.254,0.170,entailment,0.067,0.258,0.301,0.559
81,Either Monique or Chen Wu is an academic,Monique is an academic,0.440,0.516,0.043,neutral,Chen Wu is an academic,0.840,0.135,0.025,entailment,0.798,Either Chen Wu or Monique is an academic,Monique is an academic,0.455,0.504,0.040,neutral,Chen Wu is an academic,0.823,0.145,0.032,entailment,0.735,0.030,0.034,0.063
82,Either Joan or Chan is a clerk,Joan is a clerk,0.827,0.132,0.041,entailment,Chan is a clerk,0.769,0.167,0.065,entailment,0.116,Either Chan or Joan is a clerk,Joan is a clerk,0.856,0.105,0.039,entailment,Chan is a clerk,0.841,0.115,0.044,entailment,0.030,0.058,0.144,0.202
83,Either Liz or Malik is a grocer,Liz is a grocer,0.610,0.222,0.167,entailment,Malik is a grocer,0.823,0.104,0.073,entailment,0.425,Either Malik or Liz is a grocer,Liz is a grocer,0.608,0.223,0.169,entailment,Malik is a grocer,0.764,0.131,0.106,entailment,0.311,0.004,0.119,0.123
84,Either Candace or Juan is a cook,Candace is a cook,0.840,0.137,0.023,entailment,Juan is a cook,0.896,0.075,0.029,entailment,0.125,Either Juan or Candace is a cook,Candace is a cook,0.765,0.186,0.049,entailment,Juan is a cook,0.859,0.105,0.036,entailment,0.188,0.149,0.074,0.223
85,Either Bai or Jim is a secretary,Bai is a secretary,0.821,0.117,0.061,entailment,Jim is a secretary,0.814,0.094,0.091,entailment,0.060,Either Jim or Bai is a secretary,Bai is a secretary,0.614,0.197,0.189,entailment,Jim is a secretary,0.449,0.250,0.302,entailment,0.330,0.415,0.731,1.147
86,Either Katie or Dustin is a director,Katie is a director,0.456,0.360,0.184,entailment,Dustin is a director,0.530,0.227,0.243,entailment,0.265,Either Dustin or Katie is a director,Katie is a director,0.454,0.347,0.199,entailment,Dustin is a director,0.612,0.215,0.174,entailment,0.314,0.030,0.163,0.193
