,0,1,2,3
24,Neither Nia or Chan is a director[SEP]Nia is not a director,Neither Nia or Chan is a director[SEP]Chan is not a director,Neither Chan or Nia is a director[SEP]Nia is not a director,Neither Chan or Nia is a director[SEP]Chan is not a director
25,Neither Barbara or Marquis is a detective[SEP]Barbara is not a detective,Neither Barbara or Marquis is a detective[SEP]Marquis is not a detective,Neither Marquis or Barbara is a detective[SEP]Barbara is not a detective,Neither Marquis or Barbara is a detective[SEP]Marquis is not a detective
26,Neither Lea or Fred is a musician[SEP]Lea is not a musician,Neither Lea or Fred is a musician[SEP]Fred is not a musician,Neither Fred or Lea is a musician[SEP]Lea is not a musician,Neither Fred or Lea is a musician[SEP]Fred is not a musician
27,Neither Candy or Ronnie is an astronomer[SEP]Candy is not an astronomer,Neither Candy or Ronnie is an astronomer[SEP]Ronnie is not an astronomer,Neither Ronnie or Candy is an astronomer[SEP]Candy is not an astronomer,Neither Ronnie or Candy is an astronomer[SEP]Ronnie is not an astronomer
28,Neither Shelly or LeBron is a diplomat[SEP]Shelly is not a diplomat,Neither Shelly or LeBron is a diplomat[SEP]LeBron is not a diplomat,Neither LeBron or Shelly is a diplomat[SEP]Shelly is not a diplomat,Neither LeBron or Shelly is a diplomat[SEP]LeBron is not a diplomat
29,Neither Benny or Chan is a historian[SEP]Benny is not a historian,Neither Benny or Chan is a historian[SEP]Chan is not a historian,Neither Chan or Benny is a historian[SEP]Benny is not a historian,Neither Chan or Benny is a historian[SEP]Chan is not a historian
30,Neither Jacqui or Steven is an athlete[SEP]Jacqui is not an athlete,Neither Jacqui or Steven is an athlete[SEP]Steven is not an athlete,Neither Steven or Jacqui is an athlete[SEP]Jacqui is not an athlete,Neither Steven or Jacqui is an athlete[SEP]Steven is not an athlete
31,Neither Cathy or Treyvone is an agent[SEP]Cathy is not an agent,Neither Cathy or Treyvone is an agent[SEP]Treyvone is not an agent,Neither Treyvone or Cathy is an agent[SEP]Cathy is not an agent,Neither Treyvone or Cathy is an agent[SEP]Treyvone is not an agent
32,Neither Janet or Jesus is a manager[SEP]Janet is not a manager,Neither Janet or Jesus is a manager[SEP]Jesus is not a manager,Neither Jesus or Janet is a manager[SEP]Janet is not a manager,Neither Jesus or Janet is a manager[SEP]Jesus is not a manager
33,Neither Sharon or Vince is a psychologist[SEP]Sharon is not a psychologist,Neither Sharon or Vince is a psychologist[SEP]Vince is not a psychologist,Neither Vince or Sharon is a psychologist[SEP]Sharon is not a psychologist,Neither Vince or Sharon is a psychologist[SEP]Vince is not a psychologist
34,Neither Ellen or Jose is a radiologist[SEP]Ellen is not a radiologist,Neither Ellen or Jose is a radiologist[SEP]Jose is not a radiologist,Neither Jose or Ellen is a radiologist[SEP]Ellen is not a radiologist,Neither Jose or Ellen is a radiologist[SEP]Jose is not a radiologist
35,Neither Candice or Louis is a mathematician[SEP]Candice is not a mathematician,Neither Candice or Louis is a mathematician[SEP]Louis is not a mathematician,Neither Louis or Candice is a mathematician[SEP]Candice is not a mathematician,Neither Louis or Candice is a mathematician[SEP]Louis is not a mathematician
36,Neither Megan or Vince is an attourney[SEP]Megan is not an attourney,Neither Megan or Vince is an attourney[SEP]Vince is not an attourney,Neither Vince or Megan is an attourney[SEP]Megan is not an attourney,Neither Vince or Megan is an attourney[SEP]Vince is not an attourney
37,Neither Roberta or Treyvone is an umpire[SEP]Roberta is not an umpire,Neither Roberta or Treyvone is an umpire[SEP]Treyvone is not an umpire,Neither Treyvone or Roberta is an umpire[SEP]Roberta is not an umpire,Neither Treyvone or Roberta is an umpire[SEP]Treyvone is not an umpire
38,Neither Marianne or Joe is a mover[SEP]Marianne is not a mover,Neither Marianne or Joe is a mover[SEP]Joe is not a mover,Neither Joe or Marianne is a mover[SEP]Marianne is not a mover,Neither Joe or Marianne is a mover[SEP]Joe is not a mover
39,Neither Beyonce or Shane is a manager[SEP]Beyonce is not a manager,Neither Beyonce or Shane is a manager[SEP]Shane is not a manager,Neither Shane or Beyonce is a manager[SEP]Beyonce is not a manager,Neither Shane or Beyonce is a manager[SEP]Shane is not a manager
40,Neither Ruby or Scott is a laborer[SEP]Ruby is not a laborer,Neither Ruby or Scott is a laborer[SEP]Scott is not a laborer,Neither Scott or Ruby is a laborer[SEP]Ruby is not a laborer,Neither Scott or Ruby is a laborer[SEP]Scott is not a laborer
41,Neither Barbara or Ramon is an arts[SEP]Barbara is not an arts,Neither Barbara or Ramon is an arts[SEP]Ramon is not an arts,Neither Ramon or Barbara is an arts[SEP]Barbara is not an arts,Neither Ramon or Barbara is an arts[SEP]Ramon is not an arts
42,Neither Ellen or Kevin is a singer[SEP]Ellen is not a singer,Neither Ellen or Kevin is a singer[SEP]Kevin is not a singer,Neither Kevin or Ellen is a singer[SEP]Ellen is not a singer,Neither Kevin or Ellen is a singer[SEP]Kevin is not a singer
43,Neither Roberta or Rocco is a professor[SEP]Roberta is not a professor,Neither Roberta or Rocco is a professor[SEP]Rocco is not a professor,Neither Rocco or Roberta is a professor[SEP]Roberta is not a professor,Neither Rocco or Roberta is a professor[SEP]Rocco is not a professor
44,Neither Joanne or Trevon is a firefighter[SEP]Joanne is not a firefighter,Neither Joanne or Trevon is a firefighter[SEP]Trevon is not a firefighter,Neither Trevon or Joanne is a firefighter[SEP]Joanne is not a firefighter,Neither Trevon or Joanne is a firefighter[SEP]Trevon is not a firefighter
45,Neither Maya or Shane is a performing artist[SEP]Maya is not a performing artist,Neither Maya or Shane is a performing artist[SEP]Shane is not a performing artist,Neither Shane or Maya is a performing artist[SEP]Maya is not a performing artist,Neither Shane or Maya is a performing artist[SEP]Shane is not a performing artist
46,Neither Tessa or Robert is a firefighter[SEP]Tessa is not a firefighter,Neither Tessa or Robert is a firefighter[SEP]Robert is not a firefighter,Neither Robert or Tessa is a firefighter[SEP]Tessa is not a firefighter,Neither Robert or Tessa is a firefighter[SEP]Robert is not a firefighter
47,Neither Carla or Jones is a chief[SEP]Carla is not a chief,Neither Carla or Jones is a chief[SEP]Jones is not a chief,Neither Jones or Carla is a chief[SEP]Carla is not a chief,Neither Jones or Carla is a chief[SEP]Jones is not a chief
48,Neither Janet or John is an auditor[SEP]Janet is not an auditor,Neither Janet or John is an auditor[SEP]John is not an auditor,Neither John or Janet is an auditor[SEP]Janet is not an auditor,Neither John or Janet is an auditor[SEP]John is not an auditor
49,Neither Katie or Micheal is a judge[SEP]Katie is not a judge,Neither Katie or Micheal is a judge[SEP]Micheal is not a judge,Neither Micheal or Katie is a judge[SEP]Katie is not a judge,Neither Micheal or Katie is a judge[SEP]Micheal is not a judge
50,Neither Nina or LeShawn is a magician[SEP]Nina is not a magician,Neither Nina or LeShawn is a magician[SEP]LeShawn is not a magician,Neither LeShawn or Nina is a magician[SEP]Nina is not a magician,Neither LeShawn or Nina is a magician[SEP]LeShawn is not a magician
51,Neither Heather or Kevin is a banker[SEP]Heather is not a banker,Neither Heather or Kevin is a banker[SEP]Kevin is not a banker,Neither Kevin or Heather is a banker[SEP]Heather is not a banker,Neither Kevin or Heather is a banker[SEP]Kevin is not a banker
52,Neither Claire or Jamie is a receptionist[SEP]Claire is not a receptionist,Neither Claire or Jamie is a receptionist[SEP]Jamie is not a receptionist,Neither Jamie or Claire is a receptionist[SEP]Claire is not a receptionist,Neither Jamie or Claire is a receptionist[SEP]Jamie is not a receptionist
53,Neither Joanne or Javier is a guitarist[SEP]Joanne is not a guitarist,Neither Joanne or Javier is a guitarist[SEP]Javier is not a guitarist,Neither Javier or Joanne is a guitarist[SEP]Joanne is not a guitarist,Neither Javier or Joanne is a guitarist[SEP]Javier is not a guitarist
54,Neither Sharon or Jim is a plumber[SEP]Sharon is not a plumber,Neither Sharon or Jim is a plumber[SEP]Jim is not a plumber,Neither Jim or Sharon is a plumber[SEP]Sharon is not a plumber,Neither Jim or Sharon is a plumber[SEP]Jim is not a plumber
55,Neither Tina or David is an engineer[SEP]Tina is not an engineer,Neither Tina or David is an engineer[SEP]David is not an engineer,Neither David or Tina is an engineer[SEP]Tina is not an engineer,Neither David or Tina is an engineer[SEP]David is not an engineer
56,Neither Raven or Vince is a farmer[SEP]Raven is not a farmer,Neither Raven or Vince is a farmer[SEP]Vince is not a farmer,Neither Vince or Raven is a farmer[SEP]Raven is not a farmer,Neither Vince or Raven is a farmer[SEP]Vince is not a farmer
57,Neither Ellen or Dylan is a drawer[SEP]Ellen is not a drawer,Neither Ellen or Dylan is a drawer[SEP]Dylan is not a drawer,Neither Dylan or Ellen is a drawer[SEP]Ellen is not a drawer,Neither Dylan or Ellen is a drawer[SEP]Dylan is not a drawer
58,Neither Tuppence or LeShawn is a performing artist[SEP]Tuppence is not a performing artist,Neither Tuppence or LeShawn is a performing artist[SEP]LeShawn is not a performing artist,Neither LeShawn or Tuppence is a performing artist[SEP]Tuppence is not a performing artist,Neither LeShawn or Tuppence is a performing artist[SEP]LeShawn is not a performing artist
59,Neither Carla or Aaron is a janitor[SEP]Carla is not a janitor,Neither Carla or Aaron is a janitor[SEP]Aaron is not a janitor,Neither Aaron or Carla is a janitor[SEP]Carla is not a janitor,Neither Aaron or Carla is a janitor[SEP]Aaron is not a janitor
60,Neither Megan or Dylan is a lifeguard[SEP]Megan is not a lifeguard,Neither Megan or Dylan is a lifeguard[SEP]Dylan is not a lifeguard,Neither Dylan or Megan is a lifeguard[SEP]Megan is not a lifeguard,Neither Dylan or Megan is a lifeguard[SEP]Dylan is not a lifeguard
61,Neither Marianne or Edward is an agent[SEP]Marianne is not an agent,Neither Marianne or Edward is an agent[SEP]Edward is not an agent,Neither Edward or Marianne is an agent[SEP]Marianne is not an agent,Neither Edward or Marianne is an agent[SEP]Edward is not an agent
62,Neither Beth or Zack is a sociologist[SEP]Beth is not a sociologist,Neither Beth or Zack is a sociologist[SEP]Zack is not a sociologist,Neither Zack or Beth is a sociologist[SEP]Beth is not a sociologist,Neither Zack or Beth is a sociologist[SEP]Zack is not a sociologist
63,Neither Cindy or Aaron is an army[SEP]Cindy is not an army,Neither Cindy or Aaron is an army[SEP]Aaron is not an army,Neither Aaron or Cindy is an army[SEP]Cindy is not an army,Neither Aaron or Cindy is an army[SEP]Aaron is not an army
64,Neither Ruby or Terrance is an employee[SEP]Ruby is not an employee,Neither Ruby or Terrance is an employee[SEP]Terrance is not an employee,Neither Terrance or Ruby is an employee[SEP]Ruby is not an employee,Neither Terrance or Ruby is an employee[SEP]Terrance is not an employee
65,Neither Candace or Micheal is a teacher[SEP]Candace is not a teacher,Neither Candace or Micheal is a teacher[SEP]Micheal is not a teacher,Neither Micheal or Candace is a teacher[SEP]Candace is not a teacher,Neither Micheal or Candace is a teacher[SEP]Micheal is not a teacher
66,Neither Erica or Vince is a cleaner[SEP]Erica is not a cleaner,Neither Erica or Vince is a cleaner[SEP]Vince is not a cleaner,Neither Vince or Erica is a cleaner[SEP]Erica is not a cleaner,Neither Vince or Erica is a cleaner[SEP]Vince is not a cleaner
67,Neither Monique or Fred is a secretary[SEP]Monique is not a secretary,Neither Monique or Fred is a secretary[SEP]Fred is not a secretary,Neither Fred or Monique is a secretary[SEP]Monique is not a secretary,Neither Fred or Monique is a secretary[SEP]Fred is not a secretary
68,Neither Janice or Jake is an employee[SEP]Janice is not an employee,Neither Janice or Jake is an employee[SEP]Jake is not an employee,Neither Jake or Janice is an employee[SEP]Janice is not an employee,Neither Jake or Janice is an employee[SEP]Jake is not an employee
69,Neither Shevon or Terrance is a pilot[SEP]Shevon is not a pilot,Neither Shevon or Terrance is a pilot[SEP]Terrance is not a pilot,Neither Terrance or Shevon is a pilot[SEP]Shevon is not a pilot,Neither Terrance or Shevon is a pilot[SEP]Terrance is not a pilot
70,Neither Bai or DeShawn is a fireman[SEP]Bai is not a fireman,Neither Bai or DeShawn is a fireman[SEP]DeShawn is not a fireman,Neither DeShawn or Bai is a fireman[SEP]Bai is not a fireman,Neither DeShawn or Bai is a fireman[SEP]DeShawn is not a fireman
71,Neither Jenna or Fred is a hostess[SEP]Jenna is not a hostess,Neither Jenna or Fred is a hostess[SEP]Fred is not a hostess,Neither Fred or Jenna is a hostess[SEP]Jenna is not a hostess,Neither Fred or Jenna is a hostess[SEP]Fred is not a hostess
72,Neither Diamond or Kariem is a secretary[SEP]Diamond is not a secretary,Neither Diamond or Kariem is a secretary[SEP]Kariem is not a secretary,Neither Kariem or Diamond is a secretary[SEP]Diamond is not a secretary,Neither Kariem or Diamond is a secretary[SEP]Kariem is not a secretary
73,Neither Bai or DeShawn is a lifeguard[SEP]Bai is not a lifeguard,Neither Bai or DeShawn is a lifeguard[SEP]DeShawn is not a lifeguard,Neither DeShawn or Bai is a lifeguard[SEP]Bai is not a lifeguard,Neither DeShawn or Bai is a lifeguard[SEP]DeShawn is not a lifeguard
74,Neither Olga or Jafari is a tailor[SEP]Olga is not a tailor,Neither Olga or Jafari is a tailor[SEP]Jafari is not a tailor,Neither Jafari or Olga is a tailor[SEP]Olga is not a tailor,Neither Jafari or Olga is a tailor[SEP]Jafari is not a tailor
75,Neither Candace or Jafari is a comedian[SEP]Candace is not a comedian,Neither Candace or Jafari is a comedian[SEP]Jafari is not a comedian,Neither Jafari or Candace is a comedian[SEP]Candace is not a comedian,Neither Jafari or Candace is a comedian[SEP]Jafari is not a comedian
76,Neither Cathy or Fred is a barber[SEP]Cathy is not a barber,Neither Cathy or Fred is a barber[SEP]Fred is not a barber,Neither Fred or Cathy is a barber[SEP]Cathy is not a barber,Neither Fred or Cathy is a barber[SEP]Fred is not a barber
77,Neither Marianne or Tyresse is a performing artist[SEP]Marianne is not a performing artist,Neither Marianne or Tyresse is a performing artist[SEP]Tyresse is not a performing artist,Neither Tyresse or Marianne is a performing artist[SEP]Marianne is not a performing artist,Neither Tyresse or Marianne is a performing artist[SEP]Tyresse is not a performing artist
78,Neither Craig or Chang Lee is a postman[SEP]Craig is not a postman,Neither Craig or Chang Lee is a postman[SEP]Chang Lee is not a postman,Neither Chang Lee or Craig is a postman[SEP]Craig is not a postman,Neither Chang Lee or Craig is a postman[SEP]Chang Lee is not a postman
79,Neither Liz or Juan is a pilot[SEP]Liz is not a pilot,Neither Liz or Juan is a pilot[SEP]Juan is not a pilot,Neither Juan or Liz is a pilot[SEP]Liz is not a pilot,Neither Juan or Liz is a pilot[SEP]Juan is not a pilot
80,Neither Erica or Mark is an agent[SEP]Erica is not an agent,Neither Erica or Mark is an agent[SEP]Mark is not an agent,Neither Mark or Erica is an agent[SEP]Erica is not an agent,Neither Mark or Erica is an agent[SEP]Mark is not an agent
81,Neither Monique or Chen Wu is an academic[SEP]Monique is not an academic,Neither Monique or Chen Wu is an academic[SEP]Chen Wu is not an academic,Neither Chen Wu or Monique is an academic[SEP]Monique is not an academic,Neither Chen Wu or Monique is an academic[SEP]Chen Wu is not an academic
82,Neither Joan or Chan is a clerk[SEP]Joan is not a clerk,Neither Joan or Chan is a clerk[SEP]Chan is not a clerk,Neither Chan or Joan is a clerk[SEP]Joan is not a clerk,Neither Chan or Joan is a clerk[SEP]Chan is not a clerk
83,Neither Liz or Malik is a grocer[SEP]Liz is not a grocer,Neither Liz or Malik is a grocer[SEP]Malik is not a grocer,Neither Malik or Liz is a grocer[SEP]Liz is not a grocer,Neither Malik or Liz is a grocer[SEP]Malik is not a grocer
84,Neither Candace or Juan is a cook[SEP]Candace is not a cook,Neither Candace or Juan is a cook[SEP]Juan is not a cook,Neither Juan or Candace is a cook[SEP]Candace is not a cook,Neither Juan or Candace is a cook[SEP]Juan is not a cook
85,Neither Bai or Jim is a secretary[SEP]Bai is not a secretary,Neither Bai or Jim is a secretary[SEP]Jim is not a secretary,Neither Jim or Bai is a secretary[SEP]Bai is not a secretary,Neither Jim or Bai is a secretary[SEP]Jim is not a secretary
86,Neither Katie or Dustin is a director[SEP]Katie is not a director,Neither Katie or Dustin is a director[SEP]Dustin is not a director,Neither Dustin or Katie is a director[SEP]Katie is not a director,Neither Dustin or Katie is a director[SEP]Dustin is not a director
87,Neither Monique or Cody is a lawyer[SEP]Monique is not a lawyer,Neither Monique or Cody is a lawyer[SEP]Cody is not a lawyer,Neither Cody or Monique is a lawyer[SEP]Monique is not a lawyer,Neither Cody or Monique is a lawyer[SEP]Cody is not a lawyer
88,Neither Cathy or Steven is a tennis player[SEP]Cathy is not a tennis player,Neither Cathy or Steven is a tennis player[SEP]Steven is not a tennis player,Neither Steven or Cathy is a tennis player[SEP]Cathy is not a tennis player,Neither Steven or Cathy is a tennis player[SEP]Steven is not a tennis player
89,Neither Emily or John is a farmer[SEP]Emily is not a farmer,Neither Emily or John is a farmer[SEP]John is not a farmer,Neither John or Emily is a farmer[SEP]Emily is not a farmer,Neither John or Emily is a farmer[SEP]John is not a farmer
90,Neither Tuppence or Lamar is a hostess[SEP]Tuppence is not a hostess,Neither Tuppence or Lamar is a hostess[SEP]Lamar is not a hostess,Neither Lamar or Tuppence is a hostess[SEP]Tuppence is not a hostess,Neither Lamar or Tuppence is a hostess[SEP]Lamar is not a hostess
91,Neither Jenny or Ronnie is an economist[SEP]Jenny is not an economist,Neither Jenny or Ronnie is an economist[SEP]Ronnie is not an economist,Neither Ronnie or Jenny is an economist[SEP]Jenny is not an economist,Neither Ronnie or Jenny is an economist[SEP]Ronnie is not an economist
92,Neither Dawn or Eddie is a scientist[SEP]Dawn is not a scientist,Neither Dawn or Eddie is a scientist[SEP]Eddie is not a scientist,Neither Eddie or Dawn is a scientist[SEP]Dawn is not a scientist,Neither Eddie or Dawn is a scientist[SEP]Eddie is not a scientist
93,Neither Megan or Louis is a cleaner[SEP]Megan is not a cleaner,Neither Megan or Louis is a cleaner[SEP]Louis is not a cleaner,Neither Louis or Megan is a cleaner[SEP]Megan is not a cleaner,Neither Louis or Megan is a cleaner[SEP]Louis is not a cleaner
94,Neither Ellen or Jorge is an athlete[SEP]Ellen is not an athlete,Neither Ellen or Jorge is an athlete[SEP]Jorge is not an athlete,Neither Jorge or Ellen is an athlete[SEP]Ellen is not an athlete,Neither Jorge or Ellen is an athlete[SEP]Jorge is not an athlete
95,Neither Ebony or Cadan is a football player[SEP]Ebony is not a football player,Neither Ebony or Cadan is a football player[SEP]Cadan is not a football player,Neither Cadan or Ebony is a football player[SEP]Ebony is not a football player,Neither Cadan or Ebony is a football player[SEP]Cadan is not a football player
96,Neither Fabioloa or LeShawn is a security guard[SEP]Fabioloa is not a security guard,Neither Fabioloa or LeShawn is a security guard[SEP]LeShawn is not a security guard,Neither LeShawn or Fabioloa is a security guard[SEP]Fabioloa is not a security guard,Neither LeShawn or Fabioloa is a security guard[SEP]LeShawn is not a security guard
97,Neither Maggie or Kevin is a dentist[SEP]Maggie is not a dentist,Neither Maggie or Kevin is a dentist[SEP]Kevin is not a dentist,Neither Kevin or Maggie is a dentist[SEP]Maggie is not a dentist,Neither Kevin or Maggie is a dentist[SEP]Kevin is not a dentist
98,Neither Melissa or Steve is a doctor[SEP]Melissa is not a doctor,Neither Melissa or Steve is a doctor[SEP]Steve is not a doctor,Neither Steve or Melissa is a doctor[SEP]Melissa is not a doctor,Neither Steve or Melissa is a doctor[SEP]Steve is not a doctor
99,Neither Meghan or Terrell is an employment[SEP]Meghan is not an employment,Neither Meghan or Terrell is an employment[SEP]Terrell is not an employment,Neither Terrell or Meghan is an employment[SEP]Meghan is not an employment,Neither Terrell or Meghan is an employment[SEP]Terrell is not an employment
100,Neither Grace or Jacob is an employment[SEP]Grace is not an employment,Neither Grace or Jacob is an employment[SEP]Jacob is not an employment,Neither Jacob or Grace is an employment[SEP]Grace is not an employment,Neither Jacob or Grace is an employment[SEP]Jacob is not an employment
101,Neither Carla or Denny is a prosecutor[SEP]Carla is not a prosecutor,Neither Carla or Denny is a prosecutor[SEP]Denny is not a prosecutor,Neither Denny or Carla is a prosecutor[SEP]Carla is not a prosecutor,Neither Denny or Carla is a prosecutor[SEP]Denny is not a prosecutor
102,Neither Barbara or Juan is an assistant[SEP]Barbara is not an assistant,Neither Barbara or Juan is an assistant[SEP]Juan is not an assistant,Neither Juan or Barbara is an assistant[SEP]Barbara is not an assistant,Neither Juan or Barbara is an assistant[SEP]Juan is not an assistant
103,Neither Tricia or Chen Wee is a nurse[SEP]Tricia is not a nurse,Neither Tricia or Chen Wee is a nurse[SEP]Chen Wee is not a nurse,Neither Chen Wee or Tricia is a nurse[SEP]Tricia is not a nurse,Neither Chen Wee or Tricia is a nurse[SEP]Chen Wee is not a nurse
104,Neither Carla or Aaron is an entrepreneur[SEP]Carla is not an entrepreneur,Neither Carla or Aaron is an entrepreneur[SEP]Aaron is not an entrepreneur,Neither Aaron or Carla is an entrepreneur[SEP]Carla is not an entrepreneur,Neither Aaron or Carla is an entrepreneur[SEP]Aaron is not an entrepreneur
105,Neither Carly or Marquis is an electrician[SEP]Carly is not an electrician,Neither Carly or Marquis is an electrician[SEP]Marquis is not an electrician,Neither Marquis or Carly is an electrician[SEP]Carly is not an electrician,Neither Marquis or Carly is an electrician[SEP]Marquis is not an electrician
106,Neither Joan or John is a musician[SEP]Joan is not a musician,Neither Joan or John is a musician[SEP]John is not a musician,Neither John or Joan is a musician[SEP]Joan is not a musician,Neither John or Joan is a musician[SEP]John is not a musician
107,Neither Joanne or Vince is a singer[SEP]Joanne is not a singer,Neither Joanne or Vince is a singer[SEP]Vince is not a singer,Neither Vince or Joanne is a singer[SEP]Joanne is not a singer,Neither Vince or Joanne is a singer[SEP]Vince is not a singer
108,Neither Molly or Laquan is a dancer[SEP]Molly is not a dancer,Neither Molly or Laquan is a dancer[SEP]Laquan is not a dancer,Neither Laquan or Molly is a dancer[SEP]Molly is not a dancer,Neither Laquan or Molly is a dancer[SEP]Laquan is not a dancer
