,prem,hypo1,hypo2,score1,score2,diff
135,Either Shaquille or Celia are a hairdresser,Shaquille is a hairdresser,Celia is a hairdresser,"{'entailment': '0.47', 'neutral': '0.40', 'contradiction': '0.13'}","{'entailment': '0.73', 'neutral': '0.24', 'contradiction': '0.03'}",0.52
36,Either Lawrence or Anne are a professor,Lawrence is a professor,Anne is a professor,"{'entailment': '0.78', 'neutral': '0.08', 'contradiction': '0.14'}","{'entailment': '0.52', 'neutral': '0.23', 'contradiction': '0.25'}",0.52
479,Either Ethan or Craig are a professor,Ethan is a professor,Craig is a professor,"{'entailment': '0.53', 'neutral': '0.33', 'contradiction': '0.14'}","{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.04'}",0.51
134,Either Fred or Candace are a manager,Fred is a manager,Candace is a manager,"{'entailment': '0.54', 'neutral': '0.38', 'contradiction': '0.08'}","{'entailment': '0.79', 'neutral': '0.18', 'contradiction': '0.02'}",0.51
258,Either Mark or Carla are a dealer,Mark is a dealer,Carla is a dealer,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.12'}",0.5
411,Either Bradford or Monica are a producer,Bradford is a producer,Monica is a producer,"{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}","{'entailment': '0.60', 'neutral': '0.36', 'contradiction': '0.04'}",0.5
3,Either Stewart or Shelly are a magician,Stewart is a magician,Shelly is a magician,"{'entailment': '0.94', 'neutral': '0.03', 'contradiction': '0.03'}","{'entailment': '0.69', 'neutral': '0.17', 'contradiction': '0.14'}",0.5
364,Either Martin or Melissa are an employment,Martin is an employment,Melissa is an employment,"{'entailment': '0.55', 'neutral': '0.35', 'contradiction': '0.11'}","{'entailment': '0.79', 'neutral': '0.18', 'contradiction': '0.03'}",0.49
294,Either Tim or Cheryl are an opera singer,Tim is an opera singer,Cheryl is an opera singer,"{'entailment': '0.84', 'neutral': '0.08', 'contradiction': '0.09'}","{'entailment': '0.59', 'neutral': '0.15', 'contradiction': '0.26'}",0.49
115,Either Denny or Lucy are a security guard,Denny is a security guard,Lucy is a security guard,"{'entailment': '0.57', 'neutral': '0.21', 'contradiction': '0.22'}","{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.08'}",0.4800000000000001
423,Either Ryan or Nia are a dealer,Ryan is a dealer,Nia is a dealer,"{'entailment': '0.38', 'neutral': '0.45', 'contradiction': '0.17'}","{'entailment': '0.62', 'neutral': '0.33', 'contradiction': '0.05'}",0.48
289,Either Tammy or Kia are a baker,Tammy is a baker,Kia is a baker,"{'entailment': '0.84', 'neutral': '0.07', 'contradiction': '0.09'}","{'entailment': '0.60', 'neutral': '0.23', 'contradiction': '0.16'}",0.47000000000000003
402,Either Josh or Janet are an analyst,Josh is an analyst,Janet is an analyst,"{'entailment': '0.58', 'neutral': '0.23', 'contradiction': '0.19'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.4600000000000001
54,Either Joe or Sally are a construction worker,Joe is a construction worker,Sally is a construction worker,"{'entailment': '0.78', 'neutral': '0.12', 'contradiction': '0.10'}","{'entailment': '0.55', 'neutral': '0.34', 'contradiction': '0.11'}",0.46
228,Either Eugene or Heather are a handyman,Eugene is a handyman,Heather is a handyman,"{'entailment': '0.48', 'neutral': '0.37', 'contradiction': '0.15'}","{'entailment': '0.71', 'neutral': '0.26', 'contradiction': '0.04'}",0.44999999999999996
378,Either LeBron or Tanisha are a foster parent,LeBron is a foster parent,Tanisha is a foster parent,"{'entailment': '0.55', 'neutral': '0.24', 'contradiction': '0.21'}","{'entailment': '0.77', 'neutral': '0.13', 'contradiction': '0.10'}",0.43999999999999995
6,Either Trevon or Jenny are an employment,Trevon is an employment,Jenny is an employment,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.22', 'contradiction': '0.09'}",0.43
371,Either Jimmy or Susie are a firefighter,Jimmy is a firefighter,Susie is a firefighter,"{'entailment': '0.56', 'neutral': '0.26', 'contradiction': '0.18'}","{'entailment': '0.78', 'neutral': '0.19', 'contradiction': '0.04'}",0.42999999999999994
57,Either Alan or Marie are a mechanic,Alan is a mechanic,Marie is a mechanic,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.64', 'neutral': '0.20', 'contradiction': '0.15'}",0.42999999999999994
442,Either Anse or Abigail are a firefighter,Anse is a firefighter,Abigail is a firefighter,"{'entailment': '0.65', 'neutral': '0.19', 'contradiction': '0.16'}","{'entailment': '0.86', 'neutral': '0.11', 'contradiction': '0.03'}",0.42
351,Either Ben or Susie are a comedian,Ben is a comedian,Susie is a comedian,"{'entailment': '0.87', 'neutral': '0.06', 'contradiction': '0.07'}","{'entailment': '0.66', 'neutral': '0.20', 'contradiction': '0.14'}",0.42
395,Either Tim or Barbara are a researcher,Tim is a researcher,Barbara is a researcher,"{'entailment': '0.61', 'neutral': '0.21', 'contradiction': '0.18'}","{'entailment': '0.82', 'neutral': '0.14', 'contradiction': '0.04'}",0.41999999999999993
399,Either Biff or Greta are a soldier,Biff is a soldier,Greta is a soldier,"{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}","{'entailment': '0.56', 'neutral': '0.30', 'contradiction': '0.13'}",0.4099999999999999
449,Either Connor or Greta are a painter,Connor is a painter,Greta is a painter,"{'entailment': '0.77', 'neutral': '0.11', 'contradiction': '0.12'}","{'entailment': '0.57', 'neutral': '0.30', 'contradiction': '0.13'}",0.4000000000000001
382,Either Lars or Betty are an editor,Lars is an editor,Betty is an editor,"{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.07'}","{'entailment': '0.83', 'neutral': '0.16', 'contradiction': '0.01'}",0.39999999999999997
8,Either Adrin or Kristy are a historian,Adrin is a historian,Kristy is a historian,"{'entailment': '0.74', 'neutral': '0.10', 'contradiction': '0.16'}","{'entailment': '0.54', 'neutral': '0.19', 'contradiction': '0.27'}",0.3999999999999999
131,Either Lars or Raven are a pilot,Lars is a pilot,Raven is a pilot,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.18', 'contradiction': '0.14'}",0.3999999999999999
349,Either Alexander or Beyonce are an artist,Alexander is an artist,Beyonce is an artist,"{'entailment': '0.63', 'neutral': '0.21', 'contradiction': '0.15'}","{'entailment': '0.48', 'neutral': '0.41', 'contradiction': '0.11'}",0.38999999999999996
471,Either Dawson or Phoebe are a CEO,Dawson is a CEO,Phoebe is a CEO,"{'entailment': '0.53', 'neutral': '0.40', 'contradiction': '0.07'}","{'entailment': '0.72', 'neutral': '0.26', 'contradiction': '0.01'}",0.38999999999999996
46,Either Timmy or Tarnisha are an engineer,Timmy is an engineer,Tarnisha is an engineer,"{'entailment': '0.68', 'neutral': '0.18', 'contradiction': '0.14'}","{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.03'}",0.3899999999999999
359,Either Charlie or Juliette are an athlete,Charlie is an athlete,Juliette is an athlete,"{'entailment': '0.74', 'neutral': '0.13', 'contradiction': '0.13'}","{'entailment': '0.54', 'neutral': '0.24', 'contradiction': '0.21'}",0.3899999999999999
207,Either Shane or Naomi are a nurse,Shane is a nurse,Naomi is a nurse,"{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}","{'entailment': '0.69', 'neutral': '0.17', 'contradiction': '0.14'}",0.3800000000000001
369,Either Micheal or Tessa are a salesperson,Micheal is a salesperson,Tessa is a salesperson,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.67', 'neutral': '0.22', 'contradiction': '0.11'}",0.37999999999999995
437,Either Corey or Anne are a chef,Corey is a chef,Anne is a chef,"{'entailment': '0.72', 'neutral': '0.12', 'contradiction': '0.16'}","{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.03'}",0.37000000000000005
161,Either Silas or Shiloh are a psychologist,Silas is a psychologist,Shiloh is a psychologist,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.63', 'neutral': '0.27', 'contradiction': '0.10'}",0.37
446,Either LeBron or Veronica are an academic,LeBron is an academic,Veronica is an academic,"{'entailment': '0.63', 'neutral': '0.33', 'contradiction': '0.04'}","{'entailment': '0.82', 'neutral': '0.17', 'contradiction': '0.02'}",0.37
358,Either Jamie or Sarah are an engineer,Jamie is an engineer,Sarah is an engineer,"{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}","{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.05'}",0.36999999999999994
352,Either Miguel or Susie are a musician,Miguel is a musician,Susie is a musician,"{'entailment': '0.65', 'neutral': '0.21', 'contradiction': '0.14'}","{'entailment': '0.47', 'neutral': '0.33', 'contradiction': '0.20'}",0.36000000000000004
194,Either Edward or Kacey are a butler,Edward is a butler,Kacey is a butler,"{'entailment': '0.71', 'neutral': '0.16', 'contradiction': '0.13'}","{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.02'}",0.36000000000000004
132,Either Chen or Janet are an illustrator,Chen is an illustrator,Janet is an illustrator,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}","{'entailment': '0.82', 'neutral': '0.15', 'contradiction': '0.03'}",0.35999999999999993
198,Either Amhad or Tasha are an artist,Amhad is an artist,Tasha is an artist,"{'entailment': '0.66', 'neutral': '0.21', 'contradiction': '0.13'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}",0.3599999999999999
40,Either Ragesh or Erica are a lawyer,Ragesh is a lawyer,Erica is a lawyer,"{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.63', 'neutral': '0.32', 'contradiction': '0.05'}",0.3500000000000001
2,Either Scott or Benny are a firefighter,Scott is a firefighter,Benny is a firefighter,"{'entailment': '0.70', 'neutral': '0.20', 'contradiction': '0.10'}","{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.03'}",0.35000000000000003
144,Either Richard or Mary are a surgeon,Richard is a surgeon,Mary is a surgeon,"{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.12'}","{'entailment': '0.87', 'neutral': '0.12', 'contradiction': '0.01'}",0.35000000000000003
282,Either Shawn or Kathy are a surgeon,Shawn is a surgeon,Kathy is a surgeon,"{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.28', 'contradiction': '0.04'}",0.35
210,Either Gabriel or Kassandra are a dentist,Gabriel is a dentist,Kassandra is a dentist,"{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}","{'entailment': '0.82', 'neutral': '0.16', 'contradiction': '0.03'}",0.3499999999999999
219,Either Vince or Tina are an illustrator,Vince is an illustrator,Tina is an illustrator,"{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}",0.3400000000000001
254,Either James or Missy are a football player,James is a football player,Missy is a football player,"{'entailment': '0.61', 'neutral': '0.22', 'contradiction': '0.17'}","{'entailment': '0.78', 'neutral': '0.12', 'contradiction': '0.10'}",0.34
136,Either Perth or Yolanda are a guard,Perth is a guard,Yolanda is a guard,"{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.09'}","{'entailment': '0.64', 'neutral': '0.16', 'contradiction': '0.21'}",0.34
68,Either Kariem or Greta are a lawn mower,Kariem is a lawn mower,Greta is a lawn mower,"{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}","{'entailment': '0.54', 'neutral': '0.38', 'contradiction': '0.08'}",0.33999999999999997
146,Either D'quan or Molly are an administrator,D'quan is an administrator,Molly is an administrator,"{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.67', 'neutral': '0.21', 'contradiction': '0.13'}",0.3399999999999999
5,Either Hunter or Precious are an author,Hunter is an author,Precious is an author,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.77', 'neutral': '0.11', 'contradiction': '0.12'}",0.3399999999999999
137,Either Tom or Ruby are a professor,Tom is a professor,Ruby is a professor,"{'entailment': '0.41', 'neutral': '0.38', 'contradiction': '0.20'}","{'entailment': '0.29', 'neutral': '0.55', 'contradiction': '0.16'}",0.33000000000000007
301,Either Jon or Marie are a receptionist,Jon is a receptionist,Marie is a receptionist,"{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}","{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.09'}",0.33
273,Either Jafari or Priya are an administrator,Jafari is an administrator,Priya is an administrator,"{'entailment': '0.60', 'neutral': '0.19', 'contradiction': '0.21'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.09'}",0.32000000000000006
409,Either Drew or Juliette are a plumber,Drew is a plumber,Juliette is a plumber,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.15', 'contradiction': '0.11'}",0.32
113,Either Mattie or Lynn are a physicist,Mattie is a physicist,Lynn is a physicist,"{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.11'}","{'entailment': '0.73', 'neutral': '0.22', 'contradiction': '0.05'}",0.32
380,Either Jones or Kassandra are a guitarist,Jones is a guitarist,Kassandra is a guitarist,"{'entailment': '0.90', 'neutral': '0.05', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.32
420,Either D'quan or Ebony are a chief,D'quan is a chief,Ebony is a chief,"{'entailment': '0.71', 'neutral': '0.13', 'contradiction': '0.16'}","{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}",0.32
106,Either Alfred or Melissa are a construction worker,Alfred is a construction worker,Melissa is a construction worker,"{'entailment': '0.55', 'neutral': '0.19', 'contradiction': '0.26'}","{'entailment': '0.71', 'neutral': '0.17', 'contradiction': '0.12'}",0.31999999999999995
118,Either Jacob or Kathy are a historian,Jacob is a historian,Kathy is a historian,"{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.66', 'neutral': '0.26', 'contradiction': '0.08'}",0.31999999999999995
149,Either Kyle or Lucy are an engineer,Kyle is an engineer,Lucy is an engineer,"{'entailment': '0.67', 'neutral': '0.28', 'contradiction': '0.05'}","{'entailment': '0.83', 'neutral': '0.14', 'contradiction': '0.03'}",0.31999999999999995
251,Either Dustin or Cheryl are a commander,Dustin is a commander,Cheryl is a commander,"{'entailment': '0.71', 'neutral': '0.13', 'contradiction': '0.16'}","{'entailment': '0.55', 'neutral': '0.22', 'contradiction': '0.23'}",0.31999999999999995
229,Either Danny or Kia are a hostess,Danny is a hostess,Kia is a hostess,"{'entailment': '0.62', 'neutral': '0.20', 'contradiction': '0.18'}","{'entailment': '0.49', 'neutral': '0.36', 'contradiction': '0.15'}",0.31999999999999995
484,Either Steve or Vrenna are a mover,Steve is a mover,Vrenna is a mover,"{'entailment': '0.58', 'neutral': '0.17', 'contradiction': '0.25'}","{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}",0.31999999999999995
315,Either Marcus or Yolanda are a model,Marcus is a model,Yolanda is a model,"{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.21', 'contradiction': '0.11'}",0.3199999999999999
311,Either Charlie or Rachel are a physician,Charlie is a physician,Rachel is a physician,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.78', 'neutral': '0.10', 'contradiction': '0.12'}",0.3199999999999999
283,Either Carlos or Joyce are an economist,Carlos is an economist,Joyce is an economist,"{'entailment': '0.84', 'neutral': '0.08', 'contradiction': '0.08'}","{'entailment': '0.68', 'neutral': '0.19', 'contradiction': '0.13'}",0.3199999999999999
32,Either Charles or Jenny are an attendant,Charles is an attendant,Jenny is an attendant,"{'entailment': '0.55', 'neutral': '0.29', 'contradiction': '0.17'}","{'entailment': '0.70', 'neutral': '0.22', 'contradiction': '0.07'}",0.3199999999999999
84,Either Juan or Camille are a clerk,Juan is a clerk,Camille is a clerk,"{'entailment': '0.60', 'neutral': '0.28', 'contradiction': '0.11'}","{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.05'}",0.31000000000000005
445,Either Jim or Shaniqua are a nurse,Jim is a nurse,Shaniqua is a nurse,"{'entailment': '0.68', 'neutral': '0.17', 'contradiction': '0.16'}","{'entailment': '0.52', 'neutral': '0.29', 'contradiction': '0.19'}",0.31000000000000005
43,Either Chang Lee or Sara are a photographer,Chang Lee is a photographer,Sara is a photographer,"{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.04'}","{'entailment': '0.69', 'neutral': '0.21', 'contradiction': '0.09'}",0.31
75,Either Zack or Candice are a fireman,Zack is a fireman,Candice is a fireman,"{'entailment': '0.70', 'neutral': '0.10', 'contradiction': '0.20'}","{'entailment': '0.54', 'neutral': '0.24', 'contradiction': '0.21'}",0.30999999999999994
201,Either Will or Brittany are a barber,Will is a barber,Brittany is a barber,"{'entailment': '0.47', 'neutral': '0.26', 'contradiction': '0.27'}","{'entailment': '0.54', 'neutral': '0.34', 'contradiction': '0.12'}",0.3000000000000001
166,Either Marquis or Anna are a boxer,Marquis is a boxer,Anna is a boxer,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.73', 'neutral': '0.16', 'contradiction': '0.11'}",0.30000000000000004
398,Either Eugene or Cindy are a chemist,Eugene is a chemist,Cindy is a chemist,"{'entailment': '0.59', 'neutral': '0.26', 'contradiction': '0.15'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.30000000000000004
387,Either Zack or Joanne are a researcher,Zack is a researcher,Joanne is a researcher,"{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}","{'entailment': '0.64', 'neutral': '0.22', 'contradiction': '0.14'}",0.30000000000000004
249,Either Tammy or Claire are a radiologist,Tammy is a radiologist,Claire is a radiologist,"{'entailment': '0.63', 'neutral': '0.31', 'contradiction': '0.06'}","{'entailment': '0.78', 'neutral': '0.19', 'contradiction': '0.03'}",0.30000000000000004
30,Either Charles or Marianne are a mechanic,Charles is a mechanic,Marianne is a mechanic,"{'entailment': '0.59', 'neutral': '0.19', 'contradiction': '0.22'}","{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.07'}",0.3
105,Either Timmy or Tasha are a broker,Timmy is a broker,Tasha is a broker,"{'entailment': '0.69', 'neutral': '0.22', 'contradiction': '0.09'}","{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}",0.3
182,Either DeAndre or Shevon are a boxer,DeAndre is a boxer,Shevon is a boxer,"{'entailment': '0.70', 'neutral': '0.15', 'contradiction': '0.15'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.3
190,Either Simon or Tuppence are an army,Simon is an army,Tuppence is an army,"{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.09'}","{'entailment': '0.59', 'neutral': '0.35', 'contradiction': '0.06'}",0.29999999999999993
70,Either Steven or Tuppence are a delivery,Steven is a delivery,Tuppence is a delivery,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.79', 'neutral': '0.10', 'contradiction': '0.11'}",0.29999999999999993
447,Either Amhad or Molly are a delivery,Amhad is a delivery,Molly is a delivery,"{'entailment': '0.95', 'neutral': '0.03', 'contradiction': '0.02'}","{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.10'}",0.29999999999999993
342,Either Gabriel or Kathy are a mover,Gabriel is a mover,Kathy is a mover,"{'entailment': '0.66', 'neutral': '0.22', 'contradiction': '0.12'}","{'entailment': '0.80', 'neutral': '0.13', 'contradiction': '0.06'}",0.29000000000000004
225,Either Kurt or Joyce are a lifeguard,Kurt is a lifeguard,Joyce is a lifeguard,"{'entailment': '0.62', 'neutral': '0.23', 'contradiction': '0.15'}","{'entailment': '0.77', 'neutral': '0.16', 'contradiction': '0.08'}",0.29000000000000004
317,Either Dave or Lena are a farmer,Dave is a farmer,Lena is a farmer,"{'entailment': '0.67', 'neutral': '0.28', 'contradiction': '0.06'}","{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.03'}",0.29000000000000004
319,Either Jamal or Juliette are a poet,Jamal is a poet,Juliette is a poet,"{'entailment': '0.66', 'neutral': '0.21', 'contradiction': '0.13'}","{'entailment': '0.60', 'neutral': '0.36', 'contradiction': '0.05'}",0.29000000000000004
334,Either Marty or Beyonce are a dancer,Marty is a dancer,Beyonce is a dancer,"{'entailment': '0.72', 'neutral': '0.15', 'contradiction': '0.12'}","{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}",0.29000000000000004
23,Either Tyresse or Emily are a gambler,Tyresse is a gambler,Emily is a gambler,"{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}","{'entailment': '0.79', 'neutral': '0.14', 'contradiction': '0.06'}",0.29000000000000004
313,Either Val or Ellen are a poet,Val is a poet,Ellen is a poet,"{'entailment': '0.90', 'neutral': '0.05', 'contradiction': '0.05'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.10'}",0.29
45,Either Sudeep or Kelly are a physicist,Sudeep is a physicist,Kelly is a physicist,"{'entailment': '0.54', 'neutral': '0.39', 'contradiction': '0.07'}","{'entailment': '0.69', 'neutral': '0.29', 'contradiction': '0.03'}",0.2899999999999999
269,Either Brady or Priya are a journalist,Brady is a journalist,Priya is a journalist,"{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}",0.28
34,Either Ramon or Anita are an inspector,Ramon is an inspector,Anita is an inspector,"{'entailment': '0.84', 'neutral': '0.09', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.20', 'contradiction': '0.10'}",0.28
363,Either Steven or Monica are a cashier,Steven is a cashier,Monica is a cashier,"{'entailment': '0.58', 'neutral': '0.19', 'contradiction': '0.23'}","{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}",0.28
459,Either Brady or Sue are a cleric,Brady is a cleric,Sue is a cleric,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.59', 'neutral': '0.23', 'contradiction': '0.18'}",0.28
344,Either Rajeev or Veronica are a theologian,Rajeev is a theologian,Veronica is a theologian,"{'entailment': '0.72', 'neutral': '0.12', 'contradiction': '0.15'}","{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.04'}",0.28
111,Either Jeff or Carrie are a coach,Jeff is a coach,Carrie is a coach,"{'entailment': '0.57', 'neutral': '0.30', 'contradiction': '0.13'}","{'entailment': '0.71', 'neutral': '0.21', 'contradiction': '0.08'}",0.28
390,Either Nell or Jenny are a janitor,Nell is a janitor,Jenny is a janitor,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.28
85,Either Dale or Edith are a manager,Dale is a manager,Edith is a manager,"{'entailment': '0.62', 'neutral': '0.20', 'contradiction': '0.18'}","{'entailment': '0.57', 'neutral': '0.34', 'contradiction': '0.09'}",0.28
62,Either Jim or Nina are a police officer,Jim is a police officer,Nina is a police officer,"{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.11'}","{'entailment': '0.57', 'neutral': '0.33', 'contradiction': '0.11'}",0.27
456,Either Jeff or Naomi are a plumber,Jeff is a plumber,Naomi is a plumber,"{'entailment': '0.66', 'neutral': '0.18', 'contradiction': '0.15'}","{'entailment': '0.53', 'neutral': '0.22', 'contradiction': '0.25'}",0.27
455,Either Rajeev or Katherine are a gambler,Rajeev is a gambler,Katherine is a gambler,"{'entailment': '0.83', 'neutral': '0.09', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}",0.27
491,Either Eric or Sarah are an auditor,Eric is an auditor,Sarah is an auditor,"{'entailment': '0.67', 'neutral': '0.15', 'contradiction': '0.17'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}",0.27
