,text,hypo,entailment,neutral,contradiction
35,Gabriel is a mathematician,either Cole or Gabriel is a mathematician,0.07,0.86,0.07
36,LeShawn is an office worker,either LeShawn or Carlos is an office worker,0.08,0.89,0.04
37,Carlos is an office worker,either LeShawn or Carlos is an office worker,0.30,0.65,0.05
38,Greg is a pilot,either Greg or Won San Lee is a pilot,0.03,0.95,0.02
39,Won San Lee is a pilot,either Greg or Won San Lee is a pilot,0.23,0.74,0.03
40,Cadan is a civil,either Cadan or Jamel is a civil,0.18,0.77,0.05
41,Jamel is a civil,either Cadan or Jamel is a civil,0.43,0.53,0.05
42,Hunter is a hostess,either Hunter or Jose is a hostess,0.07,0.81,0.12
43,Jose is a hostess,either Hunter or Jose is a hostess,0.24,0.65,0.11
44,Jake is a delivery,either Jake or Chen Wee is a delivery,0.07,0.90,0.03
45,Chen Wee is a delivery,either Jake or Chen Wee is a delivery,0.09,0.81,0.10
46,Scott is a businessperson,either Scott or DeShawn is a businessperson,0.24,0.74,0.02
47,DeShawn is a businessperson,either Scott or DeShawn is a businessperson,0.23,0.74,0.03
48,LeShawn is a painter,either LeShawn or Laquan is a painter,0.44,0.53,0.02
49,Laquan is a painter,either LeShawn or Laquan is a painter,0.30,0.63,0.07
50,Jack is an engineer,either Jack or Jamal is an engineer,0.07,0.90,0.03
51,Jamal is an engineer,either Jack or Jamal is an engineer,0.10,0.81,0.09
52,Dylan is a police officer,either Dylan or Marquis is a police officer,0.25,0.72,0.03
53,Marquis is a police officer,either Dylan or Marquis is a police officer,0.18,0.76,0.07
54,Jake is a hairdresser,either Jake or Rajeev is a hairdresser,0.11,0.87,0.02
55,Rajeev is a hairdresser,either Jake or Rajeev is a hairdresser,0.08,0.88,0.04
56,LeShawn is an opera singer,either LeShawn or Ragesh is an opera singer,0.29,0.68,0.03
57,Ragesh is an opera singer,either LeShawn or Ragesh is an opera singer,0.42,0.52,0.06
58,Jacob is a physicist,either Jacob or Kwame is a physicist,0.10,0.86,0.04
59,Kwame is a physicist,either Jacob or Kwame is a physicist,0.07,0.90,0.03
60,Hunter is an illustrator,either Hunter or Chen Wee is an illustrator,0.08,0.88,0.04
61,Chen Wee is an illustrator,either Hunter or Chen Wee is an illustrator,0.33,0.60,0.07
62,Cole is a lawyer,either Cole or LeBron is a lawyer,0.02,0.94,0.03
63,LeBron is a lawyer,either Cole or LeBron is a lawyer,0.11,0.85,0.04
64,Dustin is an employment,either Dustin or Miguel is an employment,0.13,0.66,0.21
65,Miguel is an employment,either Dustin or Miguel is an employment,0.13,0.49,0.37
66,Cody is a pensioner,either Cody or Won Lee is a pensioner,0.08,0.89,0.03
67,Won Lee is a pensioner,either Cody or Won Lee is a pensioner,0.30,0.67,0.03
68,Jake is a painter,either Jake or Tyrone is a painter,0.10,0.87,0.03
69,Tyrone is a painter,either Jake or Tyrone is a painter,0.08,0.81,0.11
70,Hunter is a professor,either Hunter or Carlos is a professor,0.06,0.89,0.06
71,Carlos is a professor,either Hunter or Carlos is a professor,0.25,0.69,0.06
72,Dustin is a singer,either Dustin or Malik is a singer,0.06,0.90,0.04
73,Malik is a singer,either Dustin or Malik is a singer,0.40,0.53,0.07
74,Hunter is an army,either Hunter or Marquis is an army,0.16,0.77,0.07
75,Marquis is an army,either Hunter or Marquis is an army,0.15,0.63,0.23
76,Cole is a model,either Cole or Chen Wu is a model,0.04,0.93,0.03
77,Chen Wu is a model,either Cole or Chen Wu is a model,0.11,0.85,0.04
78,Dylan is an engineer,either Dylan or Rajeev is an engineer,0.24,0.75,0.01
79,Rajeev is an engineer,either Dylan or Rajeev is an engineer,0.32,0.66,0.02
80,Scott is a diplomat,either Scott or Kwame is a diplomat,0.18,0.80,0.02
81,Kwame is a diplomat,either Scott or Kwame is a diplomat,0.37,0.60,0.03
82,Jake is an entrepreneur,either Jake or Trevon is an entrepreneur,0.20,0.77,0.03
83,Trevon is an entrepreneur,either Jake or Trevon is an entrepreneur,0.08,0.64,0.28
84,Jake is a mathematician,either Jake or Won San Lee is a mathematician,0.04,0.95,0.02
85,Won San Lee is a mathematician,either Jake or Won San Lee is a mathematician,0.14,0.81,0.05
86,Jack is an economist,either Jack or Malik is an economist,0.07,0.88,0.05
87,Malik is an economist,either Jack or Malik is an economist,0.23,0.59,0.18
88,Cadan is a receptionist,either Cadan or Ramirez is a receptionist,0.18,0.76,0.05
89,Ramirez is a receptionist,either Cadan or Ramirez is a receptionist,0.54,0.43,0.03
90,Scott is a software engineer,either Scott or Sudeep is a software engineer,0.20,0.78,0.01
91,Sudeep is a software engineer,either Scott or Sudeep is a software engineer,0.29,0.68,0.03
92,Greg is a physician,either Greg or Chan is a physician,0.09,0.86,0.05
93,Chan is a physician,either Greg or Chan is a physician,0.07,0.88,0.05
94,Ronnie is a mover,either Ronnie or Won Lee is a mover,0.03,0.93,0.05
95,Won Lee is a mover,either Ronnie or Won Lee is a mover,0.08,0.87,0.06
96,Hunter is an executive,either Hunter or Malik is an executive,0.08,0.88,0.04
97,Malik is an executive,either Hunter or Malik is an executive,0.42,0.54,0.04
98,Greg is a drawer,either Greg or Ragesh is a drawer,0.16,0.80,0.04
99,Ragesh is a drawer,either Greg or Ragesh is a drawer,0.11,0.81,0.08
100,Jake is a carpenter,either Jake or Silas is a carpenter,0.13,0.85,0.02
101,Silas is a carpenter,either Jake or Silas is a carpenter,0.08,0.88,0.04
102,LeShawn is a designer,either LeShawn or Jorge is a designer,0.08,0.86,0.06
103,Jorge is a designer,either LeShawn or Jorge is a designer,0.39,0.57,0.05
104,Connor is an agent,either Connor or Silas is an agent,0.25,0.72,0.02
105,Silas is an agent,either Connor or Silas is an agent,0.10,0.85,0.05
106,Jack is an opera singer,either Jack or Sudeep is an opera singer,0.31,0.67,0.03
107,Sudeep is an opera singer,either Jack or Sudeep is an opera singer,0.15,0.79,0.06
108,Jacob is a delivery,either Jacob or Trevon is a delivery,0.36,0.57,0.06
109,Trevon is a delivery,either Jacob or Trevon is a delivery,0.07,0.67,0.26
110,Ronnie is a plumber,either Ronnie or LeBron is a plumber,0.02,0.92,0.07
111,LeBron is a plumber,either Ronnie or LeBron is a plumber,0.20,0.72,0.09
112,Ronnie is a laborer,either Ronnie or Juan is a laborer,0.15,0.78,0.06
113,Juan is a laborer,either Ronnie or Juan is a laborer,0.13,0.71,0.16
114,Dustin is a receptionist,either Dustin or Trevon is a receptionist,0.31,0.66,0.03
115,Trevon is a receptionist,either Dustin or Trevon is a receptionist,0.34,0.54,0.12
116,LeShawn is a firefighter,either LeShawn or Ragesh is a firefighter,0.30,0.68,0.03
117,Ragesh is a firefighter,either LeShawn or Ragesh is a firefighter,0.30,0.65,0.05
118,Cadan is a chef,either Cadan or Jamel is a chef,0.22,0.75,0.03
119,Jamel is a chef,either Cadan or Jamel is a chef,0.43,0.52,0.05
120,LeShawn is an actor,either LeShawn or Sheng Lee is an actor,0.11,0.86,0.03
121,Sheng Lee is an actor,either LeShawn or Sheng Lee is an actor,0.47,0.50,0.03
122,Cody is a musician,either Cody or LeBron is a musician,0.02,0.93,0.05
123,LeBron is a musician,either Cody or LeBron is a musician,0.13,0.81,0.06
124,LeShawn is a teacher,either LeShawn or Javier is a teacher,0.05,0.90,0.04
125,Javier is a teacher,either LeShawn or Javier is a teacher,0.32,0.61,0.06
126,Hunter is a physicist,either Hunter or Chen Wee is a physicist,0.08,0.91,0.02
127,Chen Wee is a physicist,either Hunter or Chen Wee is a physicist,0.25,0.67,0.08
128,Dustin is a chef,either Dustin or LeBron is a chef,0.02,0.89,0.10
129,LeBron is a chef,either Dustin or LeBron is a chef,0.27,0.56,0.17
130,Scott is a secretary,either Scott or Terrell is a secretary,0.18,0.80,0.02
131,Terrell is a secretary,either Scott or Terrell is a secretary,0.18,0.77,0.05
132,Scott is an aeronautical engineer,either Scott or Chang Lee is an aeronautical engineer,0.03,0.94,0.02
133,Chang Lee is an aeronautical engineer,either Scott or Chang Lee is an aeronautical engineer,0.30,0.66,0.04
134,Scott is an opera singer,either Scott or Sudeep is an opera singer,0.24,0.74,0.02
135,Sudeep is an opera singer,either Scott or Sudeep is an opera singer,0.16,0.79,0.05
136,Scott is a police officer,either Scott or Chen Wee is a police officer,0.11,0.88,0.02
137,Chen Wee is a police officer,either Scott or Chen Wee is a police officer,0.10,0.85,0.06
138,LeShawn is a hairdresser,either LeShawn or Jorge is a hairdresser,0.05,0.92,0.03
139,Jorge is a hairdresser,either LeShawn or Jorge is a hairdresser,0.61,0.38,0.01
140,LeShawn is a servant,either LeShawn or Javier is a servant,0.06,0.88,0.05
141,Javier is a servant,either LeShawn or Javier is a servant,0.32,0.61,0.07
142,Cadan is a driver,either Cadan or LeBron is a driver,0.03,0.86,0.11
143,LeBron is a driver,either Cadan or LeBron is a driver,0.38,0.59,0.03
144,Cole is a cleaner,either Cole or Laquan is a cleaner,0.23,0.75,0.02
145,Laquan is a cleaner,either Cole or Laquan is a cleaner,0.07,0.88,0.06
146,Dustin is a mechanic,either Dustin or Marquis is a mechanic,0.20,0.75,0.04
147,Marquis is a mechanic,either Dustin or Marquis is a mechanic,0.33,0.54,0.13
148,Cadan is a farmer,either Cadan or Terrell is a farmer,0.14,0.82,0.04
149,Terrell is a farmer,either Cadan or Terrell is a farmer,0.29,0.68,0.03
150,Ronnie is a manager,either Ronnie or DeShawn is a manager,0.24,0.73,0.03
151,DeShawn is a manager,either Ronnie or DeShawn is a manager,0.14,0.81,0.05
152,Dylan is an umpire,either Dylan or Terrance is an umpire,0.21,0.75,0.04
153,Terrance is an umpire,either Dylan or Terrance is an umpire,0.13,0.79,0.07
154,Cody is a theologian,either Cody or Lamar is a theologian,0.12,0.82,0.05
155,Lamar is a theologian,either Cody or Lamar is a theologian,0.17,0.78,0.05
156,Jacob is a lawyer,either Jacob or Adrin is a lawyer,0.15,0.81,0.04
157,Adrin is a lawyer,either Jacob or Adrin is a lawyer,0.04,0.91,0.06
158,Scott is a dentist,either Scott or Ramirez is a dentist,0.09,0.88,0.03
159,Ramirez is a dentist,either Scott or Ramirez is a dentist,0.13,0.73,0.15
160,Hunter is a judge,either Hunter or Laquan is a judge,0.21,0.74,0.05
161,Laquan is a judge,either Hunter or Laquan is a judge,0.07,0.88,0.05
162,Greg is a producer,either Greg or Adrin is a producer,0.24,0.73,0.03
163,Adrin is a producer,either Greg or Adrin is a producer,0.08,0.86,0.06
164,Jacob is a singer,either Jacob or Terrell is a singer,0.08,0.88,0.04
165,Terrell is a singer,either Jacob or Terrell is a singer,0.05,0.89,0.06
166,Dustin is a gambler,either Dustin or Gary is a gambler,0.10,0.87,0.03
167,Gary is a gambler,either Dustin or Gary is a gambler,0.21,0.72,0.07
168,Dustin is an author,either Dustin or Jamel is an author,0.26,0.70,0.04
169,Jamel is an author,either Dustin or Jamel is an author,0.33,0.56,0.10
170,Cody is an illustrator,either Cody or Sheng Lee is an illustrator,0.13,0.82,0.04
171,Sheng Lee is an illustrator,either Cody or Sheng Lee is an illustrator,0.29,0.66,0.04
172,Dylan is a teacher,either Dylan or Terrell is a teacher,0.18,0.79,0.03
173,Terrell is a teacher,either Dylan or Terrell is a teacher,0.05,0.89,0.07
174,Cole is a clerk,either Cole or Trevon is a clerk,0.40,0.57,0.03
175,Trevon is a clerk,either Cole or Trevon is a clerk,0.15,0.79,0.06
176,Jack is a soldier,either Jack or Ragesh is a soldier,0.22,0.75,0.03
177,Ragesh is a soldier,either Jack or Ragesh is a soldier,0.11,0.81,0.09
178,Jack is a radiologist,either Jack or Ramirez is a radiologist,0.12,0.85,0.03
179,Ramirez is a radiologist,either Jack or Ramirez is a radiologist,0.43,0.50,0.07
180,LeShawn is a tailor,either LeShawn or Jorge is a tailor,0.07,0.88,0.05
181,Jorge is a tailor,either LeShawn or Jorge is a tailor,0.43,0.53,0.04
182,Dustin is a teacher,either Dustin or Silas is a teacher,0.21,0.76,0.03
183,Silas is a teacher,either Dustin or Silas is a teacher,0.14,0.79,0.07
184,Jacob is a doctor,either Jacob or Ragesh is a doctor,0.15,0.82,0.03
185,Ragesh is a doctor,either Jacob or Ragesh is a doctor,0.03,0.90,0.06
186,Cole is a civil,either Cole or Chang Lee is a civil,0.04,0.93,0.02
187,Chang Lee is a civil,either Cole or Chang Lee is a civil,0.08,0.89,0.04
188,Jack is an auditor,either Jack or Juan is an auditor,0.14,0.80,0.06
189,Juan is an auditor,either Jack or Juan is an auditor,0.11,0.66,0.23
190,Greg is a swimmer,either Greg or Sheng Lee is a swimmer,0.15,0.84,0.01
191,Sheng Lee is a swimmer,either Greg or Sheng Lee is a swimmer,0.20,0.77,0.02
192,Jacob is a servant,either Jacob or Marquis is a servant,0.18,0.77,0.05
193,Marquis is a servant,either Jacob or Marquis is a servant,0.09,0.86,0.05
194,Dylan is a chief,either Dylan or Ming is a chief,0.12,0.83,0.05
195,Ming is a chief,either Dylan or Ming is a chief,0.09,0.83,0.08
196,LeShawn is a boxer,either LeShawn or Sheng Lee is a boxer,0.13,0.83,0.04
197,Sheng Lee is a boxer,either LeShawn or Sheng Lee is a boxer,0.45,0.51,0.04
198,Dylan is an analyst,either Dylan or Ming is an analyst,0.08,0.90,0.02
199,Ming is an analyst,either Dylan or Ming is an analyst,0.23,0.72,0.04
