,text,hypo,entailment,neutral,contradiction
171,Either Leonard or Candice are a construction worker,Candice is a construction worker,0.92,0.07,0.01
172,Either Harold or Marie are a barber,Harold is a barber,0.79,0.16,0.04
173,Either Harold or Marie are a barber,Marie is a barber,0.71,0.24,0.05
174,Either LeShawn or Shaniqua are an academic,LeShawn is an academic,0.55,0.37,0.08
175,Either LeShawn or Shaniqua are an academic,Shaniqua is an academic,0.68,0.27,0.05
176,Either Lars or Bai are a radiologist,Lars is a radiologist,0.58,0.25,0.18
177,Either Lars or Bai are a radiologist,Bai is a radiologist,0.63,0.28,0.09
178,Either Jerome or Yolanda are a butler,Jerome is a butler,0.36,0.52,0.13
179,Either Jerome or Yolanda are a butler,Yolanda is a butler,0.42,0.52,0.06
180,Either Greg or Jacqui are a swimmer,Greg is a swimmer,0.49,0.48,0.03
181,Either Greg or Jacqui are a swimmer,Jacqui is a swimmer,0.74,0.23,0.03
182,Either Shawn or Charlene are a CEO,Shawn is a CEO,0.55,0.23,0.22
183,Either Shawn or Charlene are a CEO,Charlene is a CEO,0.63,0.24,0.13
184,Either Ron or Maggie are a nurse,Ron is a nurse,0.45,0.35,0.20
185,Either Ron or Maggie are a nurse,Maggie is a nurse,0.65,0.25,0.10
186,Either Chan or Beth are a hairdresser,Chan is a hairdresser,0.72,0.20,0.08
187,Either Chan or Beth are a hairdresser,Beth is a hairdresser,0.88,0.10,0.02
188,Either Nell or Tasha are a tennis player,Nell is a tennis player,0.80,0.16,0.03
189,Either Nell or Tasha are a tennis player,Tasha is a tennis player,0.72,0.24,0.04
190,Either Brady or Jenny are a swimmer,Brady is a swimmer,0.80,0.18,0.02
191,Either Brady or Jenny are a swimmer,Jenny is a swimmer,0.71,0.25,0.03
192,Either Sergey or Sharon are a sociologist,Sergey is a sociologist,0.73,0.16,0.11
193,Either Sergey or Sharon are a sociologist,Sharon is a sociologist,0.55,0.35,0.10
194,Either Silas or Meghan are a dentist,Silas is a dentist,0.92,0.06,0.02
195,Either Silas or Meghan are a dentist,Meghan is a dentist,0.87,0.11,0.03
196,Either Gabriel or Susie are a scientist,Gabriel is a scientist,0.47,0.46,0.07
197,Either Gabriel or Susie are a scientist,Susie is a scientist,0.46,0.48,0.07
198,Either DeAndre or Tessa are a driver,DeAndre is a driver,0.75,0.22,0.03
199,Either DeAndre or Tessa are a driver,Tessa is a driver,0.60,0.35,0.05
