,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
23,Neither Precious or Dustin is an arts,Precious is not an arts,0.900,0.070,0.030,entailment,Dustin is not an arts,0.876,0.088,0.036,entailment,0.048,Neither Dustin or Precious is an arts,Precious is not an arts,0.861,0.094,0.045,entailment,Dustin is not an arts,0.882,0.087,0.031,entailment,0.043,0.079,0.013,0.092
24,Neither Nia or Chan is a director,Nia is not a director,0.810,0.092,0.099,entailment,Chan is not a director,0.822,0.082,0.097,entailment,0.025,Neither Chan or Nia is a director,Nia is not a director,0.711,0.099,0.190,entailment,Chan is not a director,0.878,0.066,0.056,entailment,0.334,0.198,0.112,0.309
25,Neither Barbara or Marquis is a detective,Barbara is not a detective,0.854,0.120,0.026,entailment,Marquis is not a detective,0.781,0.140,0.080,entailment,0.146,Neither Marquis or Barbara is a detective,Barbara is not a detective,0.844,0.115,0.040,entailment,Marquis is not a detective,0.853,0.123,0.025,entailment,0.031,0.028,0.144,0.172
26,Neither Lea or Fred is a musician,Lea is not a musician,0.725,0.106,0.169,entailment,Fred is not a musician,0.659,0.124,0.217,entailment,0.131,Neither Fred or Lea is a musician,Lea is not a musician,0.617,0.114,0.269,entailment,Fred is not a musician,0.812,0.106,0.082,entailment,0.390,0.216,0.305,0.521
27,Neither Candy or Ronnie is an astronomer,Candy is not an astronomer,0.862,0.104,0.035,entailment,Ronnie is not an astronomer,0.807,0.089,0.105,entailment,0.139,Neither Ronnie or Candy is an astronomer,Candy is not an astronomer,0.790,0.144,0.066,entailment,Ronnie is not an astronomer,0.853,0.104,0.043,entailment,0.126,0.144,0.123,0.266
28,Neither Shelly or LeBron is a diplomat,Shelly is not a diplomat,0.833,0.119,0.048,entailment,LeBron is not a diplomat,0.894,0.056,0.050,entailment,0.127,Neither LeBron or Shelly is a diplomat,Shelly is not a diplomat,0.753,0.140,0.107,entailment,LeBron is not a diplomat,0.914,0.070,0.016,entailment,0.321,0.160,0.068,0.228
29,Neither Benny or Chan is a historian,Benny is not a historian,0.830,0.130,0.039,entailment,Chan is not a historian,0.765,0.150,0.085,entailment,0.131,Neither Chan or Benny is a historian,Benny is not a historian,0.789,0.147,0.064,entailment,Chan is not a historian,0.793,0.135,0.072,entailment,0.024,0.082,0.056,0.138
30,Neither Jacqui or Steven is an athlete,Jacqui is not an athlete,0.880,0.071,0.049,entailment,Steven is not an athlete,0.864,0.081,0.055,entailment,0.031,Neither Steven or Jacqui is an athlete,Jacqui is not an athlete,0.758,0.090,0.152,entailment,Steven is not an athlete,0.919,0.057,0.024,entailment,0.323,0.243,0.111,0.354
31,Neither Cathy or Treyvone is an agent,Cathy is not an agent,0.876,0.073,0.051,entailment,Treyvone is not an agent,0.872,0.073,0.055,entailment,0.008,Neither Treyvone or Cathy is an agent,Cathy is not an agent,0.822,0.091,0.088,entailment,Treyvone is not an agent,0.914,0.063,0.023,entailment,0.184,0.109,0.083,0.192
32,Neither Janet or Jesus is a manager,Janet is not a manager,0.883,0.086,0.031,entailment,Jesus is not a manager,0.840,0.096,0.064,entailment,0.086,Neither Jesus or Janet is a manager,Janet is not a manager,0.837,0.093,0.070,entailment,Jesus is not a manager,0.839,0.132,0.029,entailment,0.082,0.092,0.073,0.165
33,Neither Sharon or Vince is a psychologist,Sharon is not a psychologist,0.819,0.121,0.060,entailment,Vince is not a psychologist,0.745,0.117,0.138,entailment,0.157,Neither Vince or Sharon is a psychologist,Sharon is not a psychologist,0.655,0.136,0.209,entailment,Vince is not a psychologist,0.873,0.097,0.030,entailment,0.437,0.329,0.256,0.585
34,Neither Ellen or Jose is a radiologist,Ellen is not a radiologist,0.874,0.074,0.052,entailment,Jose is not a radiologist,0.779,0.096,0.125,entailment,0.191,Neither Jose or Ellen is a radiologist,Ellen is not a radiologist,0.738,0.107,0.155,entailment,Jose is not a radiologist,0.870,0.082,0.048,entailment,0.264,0.272,0.183,0.455
35,Neither Candice or Louis is a mathematician,Candice is not a mathematician,0.802,0.134,0.064,entailment,Louis is not a mathematician,0.796,0.132,0.072,entailment,0.016,Neither Louis or Candice is a mathematician,Candice is not a mathematician,0.710,0.160,0.129,entailment,Louis is not a mathematician,0.846,0.123,0.031,entailment,0.271,0.183,0.100,0.282
36,Neither Megan or Vince is an attourney,Megan is not an attourney,0.862,0.104,0.034,entailment,Vince is not an attourney,0.749,0.136,0.115,entailment,0.226,Neither Vince or Megan is an attourney,Megan is not an attourney,0.643,0.150,0.207,entailment,Vince is not an attourney,0.900,0.077,0.022,entailment,0.516,0.438,0.304,0.742
37,Neither Roberta or Treyvone is an umpire,Roberta is not an umpire,0.868,0.099,0.033,entailment,Treyvone is not an umpire,0.850,0.105,0.045,entailment,0.036,Neither Treyvone or Roberta is an umpire,Roberta is not an umpire,0.838,0.093,0.069,entailment,Treyvone is not an umpire,0.905,0.073,0.022,entailment,0.134,0.072,0.111,0.183
38,Neither Marianne or Joe is a mover,Marianne is not a mover,0.910,0.073,0.016,entailment,Joe is not a mover,0.827,0.128,0.045,entailment,0.168,Neither Joe or Marianne is a mover,Marianne is not a mover,0.832,0.116,0.052,entailment,Joe is not a mover,0.907,0.081,0.012,entailment,0.150,0.157,0.160,0.318
39,Neither Beyonce or Shane is a manager,Beyonce is not a manager,0.902,0.074,0.024,entailment,Shane is not a manager,0.872,0.081,0.048,entailment,0.060,Neither Shane or Beyonce is a manager,Beyonce is not a manager,0.862,0.075,0.064,entailment,Shane is not a manager,0.900,0.069,0.031,entailment,0.076,0.080,0.057,0.137
40,Neither Ruby or Scott is a laborer,Ruby is not a laborer,0.850,0.113,0.038,entailment,Scott is not a laborer,0.784,0.127,0.089,entailment,0.132,Neither Scott or Ruby is a laborer,Ruby is not a laborer,0.745,0.148,0.107,entailment,Scott is not a laborer,0.879,0.089,0.032,entailment,0.268,0.209,0.191,0.400
41,Neither Barbara or Ramon is an arts,Barbara is not an arts,0.830,0.133,0.037,entailment,Ramon is not an arts,0.799,0.156,0.045,entailment,0.061,Neither Ramon or Barbara is an arts,Barbara is not an arts,0.809,0.155,0.036,entailment,Ramon is not an arts,0.810,0.145,0.045,entailment,0.020,0.044,0.022,0.066
42,Neither Ellen or Kevin is a singer,Ellen is not a singer,0.894,0.068,0.038,entailment,Kevin is not a singer,0.831,0.098,0.071,entailment,0.125,Neither Kevin or Ellen is a singer,Ellen is not a singer,0.769,0.120,0.110,entailment,Kevin is not a singer,0.851,0.104,0.045,entailment,0.163,0.250,0.051,0.301
43,Neither Roberta or Rocco is a professor,Roberta is not a professor,0.792,0.112,0.096,entailment,Rocco is not a professor,0.777,0.101,0.122,entailment,0.051,Neither Rocco or Roberta is a professor,Roberta is not a professor,0.730,0.112,0.158,entailment,Rocco is not a professor,0.844,0.092,0.065,entailment,0.227,0.123,0.134,0.257
44,Neither Joanne or Trevon is a firefighter,Joanne is not a firefighter,0.826,0.102,0.072,entailment,Trevon is not a firefighter,0.751,0.106,0.143,entailment,0.148,Neither Trevon or Joanne is a firefighter,Joanne is not a firefighter,0.772,0.118,0.109,entailment,Trevon is not a firefighter,0.886,0.079,0.035,entailment,0.227,0.106,0.268,0.375
45,Neither Maya or Shane is a performing artist,Maya is not a performing artist,0.894,0.058,0.048,entailment,Shane is not a performing artist,0.853,0.054,0.093,entailment,0.091,Neither Shane or Maya is a performing artist,Maya is not a performing artist,0.850,0.075,0.075,entailment,Shane is not a performing artist,0.905,0.046,0.048,entailment,0.110,0.087,0.105,0.192
46,Neither Tessa or Robert is a firefighter,Tessa is not a firefighter,0.773,0.130,0.098,entailment,Robert is not a firefighter,0.844,0.080,0.076,entailment,0.143,Neither Robert or Tessa is a firefighter,Tessa is not a firefighter,0.647,0.155,0.198,entailment,Robert is not a firefighter,0.892,0.077,0.032,entailment,0.490,0.252,0.095,0.347
47,Neither Carla or Jones is a chief,Carla is not a chief,0.884,0.086,0.030,entailment,Jones is not a chief,0.856,0.111,0.033,entailment,0.057,Neither Jones or Carla is a chief,Carla is not a chief,0.794,0.124,0.082,entailment,Jones is not a chief,0.898,0.084,0.017,entailment,0.208,0.180,0.085,0.265
48,Neither Janet or John is an auditor,Janet is not an auditor,0.840,0.123,0.038,entailment,John is not an auditor,0.795,0.150,0.055,entailment,0.089,Neither John or Janet is an auditor,Janet is not an auditor,0.700,0.162,0.138,entailment,John is not an auditor,0.861,0.118,0.021,entailment,0.321,0.279,0.131,0.410
49,Neither Katie or Micheal is a judge,Katie is not a judge,0.857,0.080,0.063,entailment,Micheal is not a judge,0.719,0.096,0.184,entailment,0.275,Neither Micheal or Katie is a judge,Katie is not a judge,0.805,0.089,0.106,entailment,Micheal is not a judge,0.865,0.083,0.053,entailment,0.120,0.105,0.290,0.395
50,Neither Nina or LeShawn is a magician,Nina is not a magician,0.792,0.144,0.064,entailment,LeShawn is not a magician,0.703,0.168,0.128,entailment,0.177,Neither LeShawn or Nina is a magician,Nina is not a magician,0.778,0.129,0.093,entailment,LeShawn is not a magician,0.807,0.127,0.066,entailment,0.056,0.057,0.207,0.264
51,Neither Heather or Kevin is a banker,Heather is not a banker,0.933,0.055,0.012,entailment,Kevin is not a banker,0.869,0.083,0.048,entailment,0.128,Neither Kevin or Heather is a banker,Heather is not a banker,0.851,0.098,0.051,entailment,Kevin is not a banker,0.903,0.083,0.014,entailment,0.105,0.164,0.070,0.234
52,Neither Claire or Jamie is a receptionist,Claire is not a receptionist,0.932,0.049,0.019,entailment,Jamie is not a receptionist,0.873,0.075,0.051,entailment,0.117,Neither Jamie or Claire is a receptionist,Claire is not a receptionist,0.897,0.070,0.034,entailment,Jamie is not a receptionist,0.919,0.058,0.022,entailment,0.045,0.071,0.092,0.162
53,Neither Joanne or Javier is a guitarist,Joanne is not a guitarist,0.841,0.115,0.043,entailment,Javier is not a guitarist,0.829,0.103,0.068,entailment,0.049,Neither Javier or Joanne is a guitarist,Joanne is not a guitarist,0.750,0.140,0.110,entailment,Javier is not a guitarist,0.895,0.076,0.029,entailment,0.290,0.184,0.131,0.314
54,Neither Sharon or Jim is a plumber,Sharon is not a plumber,0.899,0.079,0.022,entailment,Jim is not a plumber,0.840,0.092,0.068,entailment,0.117,Neither Jim or Sharon is a plumber,Sharon is not a plumber,0.823,0.110,0.067,entailment,Jim is not a plumber,0.914,0.073,0.013,entailment,0.183,0.153,0.147,0.300
55,Neither Tina or David is an engineer,Tina is not an engineer,0.830,0.117,0.053,entailment,David is not an engineer,0.786,0.103,0.111,entailment,0.117,Neither David or Tina is an engineer,Tina is not an engineer,0.731,0.158,0.111,entailment,David is not an engineer,0.879,0.094,0.027,entailment,0.296,0.197,0.187,0.385
56,Neither Raven or Vince is a farmer,Raven is not a farmer,0.866,0.099,0.036,entailment,Vince is not a farmer,0.852,0.092,0.056,entailment,0.041,Neither Vince or Raven is a farmer,Raven is not a farmer,0.835,0.111,0.053,entailment,Vince is not a farmer,0.894,0.091,0.015,entailment,0.118,0.061,0.084,0.145
57,Neither Ellen or Dylan is a drawer,Ellen is not a drawer,0.858,0.104,0.039,entailment,Dylan is not a drawer,0.829,0.124,0.047,entailment,0.056,Neither Dylan or Ellen is a drawer,Ellen is not a drawer,0.785,0.129,0.085,entailment,Dylan is not a drawer,0.851,0.108,0.041,entailment,0.131,0.145,0.043,0.188
58,Neither Tuppence or LeShawn is a performing artist,Tuppence is not a performing artist,0.759,0.089,0.152,entailment,LeShawn is not a performing artist,0.728,0.080,0.192,entailment,0.080,Neither LeShawn or Tuppence is a performing artist,Tuppence is not a performing artist,0.743,0.080,0.177,entailment,LeShawn is not a performing artist,0.811,0.068,0.121,entailment,0.135,0.049,0.165,0.214
59,Neither Carla or Aaron is a janitor,Carla is not a janitor,0.849,0.101,0.050,entailment,Aaron is not a janitor,0.851,0.083,0.066,entailment,0.036,Neither Aaron or Carla is a janitor,Carla is not a janitor,0.742,0.145,0.113,entailment,Aaron is not a janitor,0.919,0.062,0.019,entailment,0.354,0.214,0.137,0.351
60,Neither Megan or Dylan is a lifeguard,Megan is not a lifeguard,0.873,0.088,0.039,entailment,Dylan is not a lifeguard,0.839,0.100,0.061,entailment,0.068,Neither Dylan or Megan is a lifeguard,Megan is not a lifeguard,0.770,0.098,0.132,entailment,Dylan is not a lifeguard,0.880,0.089,0.031,entailment,0.219,0.205,0.082,0.287
61,Neither Marianne or Edward is an agent,Marianne is not an agent,0.884,0.075,0.041,entailment,Edward is not an agent,0.810,0.099,0.091,entailment,0.148,Neither Edward or Marianne is an agent,Marianne is not an agent,0.790,0.114,0.096,entailment,Edward is not an agent,0.917,0.065,0.019,entailment,0.254,0.188,0.213,0.402
62,Neither Beth or Zack is a sociologist,Beth is not a sociologist,0.794,0.109,0.098,entailment,Zack is not a sociologist,0.800,0.081,0.120,entailment,0.056,Neither Zack or Beth is a sociologist,Beth is not a sociologist,0.672,0.140,0.189,entailment,Zack is not a sociologist,0.889,0.070,0.041,entailment,0.434,0.243,0.178,0.422
63,Neither Cindy or Aaron is an army,Cindy is not an army,0.882,0.103,0.015,entailment,Aaron is not an army,0.803,0.126,0.071,entailment,0.159,Neither Aaron or Cindy is an army,Cindy is not an army,0.836,0.134,0.029,entailment,Aaron is not an army,0.886,0.093,0.021,entailment,0.100,0.093,0.166,0.259
64,Neither Ruby or Terrance is an employee,Ruby is not an employee,0.865,0.078,0.057,entailment,Terrance is not an employee,0.765,0.136,0.099,entailment,0.200,Neither Terrance or Ruby is an employee,Ruby is not an employee,0.748,0.104,0.148,entailment,Terrance is not an employee,0.808,0.121,0.071,entailment,0.154,0.234,0.087,0.321
65,Neither Candace or Micheal is a teacher,Candace is not a teacher,0.857,0.094,0.049,entailment,Micheal is not a teacher,0.844,0.083,0.073,entailment,0.048,Neither Micheal or Candace is a teacher,Candace is not a teacher,0.836,0.100,0.064,entailment,Micheal is not a teacher,0.866,0.098,0.036,entailment,0.059,0.041,0.074,0.115
66,Neither Erica or Vince is a cleaner,Erica is not a cleaner,0.866,0.077,0.057,entailment,Vince is not a cleaner,0.823,0.076,0.101,entailment,0.088,Neither Vince or Erica is a cleaner,Erica is not a cleaner,0.752,0.111,0.137,entailment,Vince is not a cleaner,0.926,0.060,0.014,entailment,0.347,0.227,0.205,0.433
67,Neither Monique or Fred is a secretary,Monique is not a secretary,0.848,0.090,0.063,entailment,Fred is not a secretary,0.793,0.093,0.114,entailment,0.110,Neither Fred or Monique is a secretary,Monique is not a secretary,0.725,0.115,0.160,entailment,Fred is not a secretary,0.871,0.089,0.041,entailment,0.292,0.246,0.155,0.402
68,Neither Janice or Jake is an employee,Janice is not an employee,0.779,0.109,0.112,entailment,Jake is not an employee,0.734,0.113,0.153,entailment,0.089,Neither Jake or Janice is an employee,Janice is not an employee,0.653,0.148,0.199,entailment,Jake is not an employee,0.861,0.079,0.059,entailment,0.417,0.252,0.254,0.506
69,Neither Shevon or Terrance is a pilot,Shevon is not a pilot,0.905,0.069,0.026,entailment,Terrance is not a pilot,0.857,0.113,0.030,entailment,0.097,Neither Terrance or Shevon is a pilot,Shevon is not a pilot,0.863,0.081,0.056,entailment,Terrance is not a pilot,0.895,0.082,0.023,entailment,0.066,0.084,0.076,0.160
70,Neither Bai or DeShawn is a fireman,Bai is not a fireman,0.804,0.128,0.068,entailment,DeShawn is not a fireman,0.800,0.083,0.117,entailment,0.098,Neither DeShawn or Bai is a fireman,Bai is not a fireman,0.827,0.115,0.058,entailment,DeShawn is not a fireman,0.849,0.075,0.076,entailment,0.080,0.047,0.099,0.145
71,Neither Jenna or Fred is a hostess,Jenna is not a hostess,0.862,0.080,0.058,entailment,Fred is not a hostess,0.683,0.137,0.179,entailment,0.357,Neither Fred or Jenna is a hostess,Jenna is not a hostess,0.748,0.113,0.139,entailment,Fred is not a hostess,0.843,0.102,0.054,entailment,0.192,0.229,0.320,0.549
72,Neither Diamond or Kariem is a secretary,Diamond is not a secretary,0.898,0.071,0.031,entailment,Kariem is not a secretary,0.805,0.076,0.119,entailment,0.187,Neither Kariem or Diamond is a secretary,Diamond is not a secretary,0.865,0.102,0.032,entailment,Kariem is not a secretary,0.865,0.083,0.052,entailment,0.039,0.066,0.135,0.201
73,Neither Bai or DeShawn is a lifeguard,Bai is not a lifeguard,0.757,0.145,0.098,entailment,DeShawn is not a lifeguard,0.720,0.093,0.187,entailment,0.179,Neither DeShawn or Bai is a lifeguard,Bai is not a lifeguard,0.793,0.125,0.082,entailment,DeShawn is not a lifeguard,0.806,0.084,0.110,entailment,0.081,0.072,0.173,0.245
74,Neither Olga or Jafari is a tailor,Olga is not a tailor,0.824,0.120,0.056,entailment,Jafari is not a tailor,0.739,0.134,0.127,entailment,0.170,Neither Jafari or Olga is a tailor,Olga is not a tailor,0.783,0.137,0.080,entailment,Jafari is not a tailor,0.793,0.149,0.058,entailment,0.044,0.082,0.137,0.220
75,Neither Candace or Jafari is a comedian,Candace is not a comedian,0.762,0.127,0.112,entailment,Jafari is not a comedian,0.631,0.111,0.257,entailment,0.291,Neither Jafari or Candace is a comedian,Candace is not a comedian,0.712,0.154,0.134,entailment,Jafari is not a comedian,0.686,0.142,0.172,entailment,0.076,0.099,0.171,0.270
76,Neither Cathy or Fred is a barber,Cathy is not a barber,0.816,0.112,0.071,entailment,Fred is not a barber,0.656,0.159,0.185,entailment,0.321,Neither Fred or Cathy is a barber,Cathy is not a barber,0.679,0.161,0.160,entailment,Fred is not a barber,0.788,0.157,0.055,entailment,0.218,0.274,0.265,0.539
77,Neither Marianne or Tyresse is a performing artist,Marianne is not a performing artist,0.875,0.062,0.063,entailment,Tyresse is not a performing artist,0.822,0.068,0.110,entailment,0.107,Neither Tyresse or Marianne is a performing artist,Marianne is not a performing artist,0.855,0.064,0.082,entailment,Tyresse is not a performing artist,0.872,0.059,0.068,entailment,0.035,0.042,0.101,0.143
78,Neither Craig or Chang Lee is a postman,Craig is not a postman,0.872,0.099,0.029,entailment,Chang Lee is not a postman,0.869,0.078,0.053,entailment,0.047,Neither Chang Lee or Craig is a postman,Craig is not a postman,0.857,0.091,0.053,entailment,Chang Lee is not a postman,0.895,0.061,0.044,entailment,0.077,0.047,0.051,0.099
79,Neither Liz or Juan is a pilot,Liz is not a pilot,0.858,0.090,0.051,entailment,Juan is not a pilot,0.757,0.118,0.124,entailment,0.202,Neither Juan or Liz is a pilot,Liz is not a pilot,0.723,0.158,0.118,entailment,Juan is not a pilot,0.863,0.100,0.037,entailment,0.280,0.270,0.212,0.482
80,Neither Erica or Mark is an agent,Erica is not an agent,0.878,0.059,0.064,entailment,Mark is not an agent,0.750,0.078,0.171,entailment,0.254,Neither Mark or Erica is an agent,Erica is not an agent,0.717,0.107,0.176,entailment,Mark is not an agent,0.880,0.071,0.049,entailment,0.325,0.321,0.259,0.579
81,Neither Monique or Chen Wu is an academic,Monique is not an academic,0.773,0.140,0.086,entailment,Chen Wu is not an academic,0.810,0.091,0.098,entailment,0.098,Neither Chen Wu or Monique is an academic,Monique is not an academic,0.683,0.147,0.170,entailment,Chen Wu is not an academic,0.818,0.091,0.091,entailment,0.270,0.180,0.016,0.196
82,Neither Joan or Chan is a clerk,Joan is not a clerk,0.812,0.141,0.047,entailment,Chan is not a clerk,0.754,0.147,0.099,entailment,0.116,Neither Chan or Joan is a clerk,Joan is not a clerk,0.787,0.127,0.086,entailment,Chan is not a clerk,0.829,0.113,0.057,entailment,0.085,0.077,0.150,0.227
83,Neither Liz or Malik is a grocer,Liz is not a grocer,0.851,0.113,0.036,entailment,Malik is not a grocer,0.789,0.106,0.105,entailment,0.139,Neither Malik or Liz is a grocer,Liz is not a grocer,0.803,0.145,0.053,entailment,Malik is not a grocer,0.868,0.100,0.032,entailment,0.131,0.097,0.159,0.256
