,text,hypo,entailment,neutral,contradiction
150,Scott is not a chef,Neither Scott nor Chan is a chef,0.08,0.87,0.05
151,Chan is not a chef,Neither Scott nor Chan is a chef,0.13,0.69,0.18
152,Cole is not a theologian,Neither Cole nor Malik is a theologian,0.08,0.86,0.06
153,Malik is not a theologian,Neither Cole nor Malik is a theologian,0.08,0.74,0.17
154,Dylan is not an employee,Neither Dylan nor Laquan is an employee,0.22,0.66,0.12
155,Laquan is not an employee,Neither Dylan nor Laquan is an employee,0.06,0.79,0.15
156,Cole is not an athlete,Neither Cole nor Manuel is an athlete,0.13,0.82,0.05
157,Manuel is not an athlete,Neither Cole nor Manuel is an athlete,0.08,0.85,0.07
158,Hunter is not a butcher,Neither Hunter nor Ragesh is a butcher,0.28,0.65,0.07
159,Ragesh is not a butcher,Neither Hunter nor Ragesh is a butcher,0.11,0.77,0.12
160,Hunter is not a poet,Neither Hunter nor Carlos is a poet,0.09,0.85,0.06
161,Carlos is not a poet,Neither Hunter nor Carlos is a poet,0.12,0.72,0.17
162,Cody is not an auditor,Neither Cody nor DeShawn is an auditor,0.16,0.77,0.07
163,DeShawn is not an auditor,Neither Cody nor DeShawn is an auditor,0.14,0.72,0.14
164,Greg is not a chess player,Neither Greg nor D'quan is a chess player,0.17,0.76,0.07
165,D'quan is not a chess player,Neither Greg nor D'quan is a chess player,0.08,0.78,0.15
166,Cole is not a dentist,Neither Cole nor Adrin is a dentist,0.22,0.69,0.09
167,Adrin is not a dentist,Neither Cole nor Adrin is a dentist,0.09,0.81,0.11
168,Greg is not an inspector,Neither Greg nor Ragesh is an inspector,0.27,0.61,0.12
169,Ragesh is not an inspector,Neither Greg nor Ragesh is an inspector,0.09,0.68,0.24
170,Jacob is not a lifeguard,Neither Jacob nor Terrance is a lifeguard,0.11,0.80,0.08
171,Terrance is not a lifeguard,Neither Jacob nor Terrance is a lifeguard,0.03,0.79,0.18
172,Jack is not a director,Neither Jack nor Chang Lee is a director,0.05,0.89,0.06
173,Chang Lee is not a director,Neither Jack nor Chang Lee is a director,0.11,0.72,0.17
174,Cadan is not a physicist,Neither Cadan nor Lamar is a physicist,0.16,0.73,0.11
175,Lamar is not a physicist,Neither Cadan nor Lamar is a physicist,0.31,0.59,0.10
176,Dylan is not an aeronautical engineer,Neither Dylan nor Chen Wee is an aeronautical engineer,0.11,0.85,0.04
177,Chen Wee is not an aeronautical engineer,Neither Dylan nor Chen Wee is an aeronautical engineer,0.11,0.78,0.11
178,Connor is not an employee,Neither Connor nor Silas is an employee,0.24,0.64,0.11
179,Silas is not an employee,Neither Connor nor Silas is an employee,0.09,0.72,0.18
180,Cody is not a composer,Neither Cody nor Ming is a composer,0.07,0.87,0.06
181,Ming is not a composer,Neither Cody nor Ming is a composer,0.14,0.70,0.17
182,Jake is not a civil,Neither Jake nor Tyresse is a civil,0.19,0.71,0.11
183,Tyresse is not a civil,Neither Jake nor Tyresse is a civil,0.05,0.85,0.10
184,Cole is not a tailor,Neither Cole nor Jose is a tailor,0.05,0.91,0.04
185,Jose is not a tailor,Neither Cole nor Jose is a tailor,0.06,0.85,0.09
186,Jack is not an assistant,Neither Jack nor Gary is an assistant,0.14,0.75,0.11
187,Gary is not an assistant,Neither Jack nor Gary is an assistant,0.12,0.56,0.32
188,Connor is not a realtor,Neither Connor nor Chen Wu is a realtor,0.06,0.90,0.04
189,Chen Wu is not a realtor,Neither Connor nor Chen Wu is a realtor,0.17,0.64,0.19
190,Greg is not a surgeon,Neither Greg nor Won San Lee is a surgeon,0.08,0.83,0.09
191,Won San Lee is not a surgeon,Neither Greg nor Won San Lee is a surgeon,0.11,0.72,0.17
192,Cadan is not an academic,Neither Cadan nor Sheng Lee is an academic,0.14,0.75,0.11
193,Sheng Lee is not an academic,Neither Cadan nor Sheng Lee is an academic,0.26,0.59,0.15
194,Jack is not a mechanic,Neither Jack nor Jamal is a mechanic,0.07,0.89,0.04
195,Jamal is not a mechanic,Neither Jack nor Jamal is a mechanic,0.07,0.79,0.14
196,Cody is not a diplomat,Neither Cody nor Terrance is a diplomat,0.15,0.79,0.06
197,Terrance is not a diplomat,Neither Cody nor Terrance is a diplomat,0.12,0.72,0.16
198,Jack is not an executive,Neither Jack nor Juan is an executive,0.15,0.79,0.06
199,Juan is not an executive,Neither Jack nor Juan is an executive,0.17,0.66,0.17
