,text,hypo,entailment,neutral,contradiction
51,Terrell is a historian,either Carly or Terrell is a historian,0.11,0.86,0.03
52,Inglethorp is a janitor,either Inglethorp or Gabriel is a janitor,0.07,0.86,0.07
53,Gabriel is a janitor,either Inglethorp or Gabriel is a janitor,0.79,0.20,0.00
54,Jack is a nurse,either Jack or Javier is a nurse,0.10,0.84,0.05
55,Javier is a nurse,either Jack or Javier is a nurse,0.09,0.80,0.11
56,Jenna is a commander,either Jenna or Laquan is a commander,0.31,0.66,0.03
57,Laquan is a commander,either Jenna or Laquan is a commander,0.07,0.81,0.11
58,Dylan is a CEO,either Dylan or Chen is a CEO,0.08,0.85,0.07
59,Chen is a CEO,either Dylan or Chen is a CEO,0.08,0.71,0.22
60,Hunter is a grocer,either Hunter or Chen Wu is a grocer,0.05,0.92,0.04
61,Chen Wu is a grocer,either Hunter or Chen Wu is a grocer,0.50,0.48,0.02
62,Cody is a construction worker,either Cody or Juan is a construction worker,0.18,0.77,0.05
63,Juan is a construction worker,either Cody or Juan is a construction worker,0.23,0.73,0.04
64,LeShawn is an office worker,either LeShawn or Laquan is an office worker,0.38,0.60,0.02
65,Laquan is an office worker,either LeShawn or Laquan is an office worker,0.33,0.62,0.05
66,Connor is a carpenter,either Connor or Chen Lang is a carpenter,0.03,0.95,0.02
67,Chen Lang is a carpenter,either Connor or Chen Lang is a carpenter,0.41,0.56,0.03
68,Katherine is a sociologist,either Katherine or DeShawn is a sociologist,0.32,0.66,0.02
69,DeShawn is a sociologist,either Katherine or DeShawn is a sociologist,0.08,0.89,0.04
70,Greg is an editor,either Greg or Shaniqua is an editor,0.34,0.62,0.04
71,Shaniqua is an editor,either Greg or Shaniqua is an editor,0.14,0.82,0.05
72,Katherine is a baker,either Katherine or Ragesh is a baker,0.24,0.74,0.02
73,Ragesh is a baker,either Katherine or Ragesh is a baker,0.06,0.79,0.15
74,Connor is a chef,either Connor or Tyresse is a chef,0.37,0.61,0.02
75,Tyresse is a chef,either Connor or Tyresse is a chef,0.31,0.65,0.04
76,Amy is a linguist,either Amy or Jamal is a linguist,0.05,0.93,0.02
77,Jamal is a linguist,either Amy or Jamal is a linguist,0.12,0.82,0.05
78,Jacob is a broker,either Jacob or Carlos is a broker,0.09,0.85,0.07
79,Carlos is a broker,either Jacob or Carlos is a broker,0.05,0.86,0.09
80,Connor is a plumber,either Connor or Javier is a plumber,0.05,0.90,0.05
81,Javier is a plumber,either Connor or Javier is a plumber,0.16,0.76,0.08
82,Jack is a lifeguard,either Jack or DeShawn is a lifeguard,0.28,0.70,0.02
83,DeShawn is a lifeguard,either Jack or DeShawn is a lifeguard,0.29,0.65,0.05
84,Greuze is a handball player,either Greuze or Chang Lee is a handball player,0.06,0.92,0.02
85,Chang Lee is a handball player,either Greuze or Chang Lee is a handball player,0.73,0.26,0.02
86,Greg is a housekeeper,either Greg or Beyonce is a housekeeper,0.02,0.89,0.09
87,Beyonce is a housekeeper,either Greg or Beyonce is a housekeeper,0.12,0.79,0.09
88,Jenna is a plumber,either Jenna or Ragesh is a plumber,0.22,0.76,0.02
89,Ragesh is a plumber,either Jenna or Ragesh is a plumber,0.16,0.72,0.11
90,Greuze is a swimmer,either Greuze or Gary is a swimmer,0.10,0.87,0.02
91,Gary is a swimmer,either Greuze or Gary is a swimmer,0.52,0.46,0.03
92,Greuze is a dealer,either Greuze or Marquis is a dealer,0.27,0.69,0.05
93,Marquis is a dealer,either Greuze or Marquis is a dealer,0.53,0.42,0.06
94,Jack is an airman,either Jack or Manuel is an airman,0.13,0.83,0.04
95,Manuel is an airman,either Jack or Manuel is an airman,0.15,0.77,0.08
96,Connor is an attourney,either Connor or Won San Lee is an attourney,0.04,0.91,0.05
97,Won San Lee is an attourney,either Connor or Won San Lee is an attourney,0.21,0.69,0.10
98,Molly is an artist,either Molly or Treyvone is an artist,0.17,0.80,0.03
99,Treyvone is an artist,either Molly or Treyvone is an artist,0.25,0.68,0.08
100,Connor is an airman,either Connor or Chang Lee is an airman,0.03,0.94,0.02
101,Chang Lee is an airman,either Connor or Chang Lee is an airman,0.34,0.63,0.03
102,Jack is a firefighter,either Jack or Gary is a firefighter,0.17,0.80,0.03
103,Gary is a firefighter,either Jack or Gary is a firefighter,0.10,0.72,0.19
104,Heather is an illustrator,either Heather or Diamond is an illustrator,0.13,0.80,0.07
105,Diamond is an illustrator,either Heather or Diamond is an illustrator,0.10,0.78,0.12
106,Carly is an inspector,either Carly or Jose is an inspector,0.07,0.82,0.11
107,Jose is an inspector,either Carly or Jose is an inspector,0.08,0.76,0.17
108,Brown is a comedian,either Brown or Jesus is a comedian,0.06,0.88,0.06
109,Jesus is a comedian,either Brown or Jesus is a comedian,0.13,0.71,0.17
110,Abigail is a scientist,either Abigail or Jamel is a scientist,0.27,0.71,0.02
111,Jamel is a scientist,either Abigail or Jamel is a scientist,0.23,0.73,0.05
112,Cody is a farmer,either Cody or Laquan is a farmer,0.28,0.70,0.02
113,Laquan is a farmer,either Cody or Laquan is a farmer,0.13,0.83,0.04
114,Greuze is an economist,either Greuze or Chen Lang is an economist,0.08,0.89,0.03
115,Chen Lang is an economist,either Greuze or Chen Lang is an economist,0.50,0.47,0.02
116,Heather is an actor,either Heather or Won Lee is an actor,0.05,0.92,0.03
117,Won Lee is an actor,either Heather or Won Lee is an actor,0.09,0.86,0.05
118,Jake is a doctor,either Jake or Malik is a doctor,0.06,0.90,0.03
119,Malik is a doctor,either Jake or Malik is a doctor,0.08,0.78,0.13
120,Emily is a firefighter,either Emily or Terrance is a firefighter,0.26,0.72,0.02
121,Terrance is a firefighter,either Emily or Terrance is a firefighter,0.07,0.70,0.24
122,Cadan is a dealer,either Cadan or Chen Wee is a dealer,0.48,0.51,0.02
123,Chen Wee is a dealer,either Cadan or Chen Wee is a dealer,0.48,0.49,0.02
124,Jacob is an attourney,either Jacob or Shaniqua is an attourney,0.22,0.71,0.06
125,Shaniqua is an attourney,either Jacob or Shaniqua is an attourney,0.03,0.92,0.05
126,Heather is a photographer,either Heather or Anita is a photographer,0.26,0.69,0.06
127,Anita is a photographer,either Heather or Anita is a photographer,0.04,0.78,0.18
128,Craig is an employment,either Craig or Maya is an employment,0.05,0.84,0.11
129,Maya is an employment,either Craig or Maya is an employment,0.14,0.79,0.07
130,Cadan is a pianist,either Cadan or D'quan is a pianist,0.57,0.42,0.02
131,D'quan is a pianist,either Cadan or D'quan is a pianist,0.50,0.48,0.02
132,Ronnie is a theologian,either Ronnie or Chen Wee is a theologian,0.12,0.85,0.03
133,Chen Wee is a theologian,either Ronnie or Chen Wee is a theologian,0.43,0.53,0.04
134,Carly is a cashier,either Carly or Juan is a cashier,0.15,0.80,0.05
135,Juan is a cashier,either Carly or Juan is a cashier,0.13,0.79,0.08
136,Brown is a driver,either Brown or Miguel is a driver,0.07,0.86,0.07
137,Miguel is a driver,either Brown or Miguel is a driver,0.13,0.74,0.13
138,Jack is a medical student,either Jack or Tyrone is a medical student,0.13,0.85,0.02
139,Tyrone is a medical student,either Jack or Tyrone is a medical student,0.18,0.76,0.07
140,Dustin is an employment,either Dustin or Kia is an employment,0.14,0.76,0.10
141,Kia is an employment,either Dustin or Kia is an employment,0.15,0.68,0.17
142,Cole is a director,either Cole or Kwame is a director,0.12,0.83,0.05
143,Kwame is a director,either Cole or Kwame is a director,0.13,0.83,0.04
144,Katie is a CEO,either Katie or Wong Chang is a CEO,0.05,0.92,0.03
145,Wong Chang is a CEO,either Katie or Wong Chang is a CEO,0.11,0.84,0.05
146,Dustin is a chemist,either Dustin or Javier is a chemist,0.09,0.83,0.07
147,Javier is a chemist,either Dustin or Javier is a chemist,0.16,0.70,0.14
148,Ronnie is a farmer,either Ronnie or Li is a farmer,0.10,0.85,0.05
149,Li is a farmer,either Ronnie or Li is a farmer,0.09,0.76,0.16
150,Brown is a CEO,either Brown or Beyonce is a CEO,0.04,0.88,0.08
151,Beyonce is a CEO,either Brown or Beyonce is a CEO,0.10,0.58,0.32
152,Cody is a cook,either Cody or Marquis is a cook,0.22,0.74,0.05
153,Marquis is a cook,either Cody or Marquis is a cook,0.19,0.76,0.06
154,Inglethorp is an economist,either Inglethorp or Diamond is an economist,0.11,0.82,0.07
155,Diamond is an economist,either Inglethorp or Diamond is an economist,0.64,0.35,0.01
156,Jack is a comedian,either Jack or Feng Wu is a comedian,0.08,0.90,0.02
157,Feng Wu is a comedian,either Jack or Feng Wu is a comedian,0.17,0.72,0.11
158,Cody is a barber,either Cody or Ragesh is a barber,0.14,0.82,0.04
159,Ragesh is a barber,either Cody or Ragesh is a barber,0.18,0.77,0.05
160,Katherine is a professor,either Katherine or Ramirez is a professor,0.09,0.86,0.05
161,Ramirez is a professor,either Katherine or Ramirez is a professor,0.20,0.74,0.05
162,Molly is a farmer,either Molly or Li is a farmer,0.10,0.87,0.03
163,Li is a farmer,either Molly or Li is a farmer,0.16,0.75,0.08
164,Jenna is a pilot,either Jenna or Tyresse is a pilot,0.25,0.73,0.02
165,Tyresse is a pilot,either Jenna or Tyresse is a pilot,0.08,0.86,0.06
166,Dylan is a dancer,either Dylan or Yang Wang is a dancer,0.06,0.92,0.03
167,Yang Wang is a dancer,either Dylan or Yang Wang is a dancer,0.16,0.80,0.04
168,Brown is a producer,either Brown or Tyrone is a producer,0.18,0.77,0.05
169,Tyrone is a producer,either Brown or Tyrone is a producer,0.11,0.83,0.06
170,Craig is a pilot,either Craig or Beyonce is a pilot,0.02,0.93,0.05
171,Beyonce is a pilot,either Craig or Beyonce is a pilot,0.24,0.72,0.03
172,Jacob is a cleric,either Jacob or Terrell is a cleric,0.09,0.87,0.03
173,Terrell is a cleric,either Jacob or Terrell is a cleric,0.04,0.90,0.06
174,Claire is a chief,either Claire or Yang Wang is a chief,0.04,0.92,0.04
175,Yang Wang is a chief,either Claire or Yang Wang is a chief,0.17,0.79,0.04
176,Jenna is a banker,either Jenna or Diamond is a banker,0.12,0.84,0.04
177,Diamond is a banker,either Jenna or Diamond is a banker,0.07,0.80,0.13
178,Inglethorp is a janitor,either Inglethorp or Jose is a janitor,0.05,0.82,0.13
179,Jose is a janitor,either Inglethorp or Jose is a janitor,0.74,0.25,0.01
180,Molly is an academic,either Molly or Manuel is an academic,0.13,0.83,0.04
181,Manuel is an academic,either Molly or Manuel is an academic,0.13,0.75,0.12
182,Emily is an agent,either Emily or Jesus is an agent,0.06,0.86,0.08
183,Jesus is an agent,either Emily or Jesus is an agent,0.06,0.79,0.15
184,Molly is an office worker,either Molly or Laquan is an office worker,0.20,0.78,0.02
185,Laquan is an office worker,either Molly or Laquan is an office worker,0.09,0.86,0.05
186,Scott is a civil,either Scott or Malik is a civil,0.09,0.85,0.07
187,Malik is a civil,either Scott or Malik is a civil,0.15,0.69,0.16
188,Hunter is a supervisor,either Hunter or Miguel is a supervisor,0.08,0.81,0.11
189,Miguel is a supervisor,either Hunter or Miguel is a supervisor,0.17,0.67,0.16
190,Carly is a broker,either Carly or Shaniqua is a broker,0.34,0.62,0.03
191,Shaniqua is a broker,either Carly or Shaniqua is a broker,0.18,0.80,0.02
192,Ronnie is a handyman,either Ronnie or Gary is a handyman,0.10,0.88,0.02
193,Gary is a handyman,either Ronnie or Gary is a handyman,0.12,0.83,0.05
194,Cody is a scientist,either Cody or Precious is a scientist,0.36,0.62,0.02
195,Precious is a scientist,either Cody or Precious is a scientist,0.08,0.86,0.06
196,Heather is a clerk,either Heather or Laquisha is a clerk,0.34,0.62,0.04
197,Laquisha is a clerk,either Heather or Laquisha is a clerk,0.09,0.81,0.09
198,Cadan is an attourney,either Cadan or Li is an attourney,0.19,0.71,0.10
199,Li is an attourney,either Cadan or Li is an attourney,0.24,0.68,0.08
