,prem,hypo1,hypo2,score1,score2,diff
91,Either Thorn or Brenda are an entrepreneur,Thorn is an entrepreneur,Brenda is an entrepreneur,"{'entailment': '0.48', 'neutral': '0.30', 'contradiction': '0.22'}","{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.10'}",0.5
237,Either Jones or Veronica are a businessperson,Jones is a businessperson,Veronica is a businessperson,"{'entailment': '0.36', 'neutral': '0.49', 'contradiction': '0.15'}","{'entailment': '0.61', 'neutral': '0.33', 'contradiction': '0.06'}",0.5
244,Either Josh or Kacey are an illustrator,Josh is an illustrator,Kacey is an illustrator,"{'entailment': '0.60', 'neutral': '0.22', 'contradiction': '0.18'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.5
353,Either Josh or Maya are a supervisor,Josh is a supervisor,Maya is a supervisor,"{'entailment': '0.35', 'neutral': '0.29', 'contradiction': '0.36'}","{'entailment': '0.60', 'neutral': '0.26', 'contradiction': '0.14'}",0.49999999999999994
362,Either Sergey or Barbara are an editor,Sergey is an editor,Barbara is an editor,"{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}","{'entailment': '0.45', 'neutral': '0.36', 'contradiction': '0.19'}",0.49999999999999994
231,Either Tom or Rachel are an employment,Tom is an employment,Rachel is an employment,"{'entailment': '0.40', 'neutral': '0.38', 'contradiction': '0.22'}","{'entailment': '0.22', 'neutral': '0.62', 'contradiction': '0.15'}",0.49000000000000005
134,Either Fred or Candace are a manager,Fred is a manager,Candace is a manager,"{'entailment': '0.44', 'neutral': '0.43', 'contradiction': '0.13'}","{'entailment': '0.69', 'neutral': '0.23', 'contradiction': '0.09'}",0.49
272,Either Jack or Shaniqua are a chemist,Jack is a chemist,Shaniqua is a chemist,"{'entailment': '0.44', 'neutral': '0.45', 'contradiction': '0.10'}","{'entailment': '0.69', 'neutral': '0.27', 'contradiction': '0.04'}",0.48999999999999994
96,Either Bill or Ashley are an entrepreneur,Bill is an entrepreneur,Ashley is an entrepreneur,"{'entailment': '0.30', 'neutral': '0.50', 'contradiction': '0.20'}","{'entailment': '0.54', 'neutral': '0.29', 'contradiction': '0.17'}",0.4800000000000001
448,Either Ming or Abigail are a pianist,Ming is a pianist,Abigail is a pianist,"{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.02'}","{'entailment': '0.69', 'neutral': '0.22', 'contradiction': '0.09'}",0.4800000000000001
427,Either Benjamin or Raven are an inspector,Benjamin is an inspector,Raven is an inspector,"{'entailment': '0.47', 'neutral': '0.20', 'contradiction': '0.33'}","{'entailment': '0.53', 'neutral': '0.38', 'contradiction': '0.09'}",0.4800000000000001
326,Either Chen Wu or Jacqui are a guard,Chen Wu is a guard,Jacqui is a guard,"{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}","{'entailment': '0.60', 'neutral': '0.33', 'contradiction': '0.07'}",0.48000000000000004
102,Either Malik or Cynthia are a performing artist,Malik is a performing artist,Cynthia is a performing artist,"{'entailment': '0.84', 'neutral': '0.08', 'contradiction': '0.08'}","{'entailment': '0.60', 'neutral': '0.23', 'contradiction': '0.17'}",0.48000000000000004
379,Either DeAndre or Meghan are a magician,DeAndre is a magician,Meghan is a magician,"{'entailment': '0.52', 'neutral': '0.43', 'contradiction': '0.05'}","{'entailment': '0.28', 'neutral': '0.62', 'contradiction': '0.10'}",0.48
268,Either Johnny or Cheryl are an academic,Johnny is an academic,Cheryl is an academic,"{'entailment': '0.28', 'neutral': '0.61', 'contradiction': '0.11'}","{'entailment': '0.52', 'neutral': '0.41', 'contradiction': '0.07'}",0.48
420,Either D'quan or Ebony are a chief,D'quan is a chief,Ebony is a chief,"{'entailment': '0.54', 'neutral': '0.29', 'contradiction': '0.17'}","{'entailment': '0.37', 'neutral': '0.53', 'contradiction': '0.11'}",0.4700000000000001
498,Either Mitchell or Ruby are an executive,Mitchell is an executive,Ruby is an executive,"{'entailment': '0.62', 'neutral': '0.28', 'contradiction': '0.10'}","{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}",0.46
215,Either Eric or Martha are a manager,Eric is a manager,Martha is a manager,"{'entailment': '0.34', 'neutral': '0.39', 'contradiction': '0.27'}","{'entailment': '0.57', 'neutral': '0.33', 'contradiction': '0.10'}",0.45999999999999996
327,Either Val or Kia are a drawer,Val is a drawer,Kia is a drawer,"{'entailment': '0.78', 'neutral': '0.10', 'contradiction': '0.12'}","{'entailment': '0.55', 'neutral': '0.23', 'contradiction': '0.22'}",0.45999999999999996
493,Either Josh or Kelsi are an inspector,Josh is an inspector,Kelsi is an inspector,"{'entailment': '0.40', 'neutral': '0.38', 'contradiction': '0.21'}","{'entailment': '0.64', 'neutral': '0.28', 'contradiction': '0.09'}",0.45999999999999996
330,Either Shane or Shelly are a pilot,Shane is a pilot,Shelly is a pilot,"{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.06'}","{'entailment': '0.41', 'neutral': '0.44', 'contradiction': '0.15'}",0.45000000000000007
455,Either Rajeev or Katherine are a gambler,Rajeev is a gambler,Katherine is a gambler,"{'entailment': '0.72', 'neutral': '0.23', 'contradiction': '0.04'}","{'entailment': '0.50', 'neutral': '0.42', 'contradiction': '0.08'}",0.4499999999999999
411,Either Bradford or Monica are a producer,Bradford is a producer,Monica is a producer,"{'entailment': '0.66', 'neutral': '0.20', 'contradiction': '0.14'}","{'entailment': '0.44', 'neutral': '0.33', 'contradiction': '0.23'}",0.44000000000000006
194,Either Edward or Kacey are a butler,Edward is a butler,Kacey is a butler,"{'entailment': '0.22', 'neutral': '0.62', 'contradiction': '0.16'}","{'entailment': '0.44', 'neutral': '0.48', 'contradiction': '0.08'}",0.44
129,Either Jamie or Jenna are an auditor,Jamie is an auditor,Jenna is an auditor,"{'entailment': '0.33', 'neutral': '0.43', 'contradiction': '0.24'}","{'entailment': '0.55', 'neutral': '0.34', 'contradiction': '0.11'}",0.44
383,Either Ming or Anna are a doctor,Ming is a doctor,Anna is a doctor,"{'entailment': '0.75', 'neutral': '0.20', 'contradiction': '0.05'}","{'entailment': '0.53', 'neutral': '0.38', 'contradiction': '0.09'}",0.43999999999999995
440,Either Cody or Janet are an electrician,Cody is an electrician,Janet is an electrician,"{'entailment': '0.52', 'neutral': '0.38', 'contradiction': '0.10'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.06'}",0.43000000000000005
162,Either Jeffrey or Jen are a supervisor,Jeffrey is a supervisor,Jen is a supervisor,"{'entailment': '0.60', 'neutral': '0.21', 'contradiction': '0.18'}","{'entailment': '0.40', 'neutral': '0.43', 'contradiction': '0.17'}",0.42999999999999994
406,Either Joe or Tarnisha are an entrepreneur,Joe is an entrepreneur,Tarnisha is an entrepreneur,"{'entailment': '0.42', 'neutral': '0.37', 'contradiction': '0.21'}","{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.07'}",0.42000000000000004
196,Either Thorn or Maya are a bartender,Thorn is a bartender,Maya is a bartender,"{'entailment': '0.58', 'neutral': '0.15', 'contradiction': '0.27'}","{'entailment': '0.79', 'neutral': '0.13', 'contradiction': '0.08'}",0.42000000000000004
117,Either Jon or Missy are a secretary,Jon is a secretary,Missy is a secretary,"{'entailment': '0.47', 'neutral': '0.32', 'contradiction': '0.21'}","{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.12'}",0.42000000000000004
66,Either Rajeev or Jennifer are a lifeguard,Rajeev is a lifeguard,Jennifer is a lifeguard,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.55', 'neutral': '0.40', 'contradiction': '0.05'}",0.42
74,Either Micheal or Ebony are an economist,Micheal is an economist,Ebony is an economist,"{'entailment': '0.74', 'neutral': '0.23', 'contradiction': '0.03'}","{'entailment': '0.54', 'neutral': '0.44', 'contradiction': '0.02'}",0.41999999999999993
419,Either Miguel or Janice are an aeronautical engineer,Miguel is an aeronautical engineer,Janice is an aeronautical engineer,"{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.09'}","{'entailment': '0.53', 'neutral': '0.41', 'contradiction': '0.06'}",0.41999999999999993
191,Either Jason or Cindy are an opera singer,Jason is an opera singer,Cindy is an opera singer,"{'entailment': '0.34', 'neutral': '0.39', 'contradiction': '0.27'}","{'entailment': '0.54', 'neutral': '0.30', 'contradiction': '0.15'}",0.41000000000000003
172,Either Javier or Lisa are a musician,Javier is a musician,Lisa is a musician,"{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.11'}","{'entailment': '0.52', 'neutral': '0.37', 'contradiction': '0.12'}",0.4099999999999999
283,Either Carlos or Joyce are an economist,Carlos is an economist,Joyce is an economist,"{'entailment': '0.52', 'neutral': '0.40', 'contradiction': '0.08'}","{'entailment': '0.34', 'neutral': '0.60', 'contradiction': '0.05'}",0.4099999999999999
27,Either Sidney or Katherine are an astronomer,Sidney is an astronomer,Katherine is an astronomer,"{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.10'}","{'entailment': '0.41', 'neutral': '0.48', 'contradiction': '0.11'}",0.4
408,Either Won Lee or Cheryl are a commander,Won Lee is a commander,Cheryl is a commander,"{'entailment': '0.76', 'neutral': '0.16', 'contradiction': '0.08'}","{'entailment': '0.58', 'neutral': '0.36', 'contradiction': '0.06'}",0.4
352,Either Miguel or Susie are a musician,Miguel is a musician,Susie is a musician,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}",0.3999999999999999
6,Either Trevon or Jenny are an employment,Trevon is an employment,Jenny is an employment,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.62', 'neutral': '0.21', 'contradiction': '0.17'}",0.3999999999999999
223,Either Ron or Veronica are a dancer,Ron is a dancer,Veronica is a dancer,"{'entailment': '0.35', 'neutral': '0.55', 'contradiction': '0.10'}","{'entailment': '0.54', 'neutral': '0.35', 'contradiction': '0.10'}",0.3900000000000001
50,Either Stephen or Wendy are an illustrator,Stephen is an illustrator,Wendy is an illustrator,"{'entailment': '0.62', 'neutral': '0.19', 'contradiction': '0.19'}","{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.07'}",0.39000000000000007
220,Either Jamie or Shelly are a plumber,Jamie is a plumber,Shelly is a plumber,"{'entailment': '0.45', 'neutral': '0.49', 'contradiction': '0.06'}","{'entailment': '0.65', 'neutral': '0.33', 'contradiction': '0.03'}",0.39
221,Either Sergey or Beth are a tailor,Sergey is a tailor,Beth is a tailor,"{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.06'}","{'entailment': '0.55', 'neutral': '0.40', 'contradiction': '0.05'}",0.39
296,Either Jerry or Monique are a CEO,Jerry is a CEO,Monique is a CEO,"{'entailment': '0.45', 'neutral': '0.30', 'contradiction': '0.25'}","{'entailment': '0.64', 'neutral': '0.23', 'contradiction': '0.13'}",0.38
380,Either Jones or Kassandra are a guitarist,Jones is a guitarist,Kassandra is a guitarist,"{'entailment': '0.52', 'neutral': '0.38', 'contradiction': '0.10'}","{'entailment': '0.71', 'neutral': '0.25', 'contradiction': '0.04'}",0.37999999999999995
270,Either Jeff or Kassidy are an artist,Jeff is an artist,Kassidy is an artist,"{'entailment': '0.52', 'neutral': '0.35', 'contradiction': '0.13'}","{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}",0.37999999999999995
491,Either Eric or Sarah are an auditor,Eric is an auditor,Sarah is an auditor,"{'entailment': '0.36', 'neutral': '0.44', 'contradiction': '0.21'}","{'entailment': '0.54', 'neutral': '0.30', 'contradiction': '0.16'}",0.37000000000000005
98,Either Jon or Lara are a construction worker,Jon is a construction worker,Lara is a construction worker,"{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.08'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.01'}",0.37000000000000005
227,Either DeAndre or Marie are a firefighter,DeAndre is a firefighter,Marie is a firefighter,"{'entailment': '0.74', 'neutral': '0.22', 'contradiction': '0.03'}","{'entailment': '0.57', 'neutral': '0.39', 'contradiction': '0.05'}",0.3600000000000001
78,Either Raymond or Celia are a clerk,Raymond is a clerk,Celia is a clerk,"{'entailment': '0.92', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.36000000000000004
14,Either Muhammad or Laura are an author,Muhammad is an author,Laura is an author,"{'entailment': '0.65', 'neutral': '0.22', 'contradiction': '0.13'}","{'entailment': '0.47', 'neutral': '0.33', 'contradiction': '0.20'}",0.36000000000000004
99,Either Cadan or Ruby are a performing artist,Cadan is a performing artist,Ruby is a performing artist,"{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.10'}",0.36000000000000004
266,Either Eddie or Anne are an economist,Eddie is an economist,Anne is an economist,"{'entailment': '0.44', 'neutral': '0.44', 'contradiction': '0.12'}","{'entailment': '0.33', 'neutral': '0.62', 'contradiction': '0.05'}",0.36
371,Either Jimmy or Susie are a firefighter,Jimmy is a firefighter,Susie is a firefighter,"{'entailment': '0.62', 'neutral': '0.30', 'contradiction': '0.08'}","{'entailment': '0.44', 'neutral': '0.48', 'contradiction': '0.08'}",0.36
158,Either Jed or Diamond are a pensioner,Jed is a pensioner,Diamond is a pensioner,"{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.07'}","{'entailment': '0.66', 'neutral': '0.28', 'contradiction': '0.06'}",0.36
376,Either Andy or Susan are a linguist,Andy is a linguist,Susan is a linguist,"{'entailment': '0.44', 'neutral': '0.32', 'contradiction': '0.24'}","{'entailment': '0.53', 'neutral': '0.41', 'contradiction': '0.06'}",0.36
446,Either LeBron or Veronica are an academic,LeBron is an academic,Veronica is an academic,"{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}","{'entailment': '0.52', 'neutral': '0.35', 'contradiction': '0.13'}",0.35999999999999993
167,Either Leonard or Beyonce are a firefighter,Leonard is a firefighter,Beyonce is a firefighter,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.65', 'neutral': '0.30', 'contradiction': '0.05'}",0.35999999999999993
325,Either Jones or Katherine are a linguist,Jones is a linguist,Katherine is a linguist,"{'entailment': '0.38', 'neutral': '0.43', 'contradiction': '0.18'}","{'entailment': '0.57', 'neutral': '0.36', 'contradiction': '0.08'}",0.35999999999999993
447,Either Amhad or Molly are a delivery,Amhad is a delivery,Molly is a delivery,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.64', 'neutral': '0.20', 'contradiction': '0.17'}",0.3500000000000001
55,Either Sam or Lynn are a medical student,Sam is a medical student,Lynn is a medical student,"{'entailment': '0.63', 'neutral': '0.31', 'contradiction': '0.06'}","{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.03'}",0.3500000000000001
324,Either Silas or Laura are an executive,Silas is an executive,Laura is an executive,"{'entailment': '0.63', 'neutral': '0.28', 'contradiction': '0.09'}","{'entailment': '0.48', 'neutral': '0.46', 'contradiction': '0.07'}",0.35
164,Either Boris or Edith are an engineer,Boris is an engineer,Edith is an engineer,"{'entailment': '0.48', 'neutral': '0.46', 'contradiction': '0.06'}","{'entailment': '0.31', 'neutral': '0.63', 'contradiction': '0.05'}",0.35
269,Either Brady or Priya are a journalist,Brady is a journalist,Priya is a journalist,"{'entailment': '0.71', 'neutral': '0.25', 'contradiction': '0.04'}","{'entailment': '0.53', 'neutral': '0.38', 'contradiction': '0.08'}",0.3499999999999999
47,Either Juan or Kristy are a guitarist,Juan is a guitarist,Kristy is a guitarist,"{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.59', 'neutral': '0.34', 'contradiction': '0.07'}",0.3400000000000001
65,Either Carlos or Kelsi are a police officer,Carlos is a police officer,Kelsi is a police officer,"{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.34
456,Either Jeff or Naomi are a plumber,Jeff is a plumber,Naomi is a plumber,"{'entailment': '0.60', 'neutral': '0.32', 'contradiction': '0.08'}","{'entailment': '0.77', 'neutral': '0.20', 'contradiction': '0.03'}",0.34
423,Either Ryan or Nia are a dealer,Ryan is a dealer,Nia is a dealer,"{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.04'}","{'entailment': '0.59', 'neutral': '0.35', 'contradiction': '0.06'}",0.34
402,Either Josh or Janet are an analyst,Josh is an analyst,Janet is an analyst,"{'entailment': '0.44', 'neutral': '0.41', 'contradiction': '0.15'}","{'entailment': '0.61', 'neutral': '0.35', 'contradiction': '0.04'}",0.33999999999999997
203,Either Anse or Sharon are a butler,Anse is a butler,Sharon is a butler,"{'entailment': '0.46', 'neutral': '0.42', 'contradiction': '0.12'}","{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.07'}",0.33999999999999997
496,Either Jones or Marianne are a drawer,Jones is a drawer,Marianne is a drawer,"{'entailment': '0.53', 'neutral': '0.27', 'contradiction': '0.19'}","{'entailment': '0.70', 'neutral': '0.15', 'contradiction': '0.14'}",0.3399999999999999
13,Either Mitchell or Kathy are an academic,Mitchell is an academic,Kathy is an academic,"{'entailment': '0.55', 'neutral': '0.36', 'contradiction': '0.09'}","{'entailment': '0.42', 'neutral': '0.52', 'contradiction': '0.05'}",0.33000000000000007
304,Either Ramon or Shaniqua are a laborer,Ramon is a laborer,Shaniqua is a laborer,"{'entailment': '0.91', 'neutral': '0.08', 'contradiction': '0.02'}","{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}",0.33
485,Either Treyvone or Sarah are a police officer,Treyvone is a police officer,Sarah is a police officer,"{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.05'}","{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.10'}",0.3299999999999999
24,Either Dawson or Jessica's are an entrepreneur,Dawson is an entrepreneur,Jessica's is an entrepreneur,"{'entailment': '0.52', 'neutral': '0.34', 'contradiction': '0.14'}","{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.09'}",0.32000000000000006
175,Either Raymond or Mary are a handball player,Raymond is a handball player,Mary is a handball player,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.73', 'neutral': '0.22', 'contradiction': '0.05'}",0.32000000000000006
436,Either Cody or Abigail are an employment,Cody is an employment,Abigail is an employment,"{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}","{'entailment': '0.63', 'neutral': '0.28', 'contradiction': '0.09'}",0.32000000000000006
31,Either Connor or Kacey are an economist,Connor is an economist,Kacey is an economist,"{'entailment': '0.41', 'neutral': '0.55', 'contradiction': '0.04'}","{'entailment': '0.57', 'neutral': '0.40', 'contradiction': '0.03'}",0.32
271,Either Benjamin or Shannon are an academic,Benjamin is an academic,Shannon is an academic,"{'entailment': '0.50', 'neutral': '0.35', 'contradiction': '0.15'}","{'entailment': '0.66', 'neutral': '0.29', 'contradiction': '0.05'}",0.32
222,Either Robert or Tessa are a plumber,Robert is a plumber,Tessa is a plumber,"{'entailment': '0.66', 'neutral': '0.31', 'contradiction': '0.03'}","{'entailment': '0.51', 'neutral': '0.47', 'contradiction': '0.02'}",0.32
63,Either Jake or Ellen are a security guard,Jake is a security guard,Ellen is a security guard,"{'entailment': '0.46', 'neutral': '0.35', 'contradiction': '0.18'}","{'entailment': '0.63', 'neutral': '0.26', 'contradiction': '0.12'}",0.31999999999999995
484,Either Steve or Vrenna are a mover,Steve is a mover,Vrenna is a mover,"{'entailment': '0.15', 'neutral': '0.73', 'contradiction': '0.12'}","{'entailment': '0.31', 'neutral': '0.64', 'contradiction': '0.05'}",0.31999999999999995
22,Either Marty or Sara are a cleric,Marty is a cleric,Sara is a cleric,"{'entailment': '0.74', 'neutral': '0.13', 'contradiction': '0.13'}","{'entailment': '0.62', 'neutral': '0.29', 'contradiction': '0.09'}",0.31999999999999995
263,Either Joe or Jessica's are an illustrator,Joe is an illustrator,Jessica's is an illustrator,"{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.14'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}",0.31000000000000005
9,Either Ronald or Brittany are an executive,Ronald is an executive,Brittany is an executive,"{'entailment': '0.75', 'neutral': '0.18', 'contradiction': '0.07'}","{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.08'}",0.31000000000000005
273,Either Jafari or Priya are an administrator,Jafari is an administrator,Priya is an administrator,"{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.13'}","{'entailment': '0.52', 'neutral': '0.33', 'contradiction': '0.15'}",0.31000000000000005
149,Either Kyle or Lucy are an engineer,Kyle is an engineer,Lucy is an engineer,"{'entailment': '0.36', 'neutral': '0.44', 'contradiction': '0.20'}","{'entailment': '0.45', 'neutral': '0.51', 'contradiction': '0.05'}",0.31000000000000005
243,Either Jacques or Abigail are a pharmacist,Jacques is a pharmacist,Abigail is a pharmacist,"{'entailment': '0.58', 'neutral': '0.34', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.24', 'contradiction': '0.03'}",0.31000000000000005
44,Either A'deem or Lea are a mechanic,A'deem is a mechanic,Lea is a mechanic,"{'entailment': '0.92', 'neutral': '0.07', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.05'}",0.31000000000000005
46,Either Timmy or Tarnisha are an engineer,Timmy is an engineer,Tarnisha is an engineer,"{'entailment': '0.44', 'neutral': '0.46', 'contradiction': '0.10'}","{'entailment': '0.60', 'neutral': '0.39', 'contradiction': '0.02'}",0.31
140,Either Alan or Joanne are an economist,Alan is an economist,Joanne is an economist,"{'entailment': '0.44', 'neutral': '0.50', 'contradiction': '0.07'}","{'entailment': '0.33', 'neutral': '0.65', 'contradiction': '0.02'}",0.31
173,Either Dustin or Charlene are a lawyer,Dustin is a lawyer,Charlene is a lawyer,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.67', 'neutral': '0.26', 'contradiction': '0.06'}",0.30999999999999994
459,Either Brady or Sue are a cleric,Brady is a cleric,Sue is a cleric,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.67', 'neutral': '0.26', 'contradiction': '0.07'}",0.30999999999999994
7,Either Sam or Maggie are an executive,Sam is an executive,Maggie is an executive,"{'entailment': '0.31', 'neutral': '0.55', 'contradiction': '0.14'}","{'entailment': '0.46', 'neutral': '0.48', 'contradiction': '0.06'}",0.3000000000000001
11,Either Jacob or LaShawnda are a radiologist,Jacob is a radiologist,LaShawnda is a radiologist,"{'entailment': '0.61', 'neutral': '0.23', 'contradiction': '0.16'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}",0.30000000000000004
218,Either Jack or Joyce are a chess player,Jack is a chess player,Joyce is a chess player,"{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}","{'entailment': '0.76', 'neutral': '0.16', 'contradiction': '0.08'}",0.30000000000000004
405,Either Mattie or Marie are a comedian,Mattie is a comedian,Marie is a comedian,"{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}","{'entailment': '0.59', 'neutral': '0.33', 'contradiction': '0.08'}",0.30000000000000004
