,prem,hypo1,hypo2,score1,score2,diff1,prem-rev,hypo3,hypo4,score3,score4,diff2
10,Either Meghan or Aaron is a foster parent,Meghan is a foster parent,Aaron is a foster parent,"{'entailment': '0.45', 'neutral': '0.44', 'contradiction': '0.11'}","{'entailment': '0.49', 'neutral': '0.25', 'contradiction': '0.25'}",0.37,Either Aaron or Meghan is a foster parent,Meghan is a foster parent,Aaron is a foster parent,"{'entailment': '0.49', 'neutral': '0.33', 'contradiction': '0.18'}","{'entailment': '0.38', 'neutral': '0.30', 'contradiction': '0.32'}",0.28
11,Either Liz or Laquan is a journalist,Liz is a journalist,Laquan is a journalist,"{'entailment': '0.58', 'neutral': '0.35', 'contradiction': '0.08'}","{'entailment': '0.67', 'neutral': '0.29', 'contradiction': '0.03'}",0.20000000000000007,Either Laquan or Liz is a journalist,Liz is a journalist,Laquan is a journalist,"{'entailment': '0.68', 'neutral': '0.27', 'contradiction': '0.05'}","{'entailment': '0.63', 'neutral': '0.32', 'contradiction': '0.05'}",0.10000000000000003
12,Either Vrenna or Juan is a singer,Vrenna is a singer,Juan is a singer,"{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.01'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}",0.09000000000000002,Either Juan or Vrenna is a singer,Vrenna is a singer,Juan is a singer,"{'entailment': '0.83', 'neutral': '0.15', 'contradiction': '0.03'}","{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.03'}",0.12000000000000005
13,Either Candy or Ramon is a lifeguard,Candy is a lifeguard,Ramon is a lifeguard,"{'entailment': '0.64', 'neutral': '0.32', 'contradiction': '0.05'}","{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}",0.38999999999999996,Either Ramon or Candy is a lifeguard,Candy is a lifeguard,Ramon is a lifeguard,"{'entailment': '0.66', 'neutral': '0.29', 'contradiction': '0.05'}","{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.04'}",0.28
14,Either Melissa or Treyvone is an aeronautical engineer,Melissa is an aeronautical engineer,Treyvone is an aeronautical engineer,"{'entailment': '0.50', 'neutral': '0.40', 'contradiction': '0.10'}","{'entailment': '0.63', 'neutral': '0.25', 'contradiction': '0.12'}",0.30000000000000004,Either Treyvone or Melissa is an aeronautical engineer,Melissa is an aeronautical engineer,Treyvone is an aeronautical engineer,"{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}","{'entailment': '0.71', 'neutral': '0.16', 'contradiction': '0.13'}",0.23999999999999996
15,Either Jennifer or Thorn is an opera singer,Jennifer is an opera singer,Thorn is an opera singer,"{'entailment': '0.55', 'neutral': '0.26', 'contradiction': '0.19'}","{'entailment': '0.49', 'neutral': '0.26', 'contradiction': '0.24'}",0.11000000000000004,Either Thorn or Jennifer is an opera singer,Jennifer is an opera singer,Thorn is an opera singer,"{'entailment': '0.67', 'neutral': '0.17', 'contradiction': '0.16'}","{'entailment': '0.62', 'neutral': '0.16', 'contradiction': '0.21'}",0.11000000000000004
16,Either Meghan or Billy is a mathematician,Meghan is a mathematician,Billy is a mathematician,"{'entailment': '0.53', 'neutral': '0.44', 'contradiction': '0.03'}","{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.06'}",0.3699999999999999,Either Billy or Meghan is a mathematician,Meghan is a mathematician,Billy is a mathematician,"{'entailment': '0.48', 'neutral': '0.47', 'contradiction': '0.05'}","{'entailment': '0.67', 'neutral': '0.28', 'contradiction': '0.05'}",0.38
17,Either Greta or Cole is a cleaner,Greta is a cleaner,Cole is a cleaner,"{'entailment': '0.68', 'neutral': '0.29', 'contradiction': '0.03'}","{'entailment': '0.65', 'neutral': '0.31', 'contradiction': '0.04'}",0.060000000000000046,Either Cole or Greta is a cleaner,Greta is a cleaner,Cole is a cleaner,"{'entailment': '0.65', 'neutral': '0.29', 'contradiction': '0.06'}","{'entailment': '0.56', 'neutral': '0.37', 'contradiction': '0.07'}",0.18
18,Either Barbara or Brady is a researcher,Barbara is a researcher,Brady is a researcher,"{'entailment': '0.67', 'neutral': '0.27', 'contradiction': '0.06'}","{'entailment': '0.60', 'neutral': '0.32', 'contradiction': '0.08'}",0.14000000000000007,Either Brady or Barbara is a researcher,Barbara is a researcher,Brady is a researcher,"{'entailment': '0.56', 'neutral': '0.37', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.04'}",0.33999999999999997
19,Either Sharon or Ramirez is a businessperson,Sharon is a businessperson,Ramirez is a businessperson,"{'entailment': '0.58', 'neutral': '0.37', 'contradiction': '0.05'}","{'entailment': '0.56', 'neutral': '0.33', 'contradiction': '0.10'}",0.10999999999999989,Either Ramirez or Sharon is a businessperson,Sharon is a businessperson,Ramirez is a businessperson,"{'entailment': '0.63', 'neutral': '0.33', 'contradiction': '0.04'}","{'entailment': '0.48', 'neutral': '0.43', 'contradiction': '0.09'}",0.3
20,Either Nina or Jamel is a tennis player,Nina is a tennis player,Jamel is a tennis player,"{'entailment': '0.85', 'neutral': '0.13', 'contradiction': '0.02'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.04'}",0.05000000000000002,Either Jamel or Nina is a tennis player,Nina is a tennis player,Jamel is a tennis player,"{'entailment': '0.86', 'neutral': '0.11', 'contradiction': '0.03'}","{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.03'}",0.05000000000000002
21,Either Anne or Jafari is a boxer,Anne is a boxer,Jafari is a boxer,"{'entailment': '0.21', 'neutral': '0.55', 'contradiction': '0.24'}","{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.08'}",0.72,Either Jafari or Anne is a boxer,Anne is a boxer,Jafari is a boxer,"{'entailment': '0.24', 'neutral': '0.58', 'contradiction': '0.18'}","{'entailment': '0.41', 'neutral': '0.44', 'contradiction': '0.15'}",0.33999999999999997
22,Either Monica or LeBron is a lawn mower,Monica is a lawn mower,LeBron is a lawn mower,"{'entailment': '0.74', 'neutral': '0.13', 'contradiction': '0.13'}","{'entailment': '0.83', 'neutral': '0.09', 'contradiction': '0.08'}",0.18,Either LeBron or Monica is a lawn mower,Monica is a lawn mower,LeBron is a lawn mower,"{'entailment': '0.51', 'neutral': '0.19', 'contradiction': '0.31'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}",0.6699999999999999
23,Either Meghan or Mitchell is a manager,Meghan is a manager,Mitchell is a manager,"{'entailment': '0.55', 'neutral': '0.38', 'contradiction': '0.08'}","{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.05'}",0.44999999999999996,Either Mitchell or Meghan is a manager,Meghan is a manager,Mitchell is a manager,"{'entailment': '0.51', 'neutral': '0.40', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.06'}",0.44999999999999996
24,Either Juliette or John is a tennis player,Juliette is a tennis player,John is a tennis player,"{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}","{'entailment': '0.57', 'neutral': '0.34', 'contradiction': '0.10'}",0.49000000000000016,Either John or Juliette is a tennis player,Juliette is a tennis player,John is a tennis player,"{'entailment': '0.69', 'neutral': '0.21', 'contradiction': '0.09'}","{'entailment': '0.51', 'neutral': '0.41', 'contradiction': '0.08'}",0.3899999999999999
25,Either Dawn or Jim is a foster parent,Dawn is a foster parent,Jim is a foster parent,"{'entailment': '0.64', 'neutral': '0.23', 'contradiction': '0.13'}","{'entailment': '0.56', 'neutral': '0.18', 'contradiction': '0.26'}",0.26,Either Jim or Dawn is a foster parent,Dawn is a foster parent,Jim is a foster parent,"{'entailment': '0.50', 'neutral': '0.31', 'contradiction': '0.19'}","{'entailment': '0.29', 'neutral': '0.29', 'contradiction': '0.42'}",0.46
26,Either Precious or Billy is a drawer,Precious is a drawer,Billy is a drawer,"{'entailment': '0.76', 'neutral': '0.10', 'contradiction': '0.13'}","{'entailment': '0.53', 'neutral': '0.16', 'contradiction': '0.31'}",0.47,Either Billy or Precious is a drawer,Precious is a drawer,Billy is a drawer,"{'entailment': '0.54', 'neutral': '0.18', 'contradiction': '0.28'}","{'entailment': '0.70', 'neutral': '0.13', 'contradiction': '0.17'}",0.31999999999999995
27,Either Sue or Greg is a builder,Sue is a builder,Greg is a builder,"{'entailment': '0.56', 'neutral': '0.38', 'contradiction': '0.05'}","{'entailment': '0.58', 'neutral': '0.34', 'contradiction': '0.08'}",0.08999999999999989,Either Greg or Sue is a builder,Sue is a builder,Greg is a builder,"{'entailment': '0.45', 'neutral': '0.49', 'contradiction': '0.06'}","{'entailment': '0.42', 'neutral': '0.46', 'contradiction': '0.11'}",0.11
28,Either Tanisha or Jimmy is an employment,Tanisha is an employment,Jimmy is an employment,"{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.06'}","{'entailment': '0.67', 'neutral': '0.18', 'contradiction': '0.15'}",0.16999999999999993,Either Jimmy or Tanisha is an employment,Tanisha is an employment,Jimmy is an employment,"{'entailment': '0.53', 'neutral': '0.37', 'contradiction': '0.10'}","{'entailment': '0.70', 'neutral': '0.17', 'contradiction': '0.13'}",0.3999999999999999
29,Either Candace or Treyvone is a hairdresser,Candace is a hairdresser,Treyvone is a hairdresser,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.88', 'neutral': '0.07', 'contradiction': '0.05'}",0.08000000000000004,Either Treyvone or Candace is a hairdresser,Candace is a hairdresser,Treyvone is a hairdresser,"{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.02'}","{'entailment': '0.83', 'neutral': '0.08', 'contradiction': '0.09'}",0.20000000000000007
30,Either Kassidy or Jake is a magician,Kassidy is a magician,Jake is a magician,"{'entailment': '0.59', 'neutral': '0.36', 'contradiction': '0.05'}","{'entailment': '0.73', 'neutral': '0.21', 'contradiction': '0.06'}",0.30000000000000004,Either Jake or Kassidy is a magician,Kassidy is a magician,Jake is a magician,"{'entailment': '0.61', 'neutral': '0.32', 'contradiction': '0.06'}","{'entailment': '0.41', 'neutral': '0.45', 'contradiction': '0.14'}",0.41000000000000003
31,Either Sara or Vince is an attendant,Sara is an attendant,Vince is an attendant,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}","{'entailment': '0.58', 'neutral': '0.23', 'contradiction': '0.19'}",0.28,Either Vince or Sara is an attendant,Sara is an attendant,Vince is an attendant,"{'entailment': '0.54', 'neutral': '0.27', 'contradiction': '0.19'}","{'entailment': '0.67', 'neutral': '0.20', 'contradiction': '0.13'}",0.26
32,Either Anita or Jaleel is a cleric,Anita is a cleric,Jaleel is a cleric,"{'entailment': '0.66', 'neutral': '0.24', 'contradiction': '0.10'}","{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}",0.45999999999999996,Either Jaleel or Anita is a cleric,Anita is a cleric,Jaleel is a cleric,"{'entailment': '0.66', 'neutral': '0.26', 'contradiction': '0.08'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}",0.36
33,Either Priya or Dustin is an office worker,Priya is an office worker,Dustin is an office worker,"{'entailment': '0.66', 'neutral': '0.28', 'contradiction': '0.06'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}",0.32000000000000006,Either Dustin or Priya is an office worker,Priya is an office worker,Dustin is an office worker,"{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.08'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.06'}",0.1600000000000001
34,Either Paula or Tim is a mechanic,Paula is a mechanic,Tim is a mechanic,"{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}","{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}",0.09999999999999995,Either Tim or Paula is a mechanic,Paula is a mechanic,Tim is a mechanic,"{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}","{'entailment': '0.51', 'neutral': '0.38', 'contradiction': '0.11'}",0.21999999999999997
35,Either Katherine or Thomas is a banker,Katherine is a banker,Thomas is a banker,"{'entailment': '0.50', 'neutral': '0.42', 'contradiction': '0.08'}","{'entailment': '0.65', 'neutral': '0.24', 'contradiction': '0.11'}",0.36,Either Thomas or Katherine is a banker,Katherine is a banker,Thomas is a banker,"{'entailment': '0.49', 'neutral': '0.38', 'contradiction': '0.13'}","{'entailment': '0.55', 'neutral': '0.31', 'contradiction': '0.14'}",0.14000000000000007
36,Either Candice or James is a model,Candice is a model,James is a model,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.52', 'neutral': '0.34', 'contradiction': '0.14'}",0.41000000000000003,Either James or Candice is a model,Candice is a model,James is a model,"{'entailment': '0.46', 'neutral': '0.33', 'contradiction': '0.20'}","{'entailment': '0.57', 'neutral': '0.30', 'contradiction': '0.13'}",0.20999999999999996
37,Either Bai or LeBron is a musician,Bai is a musician,LeBron is a musician,"{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}","{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.06'}",0.24,Either LeBron or Bai is a musician,Bai is a musician,LeBron is a musician,"{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}","{'entailment': '0.68', 'neutral': '0.24', 'contradiction': '0.07'}",0.15
38,Either Tina or Terrance is a groom,Tina is a groom,Terrance is a groom,"{'entailment': '0.66', 'neutral': '0.25', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.19', 'contradiction': '0.08'}",0.13999999999999996,Either Terrance or Tina is a groom,Tina is a groom,Terrance is a groom,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}",0.19999999999999998
39,Either Shannon or Lamar is a butcher,Shannon is a butcher,Lamar is a butcher,"{'entailment': '0.78', 'neutral': '0.10', 'contradiction': '0.12'}","{'entailment': '0.75', 'neutral': '0.16', 'contradiction': '0.09'}",0.12000000000000002,Either Lamar or Shannon is a butcher,Shannon is a butcher,Lamar is a butcher,"{'entailment': '0.77', 'neutral': '0.10', 'contradiction': '0.13'}","{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}",0.08000000000000002
40,Either Molly or Ramon is a broker,Molly is a broker,Ramon is a broker,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}",0.13999999999999996,Either Ramon or Molly is a broker,Molly is a broker,Ramon is a broker,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}",0.19999999999999998
41,Either Sue or Manuel is a lawyer,Sue is a lawyer,Manuel is a lawyer,"{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}","{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}",0.35999999999999993,Either Manuel or Sue is a lawyer,Sue is a lawyer,Manuel is a lawyer,"{'entailment': '0.65', 'neutral': '0.26', 'contradiction': '0.09'}","{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}",0.45999999999999996
42,Either Meghan or Tyresse is a producer,Meghan is a producer,Tyresse is a producer,"{'entailment': '0.57', 'neutral': '0.30', 'contradiction': '0.13'}","{'entailment': '0.77', 'neutral': '0.16', 'contradiction': '0.06'}",0.4100000000000001,Either Tyresse or Meghan is a producer,Meghan is a producer,Tyresse is a producer,"{'entailment': '0.70', 'neutral': '0.20', 'contradiction': '0.10'}","{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.09'}",0.030000000000000027
43,Either Susan or Aaron is an academic,Susan is an academic,Aaron is an academic,"{'entailment': '0.23', 'neutral': '0.69', 'contradiction': '0.08'}","{'entailment': '0.42', 'neutral': '0.48', 'contradiction': '0.10'}",0.41999999999999993,Either Aaron or Susan is an academic,Susan is an academic,Aaron is an academic,"{'entailment': '0.38', 'neutral': '0.56', 'contradiction': '0.07'}","{'entailment': '0.53', 'neutral': '0.35', 'contradiction': '0.12'}",0.4100000000000001
44,Either Kassandra or Jafari is a supervisor,Kassandra is a supervisor,Jafari is a supervisor,"{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}","{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.06'}",0.08999999999999994,Either Jafari or Kassandra is a supervisor,Kassandra is a supervisor,Jafari is a supervisor,"{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.08'}","{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.12'}",0.13
45,Either Craig or Silas is a handyman,Craig is a handyman,Silas is a handyman,"{'entailment': '0.47', 'neutral': '0.47', 'contradiction': '0.05'}","{'entailment': '0.48', 'neutral': '0.47', 'contradiction': '0.05'}",0.010000000000000009,Either Silas or Craig is a handyman,Craig is a handyman,Silas is a handyman,"{'entailment': '0.77', 'neutral': '0.21', 'contradiction': '0.02'}","{'entailment': '0.60', 'neutral': '0.36', 'contradiction': '0.03'}",0.33000000000000007
46,Either Nia or Fred is a salesperson,Nia is a salesperson,Fred is a salesperson,"{'entailment': '0.83', 'neutral': '0.14', 'contradiction': '0.03'}","{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}",0.059999999999999915,Either Fred or Nia is a salesperson,Nia is a salesperson,Fred is a salesperson,"{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}","{'entailment': '0.70', 'neutral': '0.24', 'contradiction': '0.07'}",0.09000000000000002
47,Either Diamond or Jacob is a judge,Diamond is a judge,Jacob is a judge,"{'entailment': '0.38', 'neutral': '0.35', 'contradiction': '0.27'}","{'entailment': '0.63', 'neutral': '0.19', 'contradiction': '0.18'}",0.5,Either Jacob or Diamond is a judge,Diamond is a judge,Jacob is a judge,"{'entailment': '0.44', 'neutral': '0.38', 'contradiction': '0.17'}","{'entailment': '0.37', 'neutral': '0.34', 'contradiction': '0.29'}",0.22999999999999995
48,Either Sara or Sam is a chef,Sara is a chef,Sam is a chef,"{'entailment': '0.52', 'neutral': '0.39', 'contradiction': '0.10'}","{'entailment': '0.46', 'neutral': '0.39', 'contradiction': '0.15'}",0.10999999999999999,Either Sam or Sara is a chef,Sara is a chef,Sam is a chef,"{'entailment': '0.61', 'neutral': '0.32', 'contradiction': '0.07'}","{'entailment': '0.45', 'neutral': '0.39', 'contradiction': '0.16'}",0.31999999999999995
49,Either Lea or Sudeep is a physician,Lea is a physician,Sudeep is a physician,"{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}","{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}",0.04,Either Sudeep or Lea is a physician,Lea is a physician,Sudeep is a physician,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.05'}",0.059999999999999915
50,Either Candice or Tom is a clerk,Candice is a clerk,Tom is a clerk,"{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}","{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}",0.03999999999999999,Either Tom or Candice is a clerk,Candice is a clerk,Tom is a clerk,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.08'}",0.03999999999999991
51,Either Fabioloa or Tom is a pensioner,Fabioloa is a pensioner,Tom is a pensioner,"{'entailment': '0.48', 'neutral': '0.38', 'contradiction': '0.14'}","{'entailment': '0.50', 'neutral': '0.36', 'contradiction': '0.13'}",0.050000000000000044,Either Tom or Fabioloa is a pensioner,Fabioloa is a pensioner,Tom is a pensioner,"{'entailment': '0.57', 'neutral': '0.31', 'contradiction': '0.12'}","{'entailment': '0.43', 'neutral': '0.45', 'contradiction': '0.12'}",0.27999999999999997
52,Either Joan or Carl is a journalist,Joan is a journalist,Carl is a journalist,"{'entailment': '0.44', 'neutral': '0.47', 'contradiction': '0.10'}","{'entailment': '0.59', 'neutral': '0.27', 'contradiction': '0.14'}",0.3899999999999999,Either Carl or Joan is a journalist,Joan is a journalist,Carl is a journalist,"{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.08'}","{'entailment': '0.57', 'neutral': '0.28', 'contradiction': '0.15'}",0.13999999999999996
53,Either Kia or Mack is a chef,Kia is a chef,Mack is a chef,"{'entailment': '0.77', 'neutral': '0.19', 'contradiction': '0.04'}","{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}",0.19999999999999998,Either Mack or Kia is a chef,Kia is a chef,Mack is a chef,"{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}","{'entailment': '0.77', 'neutral': '0.15', 'contradiction': '0.08'}",0.060000000000000026
54,Either Susie or Cadan is a psychologist,Susie is a psychologist,Cadan is a psychologist,"{'entailment': '0.64', 'neutral': '0.31', 'contradiction': '0.05'}","{'entailment': '0.86', 'neutral': '0.13', 'contradiction': '0.02'}",0.43,Either Cadan or Susie is a psychologist,Susie is a psychologist,Cadan is a psychologist,"{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.05'}","{'entailment': '0.80', 'neutral': '0.17', 'contradiction': '0.03'}",0.06000000000000001
55,Either Carly or David is a chef,Carly is a chef,David is a chef,"{'entailment': '0.65', 'neutral': '0.26', 'contradiction': '0.09'}","{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.09'}",0.11999999999999994,Either David or Carly is a chef,Carly is a chef,David is a chef,"{'entailment': '0.57', 'neutral': '0.34', 'contradiction': '0.09'}","{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.10'}",0.09000000000000008
56,Either Grace or Hunter is a counselor,Grace is a counselor,Hunter is a counselor,"{'entailment': '0.93', 'neutral': '0.06', 'contradiction': '0.01'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}",0.18000000000000008,Either Hunter or Grace is a counselor,Grace is a counselor,Hunter is a counselor,"{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.77', 'neutral': '0.17', 'contradiction': '0.06'}",0.09999999999999994
57,Either Katie or Kevin is a singer,Katie is a singer,Kevin is a singer,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.06'}","{'entailment': '0.58', 'neutral': '0.33', 'contradiction': '0.09'}",0.26,Either Kevin or Katie is a singer,Katie is a singer,Kevin is a singer,"{'entailment': '0.52', 'neutral': '0.27', 'contradiction': '0.21'}","{'entailment': '0.57', 'neutral': '0.36', 'contradiction': '0.07'}",0.2799999999999999
58,Either Amy or Malik is an astronomer,Amy is an astronomer,Malik is an astronomer,"{'entailment': '0.41', 'neutral': '0.35', 'contradiction': '0.24'}","{'entailment': '0.59', 'neutral': '0.26', 'contradiction': '0.15'}",0.36,Either Malik or Amy is an astronomer,Amy is an astronomer,Malik is an astronomer,"{'entailment': '0.56', 'neutral': '0.27', 'contradiction': '0.16'}","{'entailment': '0.59', 'neutral': '0.25', 'contradiction': '0.16'}",0.04999999999999993
