,0,1,2,3
10,Either Dustin or Chan is a clerk[SEP]Dustin is a clerk,Either Dustin or Chan is a clerk[SEP]Chan is a clerk,Either Chan or Dustin is a clerk[SEP]Dustin is a clerk,Either Chan or Dustin is a clerk[SEP]Chan is a clerk
11,Either Cole or Diamond is an engineer[SEP]Cole is an engineer,Either Cole or Diamond is an engineer[SEP]Diamond is an engineer,Either Diamond or Cole is an engineer[SEP]Cole is an engineer,Either Diamond or Cole is an engineer[SEP]Diamond is an engineer
12,Either Jack or Won Lee is an employee[SEP]Jack is an employee,Either Jack or Won Lee is an employee[SEP]Won Lee is an employee,Either Won Lee or Jack is an employee[SEP]Jack is an employee,Either Won Lee or Jack is an employee[SEP]Won Lee is an employee
13,Either Essex or Feng Wu is a radiologist[SEP]Essex is a radiologist,Either Essex or Feng Wu is a radiologist[SEP]Feng Wu is a radiologist,Either Feng Wu or Essex is a radiologist[SEP]Essex is a radiologist,Either Feng Wu or Essex is a radiologist[SEP]Feng Wu is a radiologist
14,Either Katie or Marquis is a gambler[SEP]Katie is a gambler,Either Katie or Marquis is a gambler[SEP]Marquis is a gambler,Either Marquis or Katie is a gambler[SEP]Katie is a gambler,Either Marquis or Katie is a gambler[SEP]Marquis is a gambler
15,Either LeShawn or Ragesh is an aeronautical engineer[SEP]LeShawn is an aeronautical engineer,Either LeShawn or Ragesh is an aeronautical engineer[SEP]Ragesh is an aeronautical engineer,Either Ragesh or LeShawn is an aeronautical engineer[SEP]LeShawn is an aeronautical engineer,Either Ragesh or LeShawn is an aeronautical engineer[SEP]Ragesh is an aeronautical engineer
16,Either Greg or Won San Lee is an engineer[SEP]Greg is an engineer,Either Greg or Won San Lee is an engineer[SEP]Won San Lee is an engineer,Either Won San Lee or Greg is an engineer[SEP]Greg is an engineer,Either Won San Lee or Greg is an engineer[SEP]Won San Lee is an engineer
17,Either Scott or Chen Lang is an author[SEP]Scott is an author,Either Scott or Chen Lang is an author[SEP]Chen Lang is an author,Either Chen Lang or Scott is an author[SEP]Scott is an author,Either Chen Lang or Scott is an author[SEP]Chen Lang is an author
18,Either Brown or Precious is a janitor[SEP]Brown is a janitor,Either Brown or Precious is a janitor[SEP]Precious is a janitor,Either Precious or Brown is a janitor[SEP]Brown is a janitor,Either Precious or Brown is a janitor[SEP]Precious is a janitor
19,Either Inglethorp or Beyonce is a lawn mower[SEP]Inglethorp is a lawn mower,Either Inglethorp or Beyonce is a lawn mower[SEP]Beyonce is a lawn mower,Either Beyonce or Inglethorp is a lawn mower[SEP]Inglethorp is a lawn mower,Either Beyonce or Inglethorp is a lawn mower[SEP]Beyonce is a lawn mower
20,Either Brown or Treyvone is a sheriff[SEP]Brown is a sheriff,Either Brown or Treyvone is a sheriff[SEP]Treyvone is a sheriff,Either Treyvone or Brown is a sheriff[SEP]Brown is a sheriff,Either Treyvone or Brown is a sheriff[SEP]Treyvone is a sheriff
21,Either Cody or Lamar is a nurse[SEP]Cody is a nurse,Either Cody or Lamar is a nurse[SEP]Lamar is a nurse,Either Lamar or Cody is a nurse[SEP]Cody is a nurse,Either Lamar or Cody is a nurse[SEP]Lamar is a nurse
22,Either Heather or Gary is an inspector[SEP]Heather is an inspector,Either Heather or Gary is an inspector[SEP]Gary is an inspector,Either Gary or Heather is an inspector[SEP]Heather is an inspector,Either Gary or Heather is an inspector[SEP]Gary is an inspector
23,Either Scott or Chang Lee is an assistant[SEP]Scott is an assistant,Either Scott or Chang Lee is an assistant[SEP]Chang Lee is an assistant,Either Chang Lee or Scott is an assistant[SEP]Scott is an assistant,Either Chang Lee or Scott is an assistant[SEP]Chang Lee is an assistant
24,Either Katie or Feng Wu is a housekeeper[SEP]Katie is a housekeeper,Either Katie or Feng Wu is a housekeeper[SEP]Feng Wu is a housekeeper,Either Feng Wu or Katie is a housekeeper[SEP]Katie is a housekeeper,Either Feng Wu or Katie is a housekeeper[SEP]Feng Wu is a housekeeper
25,Either Greuze or Maya is a dealer[SEP]Greuze is a dealer,Either Greuze or Maya is a dealer[SEP]Maya is a dealer,Either Maya or Greuze is a dealer[SEP]Greuze is a dealer,Either Maya or Greuze is a dealer[SEP]Maya is a dealer
26,Either Cody or Ebony is an analyst[SEP]Cody is an analyst,Either Cody or Ebony is an analyst[SEP]Ebony is an analyst,Either Ebony or Cody is an analyst[SEP]Cody is an analyst,Either Ebony or Cody is an analyst[SEP]Ebony is an analyst
27,Either Scott or Wong Chang is a lawyer[SEP]Scott is a lawyer,Either Scott or Wong Chang is a lawyer[SEP]Wong Chang is a lawyer,Either Wong Chang or Scott is a lawyer[SEP]Scott is a lawyer,Either Wong Chang or Scott is a lawyer[SEP]Wong Chang is a lawyer
28,Either Claire or Laquisha is a chemist[SEP]Claire is a chemist,Either Claire or Laquisha is a chemist[SEP]Laquisha is a chemist,Either Laquisha or Claire is a chemist[SEP]Claire is a chemist,Either Laquisha or Claire is a chemist[SEP]Laquisha is a chemist
29,Either Katie or Tyresse is a tennis player[SEP]Katie is a tennis player,Either Katie or Tyresse is a tennis player[SEP]Tyresse is a tennis player,Either Tyresse or Katie is a tennis player[SEP]Katie is a tennis player,Either Tyresse or Katie is a tennis player[SEP]Tyresse is a tennis player
30,Either Greuze or Laquan is a security guard[SEP]Greuze is a security guard,Either Greuze or Laquan is a security guard[SEP]Laquan is a security guard,Either Laquan or Greuze is a security guard[SEP]Greuze is a security guard,Either Laquan or Greuze is a security guard[SEP]Laquan is a security guard
31,Either Scott or Gabriel is a counselor[SEP]Scott is a counselor,Either Scott or Gabriel is a counselor[SEP]Gabriel is a counselor,Either Gabriel or Scott is a counselor[SEP]Scott is a counselor,Either Gabriel or Scott is a counselor[SEP]Gabriel is a counselor
32,Either Dustin or Ebony is a guard[SEP]Dustin is a guard,Either Dustin or Ebony is a guard[SEP]Ebony is a guard,Either Ebony or Dustin is a guard[SEP]Dustin is a guard,Either Ebony or Dustin is a guard[SEP]Ebony is a guard
33,Either Essex or Laquan is a magician[SEP]Essex is a magician,Either Essex or Laquan is a magician[SEP]Laquan is a magician,Either Laquan or Essex is a magician[SEP]Essex is a magician,Either Laquan or Essex is a magician[SEP]Laquan is a magician
34,Either Katherine or Joo-Lin is a guitarist[SEP]Katherine is a guitarist,Either Katherine or Joo-Lin is a guitarist[SEP]Joo-Lin is a guitarist,Either Joo-Lin or Katherine is a guitarist[SEP]Katherine is a guitarist,Either Joo-Lin or Katherine is a guitarist[SEP]Joo-Lin is a guitarist
35,Either Hunter or Ramirez is an assistant[SEP]Hunter is an assistant,Either Hunter or Ramirez is an assistant[SEP]Ramirez is an assistant,Either Ramirez or Hunter is an assistant[SEP]Hunter is an assistant,Either Ramirez or Hunter is an assistant[SEP]Ramirez is an assistant
36,Either Cadan or Ragesh is a mover[SEP]Cadan is a mover,Either Cadan or Ragesh is a mover[SEP]Ragesh is a mover,Either Ragesh or Cadan is a mover[SEP]Cadan is a mover,Either Ragesh or Cadan is a mover[SEP]Ragesh is a mover
37,Either Cole or Gabriel is a barber[SEP]Cole is a barber,Either Cole or Gabriel is a barber[SEP]Gabriel is a barber,Either Gabriel or Cole is a barber[SEP]Cole is a barber,Either Gabriel or Cole is a barber[SEP]Gabriel is a barber
38,Either Carly or Diamond is a cleric[SEP]Carly is a cleric,Either Carly or Diamond is a cleric[SEP]Diamond is a cleric,Either Diamond or Carly is a cleric[SEP]Carly is a cleric,Either Diamond or Carly is a cleric[SEP]Diamond is a cleric
39,Either Jake or Jorge is a firefighter[SEP]Jake is a firefighter,Either Jake or Jorge is a firefighter[SEP]Jorge is a firefighter,Either Jorge or Jake is a firefighter[SEP]Jake is a firefighter,Either Jorge or Jake is a firefighter[SEP]Jorge is a firefighter
40,Either Katie or Chin Pang is an inspector[SEP]Katie is an inspector,Either Katie or Chin Pang is an inspector[SEP]Chin Pang is an inspector,Either Chin Pang or Katie is an inspector[SEP]Katie is an inspector,Either Chin Pang or Katie is an inspector[SEP]Chin Pang is an inspector
41,Either Essex or Jamal is a lawn mower[SEP]Essex is a lawn mower,Either Essex or Jamal is a lawn mower[SEP]Jamal is a lawn mower,Either Jamal or Essex is a lawn mower[SEP]Essex is a lawn mower,Either Jamal or Essex is a lawn mower[SEP]Jamal is a lawn mower
42,Either Cody or Raja is an artist[SEP]Cody is an artist,Either Cody or Raja is an artist[SEP]Raja is an artist,Either Raja or Cody is an artist[SEP]Cody is an artist,Either Raja or Cody is an artist[SEP]Raja is an artist
43,Either Greg or Bai is a composer[SEP]Greg is a composer,Either Greg or Bai is a composer[SEP]Bai is a composer,Either Bai or Greg is a composer[SEP]Greg is a composer,Either Bai or Greg is a composer[SEP]Bai is a composer
44,Either Jenna or Kia is a director[SEP]Jenna is a director,Either Jenna or Kia is a director[SEP]Kia is a director,Either Kia or Jenna is a director[SEP]Jenna is a director,Either Kia or Jenna is a director[SEP]Kia is a director
45,Either Inglethorp or Jorge is a plumber[SEP]Inglethorp is a plumber,Either Inglethorp or Jorge is a plumber[SEP]Jorge is a plumber,Either Jorge or Inglethorp is a plumber[SEP]Inglethorp is a plumber,Either Jorge or Inglethorp is a plumber[SEP]Jorge is a plumber
46,Either Katie or Ragesh is an architect[SEP]Katie is an architect,Either Katie or Ragesh is an architect[SEP]Ragesh is an architect,Either Ragesh or Katie is an architect[SEP]Katie is an architect,Either Ragesh or Katie is an architect[SEP]Ragesh is an architect
47,Either Cody or Feng Wu is a security guard[SEP]Cody is a security guard,Either Cody or Feng Wu is a security guard[SEP]Feng Wu is a security guard,Either Feng Wu or Cody is a security guard[SEP]Cody is a security guard,Either Feng Wu or Cody is a security guard[SEP]Feng Wu is a security guard
48,Either Amy or Laquisha is a professor[SEP]Amy is a professor,Either Amy or Laquisha is a professor[SEP]Laquisha is a professor,Either Laquisha or Amy is a professor[SEP]Amy is a professor,Either Laquisha or Amy is a professor[SEP]Laquisha is a professor
49,Either Heather or Jamal is an employee[SEP]Heather is an employee,Either Heather or Jamal is an employee[SEP]Jamal is an employee,Either Jamal or Heather is an employee[SEP]Heather is an employee,Either Jamal or Heather is an employee[SEP]Jamal is an employee
50,Either Carly or Ebony is a tailor[SEP]Carly is a tailor,Either Carly or Ebony is a tailor[SEP]Ebony is a tailor,Either Ebony or Carly is a tailor[SEP]Carly is a tailor,Either Ebony or Carly is a tailor[SEP]Ebony is a tailor
51,Either Cody or Kia is an artist[SEP]Cody is an artist,Either Cody or Kia is an artist[SEP]Kia is an artist,Either Kia or Cody is an artist[SEP]Cody is an artist,Either Kia or Cody is an artist[SEP]Kia is an artist
52,Either Inglethorp or Ebony is a chef[SEP]Inglethorp is a chef,Either Inglethorp or Ebony is a chef[SEP]Ebony is a chef,Either Ebony or Inglethorp is a chef[SEP]Inglethorp is a chef,Either Ebony or Inglethorp is a chef[SEP]Ebony is a chef
53,Either Claire or Laquan is a cleric[SEP]Claire is a cleric,Either Claire or Laquan is a cleric[SEP]Laquan is a cleric,Either Laquan or Claire is a cleric[SEP]Claire is a cleric,Either Laquan or Claire is a cleric[SEP]Laquan is a cleric
54,Either Greuze or Terrance is a chef[SEP]Greuze is a chef,Either Greuze or Terrance is a chef[SEP]Terrance is a chef,Either Terrance or Greuze is a chef[SEP]Greuze is a chef,Either Terrance or Greuze is a chef[SEP]Terrance is a chef
55,Either Ronnie or Precious is a linguist[SEP]Ronnie is a linguist,Either Ronnie or Precious is a linguist[SEP]Precious is a linguist,Either Precious or Ronnie is a linguist[SEP]Ronnie is a linguist,Either Precious or Ronnie is a linguist[SEP]Precious is a linguist
56,Either Essex or Nina is a librarian[SEP]Essex is a librarian,Either Essex or Nina is a librarian[SEP]Nina is a librarian,Either Nina or Essex is a librarian[SEP]Essex is a librarian,Either Nina or Essex is a librarian[SEP]Nina is a librarian
57,Either Heather or Gabriel is a pharmacist[SEP]Heather is a pharmacist,Either Heather or Gabriel is a pharmacist[SEP]Gabriel is a pharmacist,Either Gabriel or Heather is a pharmacist[SEP]Heather is a pharmacist,Either Gabriel or Heather is a pharmacist[SEP]Gabriel is a pharmacist
58,Either Ronnie or Shaniqua is an administrator[SEP]Ronnie is an administrator,Either Ronnie or Shaniqua is an administrator[SEP]Shaniqua is an administrator,Either Shaniqua or Ronnie is an administrator[SEP]Ronnie is an administrator,Either Shaniqua or Ronnie is an administrator[SEP]Shaniqua is an administrator
59,Either Emily or Terrell is an astronomer[SEP]Emily is an astronomer,Either Emily or Terrell is an astronomer[SEP]Terrell is an astronomer,Either Terrell or Emily is an astronomer[SEP]Emily is an astronomer,Either Terrell or Emily is an astronomer[SEP]Terrell is an astronomer
60,Either Craig or Chan is a janitor[SEP]Craig is a janitor,Either Craig or Chan is a janitor[SEP]Chan is a janitor,Either Chan or Craig is a janitor[SEP]Craig is a janitor,Either Chan or Craig is a janitor[SEP]Chan is a janitor
61,Either Cadan or Chin Pang is a grocer[SEP]Cadan is a grocer,Either Cadan or Chin Pang is a grocer[SEP]Chin Pang is a grocer,Either Chin Pang or Cadan is a grocer[SEP]Cadan is a grocer,Either Chin Pang or Cadan is a grocer[SEP]Chin Pang is a grocer
62,Either Jacob or Wong Chang is a butler[SEP]Jacob is a butler,Either Jacob or Wong Chang is a butler[SEP]Wong Chang is a butler,Either Wong Chang or Jacob is a butler[SEP]Jacob is a butler,Either Wong Chang or Jacob is a butler[SEP]Wong Chang is a butler
63,Either Prescott or Shaniqua is an opera singer[SEP]Prescott is an opera singer,Either Prescott or Shaniqua is an opera singer[SEP]Shaniqua is an opera singer,Either Shaniqua or Prescott is an opera singer[SEP]Prescott is an opera singer,Either Shaniqua or Prescott is an opera singer[SEP]Shaniqua is an opera singer
64,Either Heather or Won San Lee is a medical student[SEP]Heather is a medical student,Either Heather or Won San Lee is a medical student[SEP]Won San Lee is a medical student,Either Won San Lee or Heather is a medical student[SEP]Heather is a medical student,Either Won San Lee or Heather is a medical student[SEP]Won San Lee is a medical student
65,Either Jack or Anita is a soldier[SEP]Jack is a soldier,Either Jack or Anita is a soldier[SEP]Anita is a soldier,Either Anita or Jack is a soldier[SEP]Jack is a soldier,Either Anita or Jack is a soldier[SEP]Anita is a soldier
66,Either Ronnie or Chang Lee is an engineer[SEP]Ronnie is an engineer,Either Ronnie or Chang Lee is an engineer[SEP]Chang Lee is an engineer,Either Chang Lee or Ronnie is an engineer[SEP]Ronnie is an engineer,Either Chang Lee or Ronnie is an engineer[SEP]Chang Lee is an engineer
67,Either Heather or Chan is a butler[SEP]Heather is a butler,Either Heather or Chan is a butler[SEP]Chan is a butler,Either Chan or Heather is a butler[SEP]Heather is a butler,Either Chan or Heather is a butler[SEP]Chan is a butler
68,Either Amy or Feng Wu is a civil[SEP]Amy is a civil,Either Amy or Feng Wu is a civil[SEP]Feng Wu is a civil,Either Feng Wu or Amy is a civil[SEP]Amy is a civil,Either Feng Wu or Amy is a civil[SEP]Feng Wu is a civil
69,Either Craig or Carlos is a fireman[SEP]Craig is a fireman,Either Craig or Carlos is a fireman[SEP]Carlos is a fireman,Either Carlos or Craig is a fireman[SEP]Craig is a fireman,Either Carlos or Craig is a fireman[SEP]Carlos is a fireman
70,Either Jack or Chong Ling is a secretary[SEP]Jack is a secretary,Either Jack or Chong Ling is a secretary[SEP]Chong Ling is a secretary,Either Chong Ling or Jack is a secretary[SEP]Jack is a secretary,Either Chong Ling or Jack is a secretary[SEP]Chong Ling is a secretary
71,Either Molly or Li is an economist[SEP]Molly is an economist,Either Molly or Li is an economist[SEP]Li is an economist,Either Li or Molly is an economist[SEP]Molly is an economist,Either Li or Molly is an economist[SEP]Li is an economist
72,Either Emily or Chong Ling is an airman[SEP]Emily is an airman,Either Emily or Chong Ling is an airman[SEP]Chong Ling is an airman,Either Chong Ling or Emily is an airman[SEP]Emily is an airman,Either Chong Ling or Emily is an airman[SEP]Chong Ling is an airman
73,Either Brown or Jose is a carpenter[SEP]Brown is a carpenter,Either Brown or Jose is a carpenter[SEP]Jose is a carpenter,Either Jose or Brown is a carpenter[SEP]Brown is a carpenter,Either Jose or Brown is a carpenter[SEP]Jose is a carpenter
74,Either Greuze or Manuel is a secretary[SEP]Greuze is a secretary,Either Greuze or Manuel is a secretary[SEP]Manuel is a secretary,Either Manuel or Greuze is a secretary[SEP]Greuze is a secretary,Either Manuel or Greuze is a secretary[SEP]Manuel is a secretary
75,Either LeShawn or Adrin is a chef[SEP]LeShawn is a chef,Either LeShawn or Adrin is a chef[SEP]Adrin is a chef,Either Adrin or LeShawn is a chef[SEP]LeShawn is a chef,Either Adrin or LeShawn is a chef[SEP]Adrin is a chef
76,Either Brown or Javier is a firefighter[SEP]Brown is a firefighter,Either Brown or Javier is a firefighter[SEP]Javier is a firefighter,Either Javier or Brown is a firefighter[SEP]Brown is a firefighter,Either Javier or Brown is a firefighter[SEP]Javier is a firefighter
77,Either Greuze or Anita is a driver[SEP]Greuze is a driver,Either Greuze or Anita is a driver[SEP]Anita is a driver,Either Anita or Greuze is a driver[SEP]Greuze is a driver,Either Anita or Greuze is a driver[SEP]Anita is a driver
78,Either Brown or Laquisha is a servant[SEP]Brown is a servant,Either Brown or Laquisha is a servant[SEP]Laquisha is a servant,Either Laquisha or Brown is a servant[SEP]Brown is a servant,Either Laquisha or Brown is a servant[SEP]Laquisha is a servant
79,Either Craig or Tyresse is a poet[SEP]Craig is a poet,Either Craig or Tyresse is a poet[SEP]Tyresse is a poet,Either Tyresse or Craig is a poet[SEP]Craig is a poet,Either Tyresse or Craig is a poet[SEP]Tyresse is a poet
80,Either Molly or Feng Wu is a chemist[SEP]Molly is a chemist,Either Molly or Feng Wu is a chemist[SEP]Feng Wu is a chemist,Either Feng Wu or Molly is a chemist[SEP]Molly is a chemist,Either Feng Wu or Molly is a chemist[SEP]Feng Wu is a chemist
81,Either Cadan or Laquan is a psychologist[SEP]Cadan is a psychologist,Either Cadan or Laquan is a psychologist[SEP]Laquan is a psychologist,Either Laquan or Cadan is a psychologist[SEP]Cadan is a psychologist,Either Laquan or Cadan is a psychologist[SEP]Laquan is a psychologist
82,Either Dustin or Chen Wee is a drawer[SEP]Dustin is a drawer,Either Dustin or Chen Wee is a drawer[SEP]Chen Wee is a drawer,Either Chen Wee or Dustin is a drawer[SEP]Dustin is a drawer,Either Chen Wee or Dustin is a drawer[SEP]Chen Wee is a drawer
83,Either Carly or Diamond is a clerk[SEP]Carly is a clerk,Either Carly or Diamond is a clerk[SEP]Diamond is a clerk,Either Diamond or Carly is a clerk[SEP]Carly is a clerk,Either Diamond or Carly is a clerk[SEP]Diamond is a clerk
84,Either Craig or Joo-Lin is a soldier[SEP]Craig is a soldier,Either Craig or Joo-Lin is a soldier[SEP]Joo-Lin is a soldier,Either Joo-Lin or Craig is a soldier[SEP]Craig is a soldier,Either Joo-Lin or Craig is a soldier[SEP]Joo-Lin is a soldier
85,Either Hunter or Chen Lang is a pensioner[SEP]Hunter is a pensioner,Either Hunter or Chen Lang is a pensioner[SEP]Chen Lang is a pensioner,Either Chen Lang or Hunter is a pensioner[SEP]Hunter is a pensioner,Either Chen Lang or Hunter is a pensioner[SEP]Chen Lang is a pensioner
86,Either Brown or Jamel is a mechanic[SEP]Brown is a mechanic,Either Brown or Jamel is a mechanic[SEP]Jamel is a mechanic,Either Jamel or Brown is a mechanic[SEP]Brown is a mechanic,Either Jamel or Brown is a mechanic[SEP]Jamel is a mechanic
87,Either Molly or Wright is a theologian[SEP]Molly is a theologian,Either Molly or Wright is a theologian[SEP]Wright is a theologian,Either Wright or Molly is a theologian[SEP]Molly is a theologian,Either Wright or Molly is a theologian[SEP]Wright is a theologian
88,Either Greuze or Trevon is an architect[SEP]Greuze is an architect,Either Greuze or Trevon is an architect[SEP]Trevon is an architect,Either Trevon or Greuze is an architect[SEP]Greuze is an architect,Either Trevon or Greuze is an architect[SEP]Trevon is an architect
89,Either Greuze or Wong Chang is a driver[SEP]Greuze is a driver,Either Greuze or Wong Chang is a driver[SEP]Wong Chang is a driver,Either Wong Chang or Greuze is a driver[SEP]Greuze is a driver,Either Wong Chang or Greuze is a driver[SEP]Wong Chang is a driver
90,Either Hunter or Li is a linguist[SEP]Hunter is a linguist,Either Hunter or Li is a linguist[SEP]Li is a linguist,Either Li or Hunter is a linguist[SEP]Hunter is a linguist,Either Li or Hunter is a linguist[SEP]Li is a linguist
91,Either Greuze or Gary is a linguist[SEP]Greuze is a linguist,Either Greuze or Gary is a linguist[SEP]Gary is a linguist,Either Gary or Greuze is a linguist[SEP]Greuze is a linguist,Either Gary or Greuze is a linguist[SEP]Gary is a linguist
92,Either Craig or Ragesh is an author[SEP]Craig is an author,Either Craig or Ragesh is an author[SEP]Ragesh is an author,Either Ragesh or Craig is an author[SEP]Craig is an author,Either Ragesh or Craig is an author[SEP]Ragesh is an author
93,Either Carly or Kwame is a housekeeper[SEP]Carly is a housekeeper,Either Carly or Kwame is a housekeeper[SEP]Kwame is a housekeeper,Either Kwame or Carly is a housekeeper[SEP]Carly is a housekeeper,Either Kwame or Carly is a housekeeper[SEP]Kwame is a housekeeper
94,Either Dustin or Jose is a guard[SEP]Dustin is a guard,Either Dustin or Jose is a guard[SEP]Jose is a guard,Either Jose or Dustin is a guard[SEP]Dustin is a guard,Either Jose or Dustin is a guard[SEP]Jose is a guard
95,Either Abigail or Javier is a doctor[SEP]Abigail is a doctor,Either Abigail or Javier is a doctor[SEP]Javier is a doctor,Either Javier or Abigail is a doctor[SEP]Abigail is a doctor,Either Javier or Abigail is a doctor[SEP]Javier is a doctor
96,Either Dylan or Joo-Lin is a groom[SEP]Dylan is a groom,Either Dylan or Joo-Lin is a groom[SEP]Joo-Lin is a groom,Either Joo-Lin or Dylan is a groom[SEP]Dylan is a groom,Either Joo-Lin or Dylan is a groom[SEP]Joo-Lin is a groom
97,Either Scott or Chong Ling is a diplomat[SEP]Scott is a diplomat,Either Scott or Chong Ling is a diplomat[SEP]Chong Ling is a diplomat,Either Chong Ling or Scott is a diplomat[SEP]Scott is a diplomat,Either Chong Ling or Scott is a diplomat[SEP]Chong Ling is a diplomat
98,Either Essex or Won Lee is a musician[SEP]Essex is a musician,Either Essex or Won Lee is a musician[SEP]Won Lee is a musician,Either Won Lee or Essex is a musician[SEP]Essex is a musician,Either Won Lee or Essex is a musician[SEP]Won Lee is a musician
99,Either Katherine or Laquisha is a model[SEP]Katherine is a model,Either Katherine or Laquisha is a model[SEP]Laquisha is a model,Either Laquisha or Katherine is a model[SEP]Katherine is a model,Either Laquisha or Katherine is a model[SEP]Laquisha is a model
100,Either Dustin or Juan is a magician[SEP]Dustin is a magician,Either Dustin or Juan is a magician[SEP]Juan is a magician,Either Juan or Dustin is a magician[SEP]Dustin is a magician,Either Juan or Dustin is a magician[SEP]Juan is a magician
101,Either Carly or Carlos is an analyst[SEP]Carly is an analyst,Either Carly or Carlos is an analyst[SEP]Carlos is an analyst,Either Carlos or Carly is an analyst[SEP]Carly is an analyst,Either Carlos or Carly is an analyst[SEP]Carlos is an analyst
102,Either Jacob or Anita is a lifeguard[SEP]Jacob is a lifeguard,Either Jacob or Anita is a lifeguard[SEP]Anita is a lifeguard,Either Anita or Jacob is a lifeguard[SEP]Jacob is a lifeguard,Either Anita or Jacob is a lifeguard[SEP]Anita is a lifeguard
103,Either Hunter or Miguel is a receptionist[SEP]Hunter is a receptionist,Either Hunter or Miguel is a receptionist[SEP]Miguel is a receptionist,Either Miguel or Hunter is a receptionist[SEP]Hunter is a receptionist,Either Miguel or Hunter is a receptionist[SEP]Miguel is a receptionist
104,Either LeShawn or Won San Lee is a judge[SEP]LeShawn is a judge,Either LeShawn or Won San Lee is a judge[SEP]Won San Lee is a judge,Either Won San Lee or LeShawn is a judge[SEP]LeShawn is a judge,Either Won San Lee or LeShawn is a judge[SEP]Won San Lee is a judge
105,Either Prescott or Chen Lang is a counselor[SEP]Prescott is a counselor,Either Prescott or Chen Lang is a counselor[SEP]Chen Lang is a counselor,Either Chen Lang or Prescott is a counselor[SEP]Prescott is a counselor,Either Chen Lang or Prescott is a counselor[SEP]Chen Lang is a counselor
106,Either Heather or Diamond is a composer[SEP]Heather is a composer,Either Heather or Diamond is a composer[SEP]Diamond is a composer,Either Diamond or Heather is a composer[SEP]Heather is a composer,Either Diamond or Heather is a composer[SEP]Diamond is a composer
107,Either Connor or Laquan is an executive[SEP]Connor is an executive,Either Connor or Laquan is an executive[SEP]Laquan is an executive,Either Laquan or Connor is an executive[SEP]Connor is an executive,Either Laquan or Connor is an executive[SEP]Laquan is an executive
108,Either Katie or Malik is a radiologist[SEP]Katie is a radiologist,Either Katie or Malik is a radiologist[SEP]Malik is a radiologist,Either Malik or Katie is a radiologist[SEP]Katie is a radiologist,Either Malik or Katie is a radiologist[SEP]Malik is a radiologist
109,Either Heather or Kia is a commander[SEP]Heather is a commander,Either Heather or Kia is a commander[SEP]Kia is a commander,Either Kia or Heather is a commander[SEP]Heather is a commander,Either Kia or Heather is a commander[SEP]Kia is a commander
110,Either Cody or Anita is a dancer[SEP]Cody is a dancer,Either Cody or Anita is a dancer[SEP]Anita is a dancer,Either Anita or Cody is a dancer[SEP]Cody is a dancer,Either Anita or Cody is a dancer[SEP]Anita is a dancer
