,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
15,Either LeShawn or Ragesh is an aeronautical engineer,LeShawn is an aeronautical engineer,0.616,0.258,0.126,entailment,Ragesh is an aeronautical engineer,0.710,0.234,0.056,entailment,0.189,Either Ragesh or LeShawn is an aeronautical engineer,LeShawn is an aeronautical engineer,0.674,0.260,0.066,entailment,Ragesh is an aeronautical engineer,0.693,0.217,0.090,entailment,0.085,0.121,0.067,0.188
16,Either Greg or Won San Lee is an engineer,Greg is an engineer,0.453,0.501,0.046,neutral,Won San Lee is an engineer,0.900,0.088,0.012,entailment,0.892,Either Won San Lee or Greg is an engineer,Greg is an engineer,0.421,0.502,0.078,neutral,Won San Lee is an engineer,0.759,0.211,0.030,entailment,0.677,0.065,0.280,0.346
17,Either Scott or Chen Lang is an author,Scott is an author,0.797,0.117,0.086,entailment,Chen Lang is an author,0.806,0.124,0.071,entailment,0.032,Either Chen Lang or Scott is an author,Scott is an author,0.714,0.162,0.124,entailment,Chen Lang is an author,0.880,0.082,0.037,entailment,0.333,0.166,0.149,0.315
18,Either Brown or Precious is a janitor,Brown is a janitor,0.819,0.131,0.050,entailment,Precious is a janitor,0.773,0.132,0.095,entailment,0.092,Either Precious or Brown is a janitor,Brown is a janitor,0.722,0.163,0.115,entailment,Precious is a janitor,0.865,0.082,0.053,entailment,0.286,0.195,0.183,0.378
19,Either Inglethorp or Beyonce is a lawn mower,Inglethorp is a lawn mower,0.939,0.040,0.021,entailment,Beyonce is a lawn mower,0.749,0.144,0.107,entailment,0.379,Either Beyonce or Inglethorp is a lawn mower,Inglethorp is a lawn mower,0.915,0.036,0.050,entailment,Beyonce is a lawn mower,0.906,0.070,0.024,entailment,0.068,0.057,0.314,0.371
20,Either Brown or Treyvone is a sheriff,Brown is a sheriff,0.689,0.247,0.064,entailment,Treyvone is a sheriff,0.764,0.178,0.059,entailment,0.150,Either Treyvone or Brown is a sheriff,Brown is a sheriff,0.693,0.208,0.099,entailment,Treyvone is a sheriff,0.697,0.221,0.082,entailment,0.034,0.079,0.133,0.212
21,Either Cody or Lamar is a nurse,Cody is a nurse,0.653,0.238,0.109,entailment,Lamar is a nurse,0.672,0.254,0.074,entailment,0.069,Either Lamar or Cody is a nurse,Cody is a nurse,0.776,0.162,0.063,entailment,Lamar is a nurse,0.834,0.116,0.050,entailment,0.117,0.245,0.325,0.570
22,Either Heather or Gary is an inspector,Heather is an inspector,0.628,0.203,0.169,entailment,Gary is an inspector,0.728,0.176,0.096,entailment,0.199,Either Gary or Heather is an inspector,Heather is an inspector,0.441,0.320,0.239,entailment,Gary is an inspector,0.508,0.323,0.169,entailment,0.140,0.375,0.439,0.814
23,Either Scott or Chang Lee is an assistant,Scott is an assistant,0.730,0.156,0.114,entailment,Chang Lee is an assistant,0.768,0.117,0.115,entailment,0.078,Either Chang Lee or Scott is an assistant,Scott is an assistant,0.747,0.137,0.116,entailment,Chang Lee is an assistant,0.855,0.088,0.057,entailment,0.217,0.038,0.175,0.213
24,Either Katie or Feng Wu is a housekeeper,Katie is a housekeeper,0.595,0.307,0.098,entailment,Feng Wu is a housekeeper,0.877,0.083,0.041,entailment,0.564,Either Feng Wu or Katie is a housekeeper,Katie is a housekeeper,0.786,0.117,0.097,entailment,Feng Wu is a housekeeper,0.926,0.051,0.022,entailment,0.282,0.382,0.099,0.481
25,Either Greuze or Maya is a dealer,Greuze is a dealer,0.784,0.143,0.074,entailment,Maya is a dealer,0.814,0.137,0.048,entailment,0.061,Either Maya or Greuze is a dealer,Greuze is a dealer,0.872,0.085,0.043,entailment,Maya is a dealer,0.852,0.112,0.036,entailment,0.054,0.177,0.076,0.252
26,Either Cody or Ebony is an analyst,Cody is an analyst,0.606,0.335,0.058,entailment,Ebony is an analyst,0.599,0.366,0.035,entailment,0.061,Either Ebony or Cody is an analyst,Cody is an analyst,0.653,0.299,0.048,entailment,Ebony is an analyst,0.487,0.473,0.040,entailment,0.347,0.093,0.224,0.317
27,Either Scott or Wong Chang is a lawyer,Scott is a lawyer,0.722,0.223,0.055,entailment,Wong Chang is a lawyer,0.878,0.094,0.028,entailment,0.312,Either Wong Chang or Scott is a lawyer,Scott is a lawyer,0.675,0.257,0.068,entailment,Wong Chang is a lawyer,0.875,0.102,0.022,entailment,0.401,0.094,0.017,0.111
28,Either Claire or Laquisha is a chemist,Claire is a chemist,0.772,0.172,0.056,entailment,Laquisha is a chemist,0.761,0.211,0.029,entailment,0.077,Either Laquisha or Claire is a chemist,Claire is a chemist,0.863,0.091,0.046,entailment,Laquisha is a chemist,0.643,0.291,0.065,entailment,0.440,0.182,0.235,0.417
29,Either Katie or Tyresse is a tennis player,Katie is a tennis player,0.629,0.279,0.093,entailment,Tyresse is a tennis player,0.847,0.125,0.027,entailment,0.437,Either Tyresse or Katie is a tennis player,Katie is a tennis player,0.662,0.177,0.161,entailment,Tyresse is a tennis player,0.866,0.107,0.027,entailment,0.408,0.204,0.037,0.241
30,Either Greuze or Laquan is a security guard,Greuze is a security guard,0.942,0.037,0.021,entailment,Laquan is a security guard,0.939,0.050,0.011,entailment,0.027,Either Laquan or Greuze is a security guard,Greuze is a security guard,0.953,0.026,0.021,entailment,Laquan is a security guard,0.943,0.047,0.010,entailment,0.042,0.022,0.009,0.031
31,Either Scott or Gabriel is a counselor,Scott is a counselor,0.772,0.170,0.058,entailment,Gabriel is a counselor,0.810,0.121,0.069,entailment,0.098,Either Gabriel or Scott is a counselor,Scott is a counselor,0.754,0.171,0.075,entailment,Gabriel is a counselor,0.794,0.142,0.064,entailment,0.081,0.037,0.042,0.079
32,Either Dustin or Ebony is a guard,Dustin is a guard,0.838,0.114,0.047,entailment,Ebony is a guard,0.724,0.212,0.064,entailment,0.228,Either Ebony or Dustin is a guard,Dustin is a guard,0.876,0.077,0.047,entailment,Ebony is a guard,0.671,0.245,0.085,entailment,0.410,0.074,0.107,0.182
33,Either Essex or Laquan is a magician,Essex is a magician,0.764,0.185,0.051,entailment,Laquan is a magician,0.793,0.178,0.029,entailment,0.058,Either Laquan or Essex is a magician,Essex is a magician,0.811,0.155,0.034,entailment,Laquan is a magician,0.538,0.392,0.070,entailment,0.546,0.093,0.511,0.604
34,Either Katherine or Joo-Lin is a guitarist,Katherine is a guitarist,0.557,0.374,0.069,entailment,Joo-Lin is a guitarist,0.855,0.113,0.032,entailment,0.596,Either Joo-Lin or Katherine is a guitarist,Katherine is a guitarist,0.594,0.341,0.065,entailment,Joo-Lin is a guitarist,0.723,0.204,0.073,entailment,0.274,0.074,0.264,0.338
35,Either Hunter or Ramirez is an assistant,Hunter is an assistant,0.746,0.180,0.074,entailment,Ramirez is an assistant,0.784,0.117,0.099,entailment,0.126,Either Ramirez or Hunter is an assistant,Hunter is an assistant,0.719,0.203,0.078,entailment,Ramirez is an assistant,0.713,0.168,0.119,entailment,0.082,0.054,0.142,0.196
36,Either Cadan or Ragesh is a mover,Cadan is a mover,0.732,0.244,0.025,entailment,Ragesh is a mover,0.629,0.325,0.046,entailment,0.205,Either Ragesh or Cadan is a mover,Cadan is a mover,0.749,0.233,0.018,entailment,Ragesh is a mover,0.605,0.345,0.049,entailment,0.288,0.036,0.048,0.083
37,Either Cole or Gabriel is a barber,Cole is a barber,0.773,0.193,0.034,entailment,Gabriel is a barber,0.857,0.107,0.036,entailment,0.172,Either Gabriel or Cole is a barber,Cole is a barber,0.738,0.232,0.030,entailment,Gabriel is a barber,0.750,0.209,0.041,entailment,0.045,0.078,0.215,0.293
38,Either Carly or Diamond is a cleric,Carly is a cleric,0.838,0.090,0.072,entailment,Diamond is a cleric,0.698,0.202,0.099,entailment,0.278,Either Diamond or Carly is a cleric,Carly is a cleric,0.819,0.105,0.076,entailment,Diamond is a cleric,0.752,0.137,0.111,entailment,0.135,0.037,0.130,0.167
39,Either Jake or Jorge is a firefighter,Jake is a firefighter,0.378,0.514,0.108,neutral,Jorge is a firefighter,0.674,0.268,0.058,entailment,0.591,Either Jorge or Jake is a firefighter,Jake is a firefighter,0.559,0.369,0.072,entailment,Jorge is a firefighter,0.750,0.220,0.030,entailment,0.381,0.361,0.152,0.514
40,Either Katie or Chin Pang is an inspector,Katie is an inspector,0.493,0.339,0.168,entailment,Chin Pang is an inspector,0.889,0.087,0.025,entailment,0.792,Either Chin Pang or Katie is an inspector,Katie is an inspector,0.600,0.290,0.110,entailment,Chin Pang is an inspector,0.874,0.096,0.029,entailment,0.549,0.214,0.029,0.243
41,Either Essex or Jamal is a lawn mower,Essex is a lawn mower,0.893,0.072,0.035,entailment,Jamal is a lawn mower,0.932,0.040,0.028,entailment,0.078,Either Jamal or Essex is a lawn mower,Essex is a lawn mower,0.856,0.078,0.066,entailment,Jamal is a lawn mower,0.790,0.118,0.092,entailment,0.133,0.074,0.285,0.359
42,Either Cody or Raja is an artist,Cody is an artist,0.651,0.253,0.096,entailment,Raja is an artist,0.721,0.219,0.059,entailment,0.141,Either Raja or Cody is an artist,Cody is an artist,0.654,0.215,0.132,entailment,Raja is an artist,0.787,0.180,0.033,entailment,0.266,0.077,0.131,0.208
43,Either Greg or Bai is a composer,Greg is a composer,0.501,0.326,0.174,entailment,Bai is a composer,0.666,0.212,0.122,entailment,0.329,Either Bai or Greg is a composer,Greg is a composer,0.711,0.147,0.142,entailment,Bai is a composer,0.730,0.198,0.073,entailment,0.139,0.420,0.129,0.549
44,Either Jenna or Kia is a director,Jenna is a director,0.585,0.256,0.159,entailment,Kia is a director,0.620,0.201,0.179,entailment,0.110,Either Kia or Jenna is a director,Jenna is a director,0.690,0.166,0.144,entailment,Kia is a director,0.622,0.241,0.137,entailment,0.152,0.210,0.084,0.294
45,Either Inglethorp or Jorge is a plumber,Inglethorp is a plumber,0.804,0.166,0.029,entailment,Jorge is a plumber,0.943,0.052,0.005,entailment,0.276,Either Jorge or Inglethorp is a plumber,Inglethorp is a plumber,0.914,0.079,0.007,entailment,Jorge is a plumber,0.930,0.064,0.006,entailment,0.032,0.219,0.025,0.244
46,Either Katie or Ragesh is an architect,Katie is an architect,0.728,0.170,0.102,entailment,Ragesh is an architect,0.854,0.115,0.032,entailment,0.251,Either Ragesh or Katie is an architect,Katie is an architect,0.817,0.115,0.068,entailment,Ragesh is an architect,0.872,0.089,0.039,entailment,0.110,0.178,0.051,0.229
47,Either Cody or Feng Wu is a security guard,Cody is a security guard,0.740,0.219,0.041,entailment,Feng Wu is a security guard,0.929,0.052,0.019,entailment,0.378,Either Feng Wu or Cody is a security guard,Cody is a security guard,0.882,0.097,0.021,entailment,Feng Wu is a security guard,0.960,0.032,0.008,entailment,0.156,0.283,0.061,0.345
48,Either Amy or Laquisha is a professor,Amy is a professor,0.561,0.226,0.213,entailment,Laquisha is a professor,0.684,0.242,0.074,entailment,0.279,Either Laquisha or Amy is a professor,Amy is a professor,0.801,0.098,0.101,entailment,Laquisha is a professor,0.553,0.307,0.139,entailment,0.495,0.481,0.261,0.741
49,Either Heather or Jamal is an employee,Heather is an employee,0.844,0.120,0.036,entailment,Jamal is an employee,0.742,0.207,0.051,entailment,0.205,Either Jamal or Heather is an employee,Heather is an employee,0.685,0.228,0.087,entailment,Jamal is an employee,0.838,0.138,0.024,entailment,0.306,0.319,0.192,0.511
50,Either Carly or Ebony is a tailor,Carly is a tailor,0.726,0.188,0.087,entailment,Ebony is a tailor,0.721,0.217,0.062,entailment,0.060,Either Ebony or Carly is a tailor,Carly is a tailor,0.644,0.249,0.106,entailment,Ebony is a tailor,0.508,0.380,0.111,entailment,0.272,0.162,0.425,0.587
51,Either Cody or Kia is an artist,Cody is an artist,0.632,0.272,0.096,entailment,Kia is an artist,0.684,0.230,0.086,entailment,0.105,Either Kia or Cody is an artist,Cody is an artist,0.676,0.240,0.084,entailment,Kia is an artist,0.831,0.141,0.029,entailment,0.310,0.089,0.294,0.382
52,Either Inglethorp or Ebony is a chef,Inglethorp is a chef,0.798,0.122,0.080,entailment,Ebony is a chef,0.841,0.123,0.037,entailment,0.086,Either Ebony or Inglethorp is a chef,Inglethorp is a chef,0.877,0.078,0.045,entailment,Ebony is a chef,0.808,0.139,0.053,entailment,0.138,0.158,0.065,0.223
53,Either Claire or Laquan is a cleric,Claire is a cleric,0.661,0.257,0.082,entailment,Laquan is a cleric,0.829,0.148,0.023,entailment,0.334,Either Laquan or Claire is a cleric,Claire is a cleric,0.820,0.142,0.038,entailment,Laquan is a cleric,0.743,0.219,0.039,entailment,0.154,0.317,0.172,0.488
54,Either Greuze or Terrance is a chef,Greuze is a chef,0.794,0.155,0.051,entailment,Terrance is a chef,0.862,0.110,0.029,entailment,0.134,Either Terrance or Greuze is a chef,Greuze is a chef,0.867,0.098,0.035,entailment,Terrance is a chef,0.877,0.100,0.022,entailment,0.025,0.146,0.032,0.178
55,Either Ronnie or Precious is a linguist,Ronnie is a linguist,0.611,0.226,0.163,entailment,Precious is a linguist,0.762,0.189,0.048,entailment,0.301,Either Precious or Ronnie is a linguist,Ronnie is a linguist,0.806,0.104,0.091,entailment,Precious is a linguist,0.786,0.155,0.059,entailment,0.103,0.389,0.069,0.458
56,Either Essex or Nina is a librarian,Essex is a librarian,0.770,0.142,0.088,entailment,Nina is a librarian,0.881,0.091,0.028,entailment,0.222,Either Nina or Essex is a librarian,Essex is a librarian,0.746,0.165,0.089,entailment,Nina is a librarian,0.772,0.186,0.043,entailment,0.094,0.050,0.219,0.269
57,Either Heather or Gabriel is a pharmacist,Heather is a pharmacist,0.728,0.175,0.097,entailment,Gabriel is a pharmacist,0.741,0.152,0.107,entailment,0.047,Either Gabriel or Heather is a pharmacist,Heather is a pharmacist,0.710,0.199,0.091,entailment,Gabriel is a pharmacist,0.706,0.178,0.116,entailment,0.048,0.047,0.070,0.118
58,Either Ronnie or Shaniqua is an administrator,Ronnie is an administrator,0.662,0.230,0.108,entailment,Shaniqua is an administrator,0.734,0.189,0.076,entailment,0.144,Either Shaniqua or Ronnie is an administrator,Ronnie is an administrator,0.728,0.178,0.094,entailment,Shaniqua is an administrator,0.766,0.180,0.054,entailment,0.080,0.133,0.063,0.195
59,Either Emily or Terrell is an astronomer,Emily is an astronomer,0.436,0.432,0.132,entailment,Terrell is an astronomer,0.445,0.427,0.128,entailment,0.018,Either Terrell or Emily is an astronomer,Emily is an astronomer,0.491,0.360,0.149,entailment,Terrell is an astronomer,0.640,0.247,0.113,entailment,0.298,0.143,0.390,0.534
60,Either Craig or Chan is a janitor,Craig is a janitor,0.606,0.319,0.076,entailment,Chan is a janitor,0.451,0.466,0.083,neutral,0.310,Either Chan or Craig is a janitor,Craig is a janitor,0.730,0.234,0.035,entailment,Chan is a janitor,0.693,0.261,0.046,entailment,0.075,0.249,0.484,0.733
61,Either Cadan or Chin Pang is a grocer,Cadan is a grocer,0.917,0.069,0.014,entailment,Chin Pang is a grocer,0.953,0.038,0.009,entailment,0.072,Either Chin Pang or Cadan is a grocer,Cadan is a grocer,0.911,0.076,0.013,entailment,Chin Pang is a grocer,0.897,0.081,0.021,entailment,0.028,0.015,0.111,0.126
62,Either Jacob or Wong Chang is a butler,Jacob is a butler,0.083,0.834,0.083,neutral,Wong Chang is a butler,0.555,0.394,0.051,entailment,0.943,Either Wong Chang or Jacob is a butler,Jacob is a butler,0.264,0.648,0.088,neutral,Wong Chang is a butler,0.477,0.458,0.065,entailment,0.426,0.372,0.155,0.527
63,Either Prescott or Shaniqua is an opera singer,Prescott is an opera singer,0.780,0.097,0.122,entailment,Shaniqua is an opera singer,0.801,0.092,0.107,entailment,0.041,Either Shaniqua or Prescott is an opera singer,Prescott is an opera singer,0.749,0.106,0.145,entailment,Shaniqua is an opera singer,0.806,0.132,0.062,entailment,0.166,0.062,0.090,0.152
64,Either Heather or Won San Lee is a medical student,Heather is a medical student,0.882,0.084,0.034,entailment,Won San Lee is a medical student,0.951,0.041,0.009,entailment,0.136,Either Won San Lee or Heather is a medical student,Heather is a medical student,0.914,0.056,0.030,entailment,Won San Lee is a medical student,0.957,0.034,0.008,entailment,0.087,0.063,0.014,0.077
65,Either Jack or Anita is a soldier,Jack is a soldier,0.383,0.471,0.146,neutral,Anita is a soldier,0.480,0.416,0.105,entailment,0.193,Either Anita or Jack is a soldier,Jack is a soldier,0.388,0.444,0.168,neutral,Anita is a soldier,0.536,0.386,0.077,entailment,0.297,0.054,0.114,0.168
66,Either Ronnie or Chang Lee is an engineer,Ronnie is an engineer,0.343,0.578,0.079,neutral,Chang Lee is an engineer,0.707,0.247,0.045,entailment,0.729,Either Chang Lee or Ronnie is an engineer,Ronnie is an engineer,0.454,0.492,0.054,neutral,Chang Lee is an engineer,0.604,0.342,0.055,entailment,0.300,0.223,0.207,0.430
67,Either Heather or Chan is a butler,Heather is a butler,0.344,0.551,0.105,neutral,Chan is a butler,0.455,0.452,0.093,entailment,0.221,Either Chan or Heather is a butler,Heather is a butler,0.496,0.412,0.092,entailment,Chan is a butler,0.396,0.507,0.097,neutral,0.201,0.304,0.119,0.423
68,Either Amy or Feng Wu is a civil,Amy is a civil,0.332,0.495,0.174,neutral,Feng Wu is a civil,0.694,0.239,0.067,entailment,0.724,Either Feng Wu or Amy is a civil,Amy is a civil,0.418,0.486,0.096,neutral,Feng Wu is a civil,0.795,0.156,0.049,entailment,0.755,0.171,0.201,0.373
69,Either Craig or Carlos is a fireman,Craig is a fireman,0.514,0.420,0.066,entailment,Carlos is a fireman,0.590,0.345,0.065,entailment,0.154,Either Carlos or Craig is a fireman,Craig is a fireman,0.639,0.323,0.038,entailment,Carlos is a fireman,0.651,0.279,0.070,entailment,0.088,0.251,0.131,0.382
70,Either Jack or Chong Ling is a secretary,Jack is a secretary,0.626,0.298,0.075,entailment,Chong Ling is a secretary,0.812,0.126,0.062,entailment,0.371,Either Chong Ling or Jack is a secretary,Jack is a secretary,0.616,0.278,0.106,entailment,Chong Ling is a secretary,0.787,0.158,0.055,entailment,0.342,0.061,0.063,0.124
71,Either Molly or Li is an economist,Molly is an economist,0.504,0.437,0.059,entailment,Li is an economist,0.429,0.482,0.089,neutral,0.151,Either Li or Molly is an economist,Molly is an economist,0.575,0.380,0.044,entailment,Li is an economist,0.519,0.409,0.072,entailment,0.112,0.142,0.181,0.323
72,Either Emily or Chong Ling is an airman,Emily is an airman,0.154,0.781,0.064,neutral,Chong Ling is an airman,0.663,0.296,0.040,entailment,1.018,Either Chong Ling or Emily is an airman,Emily is an airman,0.198,0.729,0.073,neutral,Chong Ling is an airman,0.495,0.407,0.098,entailment,0.643,0.105,0.337,0.442
73,Either Brown or Jose is a carpenter,Brown is a carpenter,0.589,0.373,0.038,entailment,Jose is a carpenter,0.795,0.168,0.036,entailment,0.414,Either Jose or Brown is a carpenter,Brown is a carpenter,0.565,0.379,0.055,entailment,Jose is a carpenter,0.631,0.322,0.047,entailment,0.132,0.047,0.329,0.375
74,Either Greuze or Manuel is a secretary,Greuze is a secretary,0.792,0.123,0.085,entailment,Manuel is a secretary,0.834,0.104,0.062,entailment,0.084,Either Manuel or Greuze is a secretary,Greuze is a secretary,0.780,0.132,0.088,entailment,Manuel is a secretary,0.884,0.079,0.037,entailment,0.209,0.024,0.101,0.126
75,Either LeShawn or Adrin is a chef,LeShawn is a chef,0.733,0.208,0.059,entailment,Adrin is a chef,0.813,0.154,0.034,entailment,0.159,Either Adrin or LeShawn is a chef,LeShawn is a chef,0.838,0.127,0.035,entailment,Adrin is a chef,0.778,0.178,0.045,entailment,0.121,0.211,0.069,0.280
76,Either Brown or Javier is a firefighter,Brown is a firefighter,0.623,0.348,0.030,entailment,Javier is a firefighter,0.845,0.125,0.029,entailment,0.446,Either Javier or Brown is a firefighter,Brown is a firefighter,0.525,0.426,0.049,entailment,Javier is a firefighter,0.850,0.125,0.024,entailment,0.650,0.195,0.010,0.205
77,Either Greuze or Anita is a driver,Greuze is a driver,0.765,0.144,0.091,entailment,Anita is a driver,0.758,0.178,0.064,entailment,0.069,Either Anita or Greuze is a driver,Greuze is a driver,0.685,0.187,0.128,entailment,Anita is a driver,0.664,0.257,0.079,entailment,0.141,0.161,0.186,0.347
78,Either Brown or Laquisha is a servant,Brown is a servant,0.807,0.142,0.051,entailment,Laquisha is a servant,0.850,0.117,0.033,entailment,0.086,Either Laquisha or Brown is a servant,Brown is a servant,0.766,0.157,0.077,entailment,Laquisha is a servant,0.837,0.125,0.038,entailment,0.142,0.082,0.026,0.107
79,Either Craig or Tyresse is a poet,Craig is a poet,0.681,0.229,0.091,entailment,Tyresse is a poet,0.734,0.222,0.044,entailment,0.107,Either Tyresse or Craig is a poet,Craig is a poet,0.733,0.177,0.091,entailment,Tyresse is a poet,0.759,0.203,0.038,entailment,0.105,0.104,0.049,0.153
80,Either Molly or Feng Wu is a chemist,Molly is a chemist,0.545,0.393,0.062,entailment,Feng Wu is a chemist,0.766,0.193,0.041,entailment,0.442,Either Feng Wu or Molly is a chemist,Molly is a chemist,0.597,0.328,0.075,entailment,Feng Wu is a chemist,0.758,0.199,0.043,entailment,0.321,0.131,0.016,0.147
81,Either Cadan or Laquan is a psychologist,Cadan is a psychologist,0.886,0.094,0.020,entailment,Laquan is a psychologist,0.776,0.187,0.037,entailment,0.221,Either Laquan or Cadan is a psychologist,Cadan is a psychologist,0.881,0.103,0.016,entailment,Laquan is a psychologist,0.713,0.249,0.038,entailment,0.335,0.018,0.125,0.143
82,Either Dustin or Chen Wee is a drawer,Dustin is a drawer,0.617,0.171,0.212,entailment,Chen Wee is a drawer,0.708,0.132,0.159,entailment,0.182,Either Chen Wee or Dustin is a drawer,Dustin is a drawer,0.524,0.147,0.329,entailment,Chen Wee is a drawer,0.854,0.085,0.061,entailment,0.660,0.234,0.291,0.525
83,Either Carly or Diamond is a clerk,Carly is a clerk,0.873,0.077,0.050,entailment,Diamond is a clerk,0.708,0.208,0.083,entailment,0.329,Either Diamond or Carly is a clerk,Carly is a clerk,0.842,0.103,0.054,entailment,Diamond is a clerk,0.815,0.111,0.074,entailment,0.054,0.061,0.214,0.275
84,Either Craig or Joo-Lin is a soldier,Craig is a soldier,0.594,0.319,0.086,entailment,Joo-Lin is a soldier,0.727,0.240,0.034,entailment,0.265,Either Joo-Lin or Craig is a soldier,Craig is a soldier,0.720,0.242,0.038,entailment,Joo-Lin is a soldier,0.585,0.369,0.046,entailment,0.271,0.252,0.284,0.535
