,prem,hypo1,hypo2,score1,score2,diff
418,Either Gus or Ellen are a lawyer,Gus is a lawyer,Ellen is a lawyer,"{'entailment': '0.92', 'neutral': '0.04', 'contradiction': '0.04'}","{'entailment': '0.72', 'neutral': '0.08', 'contradiction': '0.20'}",0.4000000000000001
74,Either Micheal or Ebony are an economist,Micheal is an economist,Ebony is an economist,"{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.65', 'neutral': '0.24', 'contradiction': '0.12'}",0.39999999999999997
336,Either Kevin or Cynthia are an athlete,Kevin is an athlete,Cynthia is an athlete,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.67', 'neutral': '0.19', 'contradiction': '0.14'}",0.3999999999999999
118,Either Jacob or Kathy are a historian,Jacob is a historian,Kathy is a historian,"{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}",0.3999999999999999
193,Either Jacob or Jacqui are an illustrator,Jacob is an illustrator,Jacqui is an illustrator,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.11'}",0.39000000000000007
58,Either Chen Wee or Amy are a dentist,Chen Wee is a dentist,Amy is a dentist,"{'entailment': '0.85', 'neutral': '0.07', 'contradiction': '0.07'}","{'entailment': '0.66', 'neutral': '0.15', 'contradiction': '0.19'}",0.3899999999999999
173,Either Dustin or Charlene are a lawyer,Dustin is a lawyer,Charlene is a lawyer,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.71', 'neutral': '0.17', 'contradiction': '0.12'}",0.38
373,Either Adrin or Benny are a manager,Adrin is a manager,Benny is a manager,"{'entailment': '0.82', 'neutral': '0.10', 'contradiction': '0.08'}","{'entailment': '0.63', 'neutral': '0.15', 'contradiction': '0.22'}",0.37999999999999995
8,Either Adrin or Kristy are a historian,Adrin is a historian,Kristy is a historian,"{'entailment': '0.78', 'neutral': '0.11', 'contradiction': '0.10'}","{'entailment': '0.60', 'neutral': '0.16', 'contradiction': '0.24'}",0.37
145,Either Malcolm or Kacey are an aeronautical engineer,Malcolm is an aeronautical engineer,Kacey is an aeronautical engineer,"{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.68', 'neutral': '0.11', 'contradiction': '0.20'}",0.37
433,Either Amhad or Raven are a nurse,Amhad is a nurse,Raven is a nurse,"{'entailment': '0.85', 'neutral': '0.07', 'contradiction': '0.08'}","{'entailment': '0.66', 'neutral': '0.11', 'contradiction': '0.22'}",0.36999999999999994
296,Either Jerry or Monique are a CEO,Jerry is a CEO,Monique is a CEO,"{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.69', 'neutral': '0.11', 'contradiction': '0.20'}",0.3600000000000001
6,Either Trevon or Jenny are an employment,Trevon is an employment,Jenny is an employment,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.72', 'neutral': '0.14', 'contradiction': '0.14'}",0.3600000000000001
286,Either Josh or Tuppence are an accountant,Josh is an accountant,Tuppence is an accountant,"{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.69', 'neutral': '0.12', 'contradiction': '0.19'}",0.36000000000000004
146,Either D'quan or Molly are an administrator,D'quan is an administrator,Molly is an administrator,"{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}","{'entailment': '0.60', 'neutral': '0.14', 'contradiction': '0.27'}",0.3500000000000001
183,Either Sergey or Patricia are a sheriff,Sergey is a sheriff,Patricia is a sheriff,"{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.04'}","{'entailment': '0.72', 'neutral': '0.09', 'contradiction': '0.18'}",0.35000000000000003
30,Either Charles or Marianne are a mechanic,Charles is a mechanic,Marianne is a mechanic,"{'entailment': '0.85', 'neutral': '0.08', 'contradiction': '0.07'}","{'entailment': '0.67', 'neutral': '0.10', 'contradiction': '0.22'}",0.35
82,Either Cadan or Jessica's are a dentist,Cadan is a dentist,Jessica's is a dentist,"{'entailment': '0.93', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.75', 'neutral': '0.15', 'contradiction': '0.09'}",0.34
472,Either Denny or Candace are an aeronautical engineer,Denny is an aeronautical engineer,Candace is an aeronautical engineer,"{'entailment': '0.85', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.14', 'contradiction': '0.18'}",0.33999999999999997
176,Either Brady or Sara are a dentist,Brady is a dentist,Sara is a dentist,"{'entailment': '0.83', 'neutral': '0.09', 'contradiction': '0.08'}","{'entailment': '0.66', 'neutral': '0.20', 'contradiction': '0.14'}",0.3399999999999999
395,Either Tim or Barbara are a researcher,Tim is a researcher,Barbara is a researcher,"{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}","{'entailment': '0.73', 'neutral': '0.14', 'contradiction': '0.12'}",0.33
464,Either Martin or Megan are an artist,Martin is an artist,Megan is an artist,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.02'}","{'entailment': '0.74', 'neutral': '0.15', 'contradiction': '0.11'}",0.33
379,Either DeAndre or Meghan are a magician,DeAndre is a magician,Meghan is a magician,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.10'}",0.33
22,Either Marty or Sara are a cleric,Marty is a cleric,Sara is a cleric,"{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}","{'entailment': '0.72', 'neutral': '0.16', 'contradiction': '0.12'}",0.32000000000000006
415,Either Jon or Anne are an inspector,Jon is an inspector,Anne is an inspector,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.14', 'contradiction': '0.12'}",0.32000000000000006
262,Either Drew or Brenda are a handyman,Drew is a handyman,Brenda is a handyman,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.72', 'neutral': '0.14', 'contradiction': '0.14'}",0.32000000000000006
151,Either Cole or Lynn are a physician,Cole is a physician,Lynn is a physician,"{'entailment': '0.82', 'neutral': '0.11', 'contradiction': '0.07'}","{'entailment': '0.66', 'neutral': '0.16', 'contradiction': '0.18'}",0.3199999999999999
62,Either Jim or Nina are a police officer,Jim is a police officer,Nina is a police officer,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.73', 'neutral': '0.14', 'contradiction': '0.12'}",0.31000000000000005
127,Either James or Lily are a software engineer,James is a software engineer,Lily is a software engineer,"{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.09'}","{'entailment': '0.65', 'neutral': '0.14', 'contradiction': '0.21'}",0.31000000000000005
44,Either A'deem or Lea are a mechanic,A'deem is a mechanic,Lea is a mechanic,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.10'}",0.31
486,Either Thomas or Raven are an employee,Thomas is an employee,Raven is an employee,"{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.67', 'neutral': '0.19', 'contradiction': '0.14'}",0.30999999999999994
251,Either Dustin or Cheryl are a commander,Dustin is a commander,Cheryl is a commander,"{'entailment': '0.94', 'neutral': '0.05', 'contradiction': '0.01'}","{'entailment': '0.79', 'neutral': '0.10', 'contradiction': '0.12'}",0.3099999999999999
386,Either Kyle or Barbara are a foster parent,Kyle is a foster parent,Barbara is a foster parent,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.15', 'contradiction': '0.11'}",0.30000000000000004
225,Either Kurt or Joyce are a lifeguard,Kurt is a lifeguard,Joyce is a lifeguard,"{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}",0.3
130,Either Julius or Monica are a politician,Julius is a politician,Monica is a politician,"{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}","{'entailment': '0.69', 'neutral': '0.15', 'contradiction': '0.16'}",0.3
346,Either Perth or Kassandra are a physicist,Perth is a physicist,Kassandra is a physicist,"{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.09'}","{'entailment': '0.62', 'neutral': '0.14', 'contradiction': '0.24'}",0.3
204,Either Wesley or Kassandra are a director,Wesley is a director,Kassandra is a director,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.68', 'neutral': '0.21', 'contradiction': '0.11'}",0.29999999999999993
113,Either Mattie or Lynn are a physicist,Mattie is a physicist,Lynn is a physicist,"{'entailment': '0.80', 'neutral': '0.10', 'contradiction': '0.09'}","{'entailment': '0.66', 'neutral': '0.16', 'contradiction': '0.18'}",0.29000000000000004
263,Either Joe or Jessica's are an illustrator,Joe is an illustrator,Jessica's is an illustrator,"{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}","{'entailment': '0.73', 'neutral': '0.14', 'contradiction': '0.12'}",0.29000000000000004
103,Either Brent or Maya are a boxer,Brent is a boxer,Maya is a boxer,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.12', 'contradiction': '0.14'}",0.28
221,Either Sergey or Beth are a tailor,Sergey is a tailor,Beth is a tailor,"{'entailment': '0.77', 'neutral': '0.15', 'contradiction': '0.08'}","{'entailment': '0.63', 'neutral': '0.18', 'contradiction': '0.19'}",0.28
126,Either Nick or Bai are a singer,Nick is a singer,Bai is a singer,"{'entailment': '0.78', 'neutral': '0.12', 'contradiction': '0.11'}","{'entailment': '0.63', 'neutral': '0.17', 'contradiction': '0.19'}",0.28
190,Either Simon or Tuppence are an army,Simon is an army,Tuppence is an army,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}",0.28
14,Either Muhammad or Laura are an author,Muhammad is an author,Laura is an author,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.08'}",0.2799999999999999
253,Either Johnathan or Jacqui are a performing artist,Johnathan is a performing artist,Jacqui is a performing artist,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.69', 'neutral': '0.14', 'contradiction': '0.16'}",0.27
77,Either Billy or Tina are a radiologist,Billy is a radiologist,Tina is a radiologist,"{'entailment': '0.87', 'neutral': '0.05', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.12', 'contradiction': '0.15'}",0.27
274,Either D'quan or Paula are a physicist,D'quan is a physicist,Paula is a physicist,"{'entailment': '0.87', 'neutral': '0.07', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.27
260,Either Ramirez or Jessica's are an attourney,Ramirez is an attourney,Jessica's is an attourney,"{'entailment': '0.89', 'neutral': '0.06', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.11', 'contradiction': '0.13'}",0.27
235,Either Lloyd or Claire are a psychologist,Lloyd is a psychologist,Claire is a psychologist,"{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.71', 'neutral': '0.18', 'contradiction': '0.12'}",0.27
377,Either Dale or Laura are a soldier,Dale is a soldier,Laura is a soldier,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}",0.26
407,Either Ronald or Benny are a physicist,Ronald is a physicist,Benny is a physicist,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}",0.26
397,Either Carl or Tessa are a handball player,Carl is a handball player,Tessa is a handball player,"{'entailment': '0.92', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.79', 'neutral': '0.11', 'contradiction': '0.10'}",0.26
179,Either Treyvone or Shaniqua are an entrepreneur,Treyvone is an entrepreneur,Shaniqua is an entrepreneur,"{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}","{'entailment': '0.68', 'neutral': '0.16', 'contradiction': '0.16'}",0.26
468,Either Jafari or Juliette are a manager,Jafari is a manager,Juliette is a manager,"{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.11', 'contradiction': '0.18'}",0.26
226,Either Muhammad or Anna are a pharmacist,Muhammad is a pharmacist,Anna is a pharmacist,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.26
164,Either Boris or Edith are an engineer,Boris is an engineer,Edith is an engineer,"{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.09'}",0.26
426,Either Jose or Barbara are a doctor,Jose is a doctor,Barbara is a doctor,"{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.11', 'contradiction': '0.15'}",0.26
291,Either Tom or Ellen are an arts,Tom is an arts,Ellen is an arts,"{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.15', 'contradiction': '0.14'}",0.26
182,Either DeAndre or Shevon are a boxer,DeAndre is a boxer,Shevon is a boxer,"{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.08'}",0.26
452,Either James or Greta are a clerk,James is a clerk,Greta is a clerk,"{'entailment': '0.81', 'neutral': '0.10', 'contradiction': '0.09'}","{'entailment': '0.68', 'neutral': '0.18', 'contradiction': '0.14'}",0.26
299,Either Charles or Kassidy are a football player,Charles is a football player,Kassidy is a football player,"{'entailment': '0.89', 'neutral': '0.09', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.14', 'contradiction': '0.10'}",0.26
448,Either Ming or Abigail are a pianist,Ming is a pianist,Abigail is a pianist,"{'entailment': '0.93', 'neutral': '0.06', 'contradiction': '0.01'}","{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}",0.26
306,Either Richard or Rachel are a mover,Richard is a mover,Rachel is a mover,"{'entailment': '0.81', 'neutral': '0.06', 'contradiction': '0.13'}","{'entailment': '0.69', 'neutral': '0.11', 'contradiction': '0.21'}",0.2500000000000001
376,Either Andy or Susan are a linguist,Andy is a linguist,Susan is a linguist,"{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.16', 'contradiction': '0.13'}",0.25
0,Either Aaron or Susan are a sheriff,Aaron is a sheriff,Susan is a sheriff,"{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.12'}",0.25
257,Either Jorge or Kacey are a cashier,Jorge is a cashier,Kacey is a cashier,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.13', 'contradiction': '0.14'}",0.25
413,Either Juan or Cheryl are a magician,Juan is a magician,Cheryl is a magician,"{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.04'}","{'entailment': '0.76', 'neutral': '0.11', 'contradiction': '0.12'}",0.24999999999999997
305,Either Wesley or Janice are a politician,Wesley is a politician,Janice is a politician,"{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.17', 'contradiction': '0.14'}",0.2400000000000001
490,Either Brayden or Priya are a chess player,Brayden is a chess player,Priya is a chess player,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.77', 'neutral': '0.10', 'contradiction': '0.13'}",0.24000000000000002
311,Either Charlie or Rachel are a physician,Charlie is a physician,Rachel is a physician,"{'entailment': '0.88', 'neutral': '0.06', 'contradiction': '0.06'}","{'entailment': '0.76', 'neutral': '0.10', 'contradiction': '0.14'}",0.24000000000000002
99,Either Cadan or Ruby are a performing artist,Cadan is a performing artist,Ruby is a performing artist,"{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}","{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}",0.24
366,Either Kevin or Monica are a postman,Kevin is a postman,Monica is a postman,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.11'}",0.24
404,Either William or Tarnisha are a drawer,William is a drawer,Tarnisha is a drawer,"{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.79', 'neutral': '0.11', 'contradiction': '0.10'}",0.24
495,Either Hunter or Martha are a postman,Hunter is a postman,Martha is a postman,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.24
18,Either Amhad or Jenny are a hairdresser,Amhad is a hairdresser,Jenny is a hairdresser,"{'entailment': '0.88', 'neutral': '0.05', 'contradiction': '0.07'}","{'entailment': '0.76', 'neutral': '0.08', 'contradiction': '0.16'}",0.24
187,Either Joxer or Marie are a gambler,Joxer is a gambler,Marie is a gambler,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.77', 'neutral': '0.15', 'contradiction': '0.08'}",0.24
438,Either Jerry or Katherine are an attendant,Jerry is an attendant,Katherine is an attendant,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}",0.24
147,Either D'quan or Joyce are a groom,D'quan is a groom,Joyce is a groom,"{'entailment': '0.82', 'neutral': '0.10', 'contradiction': '0.07'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.11'}",0.24
451,Either Malik or Greta are a laborer,Malik is a laborer,Greta is a laborer,"{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.75', 'neutral': '0.15', 'contradiction': '0.11'}",0.24
458,Either Joxer or Kristy are a sociologist,Joxer is a sociologist,Kristy is a sociologist,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.03'}","{'entailment': '0.80', 'neutral': '0.11', 'contradiction': '0.10'}",0.24
119,Either Hunter or Carrie are an airman,Hunter is an airman,Carrie is an airman,"{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.07'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}",0.24
76,Either Mark or Shiloh are an employment,Mark is an employment,Shiloh is an employment,"{'entailment': '0.89', 'neutral': '0.06', 'contradiction': '0.06'}","{'entailment': '0.76', 'neutral': '0.11', 'contradiction': '0.12'}",0.24
167,Either Leonard or Beyonce are a firefighter,Leonard is a firefighter,Beyonce is a firefighter,"{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}","{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}",0.24
105,Either Timmy or Tasha are a broker,Timmy is a broker,Tasha is a broker,"{'entailment': '0.93', 'neutral': '0.06', 'contradiction': '0.01'}","{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.05'}",0.23
210,Either Gabriel or Kassandra are a dentist,Gabriel is a dentist,Kassandra is a dentist,"{'entailment': '0.85', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.74', 'neutral': '0.13', 'contradiction': '0.14'}",0.23
320,Either Brent or Kelsi are a lawyer,Brent is a lawyer,Kelsi is a lawyer,"{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.04'}","{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.10'}",0.23
369,Either Micheal or Tessa are a salesperson,Micheal is a salesperson,Tessa is a salesperson,"{'entailment': '0.87', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.11', 'contradiction': '0.13'}",0.22999999999999998
134,Either Fred or Candace are a manager,Fred is a manager,Candace is a manager,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.11', 'contradiction': '0.14'}",0.22999999999999998
387,Either Zack or Joanne are a researcher,Zack is a researcher,Joanne is a researcher,"{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.04'}","{'entailment': '0.77', 'neutral': '0.13', 'contradiction': '0.09'}",0.22999999999999998
494,Either Martin or Tricia are a medical student,Martin is a medical student,Tricia is a medical student,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.02'}","{'entailment': '0.78', 'neutral': '0.12', 'contradiction': '0.10'}",0.22999999999999998
421,Either Carlos or Jen are a teacher,Carlos is a teacher,Jen is a teacher,"{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.16', 'contradiction': '0.11'}",0.22999999999999998
282,Either Shawn or Kathy are a surgeon,Shawn is a surgeon,Kathy is a surgeon,"{'entailment': '0.83', 'neutral': '0.10', 'contradiction': '0.07'}","{'entailment': '0.71', 'neutral': '0.17', 'contradiction': '0.11'}",0.22999999999999998
16,Either Greg or Jacqui are a teacher,Greg is a teacher,Jacqui is a teacher,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.11', 'contradiction': '0.15'}",0.22999999999999998
337,Either Bill or Lily are a chess player,Bill is a chess player,Lily is a chess player,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.11'}",0.22
19,Either Jim or Anne are a lawn mower,Jim is a lawn mower,Anne is a lawn mower,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.72', 'neutral': '0.19', 'contradiction': '0.09'}",0.22
497,Either Ron or Candy are a mathematician,Ron is a mathematician,Candy is a mathematician,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.79', 'neutral': '0.14', 'contradiction': '0.07'}",0.22
326,Either Chen Wu or Jacqui are a guard,Chen Wu is a guard,Jacqui is a guard,"{'entailment': '0.84', 'neutral': '0.12', 'contradiction': '0.04'}","{'entailment': '0.73', 'neutral': '0.12', 'contradiction': '0.15'}",0.21999999999999997
237,Either Jones or Veronica are a businessperson,Jones is a businessperson,Veronica is a businessperson,"{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.03'}","{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.08'}",0.21999999999999997
155,Either Brian or Shaniqua are a civil,Brian is a civil,Shaniqua is a civil,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.07'}",0.21999999999999997
496,Either Jones or Marianne are a drawer,Jones is a drawer,Marianne is a drawer,"{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}","{'entailment': '0.77', 'neutral': '0.16', 'contradiction': '0.07'}",0.21999999999999997
111,Either Jeff or Carrie are a coach,Jeff is a coach,Carrie is a coach,"{'entailment': '0.92', 'neutral': '0.06', 'contradiction': '0.02'}","{'entailment': '0.81', 'neutral': '0.11', 'contradiction': '0.08'}",0.21999999999999997
232,Either Steve or Shannon are a lawn mower,Steve is a lawn mower,Shannon is a lawn mower,"{'entailment': '0.85', 'neutral': '0.05', 'contradiction': '0.10'}","{'entailment': '0.74', 'neutral': '0.09', 'contradiction': '0.17'}",0.21999999999999997
323,Either Ronald or Fabioloa are a coach,Ronald is a coach,Fabioloa is a coach,"{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}","{'entailment': '0.76', 'neutral': '0.12', 'contradiction': '0.12'}",0.21999999999999997
144,Either Richard or Mary are a surgeon,Richard is a surgeon,Mary is a surgeon,"{'entailment': '0.88', 'neutral': '0.07', 'contradiction': '0.05'}","{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.05'}",0.21999999999999997
319,Either Jamal or Juliette are a poet,Jamal is a poet,Juliette is a poet,"{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}","{'entailment': '0.80', 'neutral': '0.11', 'contradiction': '0.09'}",0.21999999999999997
227,Either DeAndre or Marie are a firefighter,DeAndre is a firefighter,Marie is a firefighter,"{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}","{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}",0.21999999999999997
2,Either Scott or Benny are a firefighter,Scott is a firefighter,Benny is a firefighter,"{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.11', 'contradiction': '0.11'}",0.21999999999999997
