,0,1,2,3
10,Either Laquisha or Dustin is a builder[SEP]Laquisha is a builder,Either Laquisha or Dustin is a builder[SEP]Dustin is a builder,Either Dustin or Laquisha is a builder[SEP]Laquisha is a builder,Either Dustin or Laquisha is a builder[SEP]Dustin is a builder
11,Either Emily or Cody is a mechanic[SEP]Emily is a mechanic,Either Emily or Cody is a mechanic[SEP]Cody is a mechanic,Either Cody or Emily is a mechanic[SEP]Emily is a mechanic,Either Cody or Emily is a mechanic[SEP]Cody is a mechanic
12,Either Maggie or Rocco is a CEO[SEP]Maggie is a CEO,Either Maggie or Rocco is a CEO[SEP]Rocco is a CEO,Either Rocco or Maggie is a CEO[SEP]Maggie is a CEO,Either Rocco or Maggie is a CEO[SEP]Rocco is a CEO
13,Either Sara or Sheng Lee is a servant[SEP]Sara is a servant,Either Sara or Sheng Lee is a servant[SEP]Sheng Lee is a servant,Either Sheng Lee or Sara is a servant[SEP]Sara is a servant,Either Sheng Lee or Sara is a servant[SEP]Sheng Lee is a servant
14,Either Lea or Rocco is an engineer[SEP]Lea is an engineer,Either Lea or Rocco is an engineer[SEP]Rocco is an engineer,Either Rocco or Lea is an engineer[SEP]Lea is an engineer,Either Rocco or Lea is an engineer[SEP]Rocco is an engineer
15,Either Cynthia or Chen Wee is a guitarist[SEP]Cynthia is a guitarist,Either Cynthia or Chen Wee is a guitarist[SEP]Chen Wee is a guitarist,Either Chen Wee or Cynthia is a guitarist[SEP]Cynthia is a guitarist,Either Chen Wee or Cynthia is a guitarist[SEP]Chen Wee is a guitarist
16,Either Fabioloa or Lars is a groom[SEP]Fabioloa is a groom,Either Fabioloa or Lars is a groom[SEP]Lars is a groom,Either Lars or Fabioloa is a groom[SEP]Fabioloa is a groom,Either Lars or Fabioloa is a groom[SEP]Lars is a groom
17,Either Tasha or Jamel is a judge[SEP]Tasha is a judge,Either Tasha or Jamel is a judge[SEP]Jamel is a judge,Either Jamel or Tasha is a judge[SEP]Tasha is a judge,Either Jamel or Tasha is a judge[SEP]Jamel is a judge
18,Either Shannon or Vince is a musician[SEP]Shannon is a musician,Either Shannon or Vince is a musician[SEP]Vince is a musician,Either Vince or Shannon is a musician[SEP]Shannon is a musician,Either Vince or Shannon is a musician[SEP]Vince is a musician
19,Either Maya or Steven is a theologian[SEP]Maya is a theologian,Either Maya or Steven is a theologian[SEP]Steven is a theologian,Either Steven or Maya is a theologian[SEP]Maya is a theologian,Either Steven or Maya is a theologian[SEP]Steven is a theologian
20,Either Molly or John is a librarian[SEP]Molly is a librarian,Either Molly or John is a librarian[SEP]John is a librarian,Either John or Molly is a librarian[SEP]Molly is a librarian,Either John or Molly is a librarian[SEP]John is a librarian
21,Either Sue or Mitchell is a detective[SEP]Sue is a detective,Either Sue or Mitchell is a detective[SEP]Mitchell is a detective,Either Mitchell or Sue is a detective[SEP]Sue is a detective,Either Mitchell or Sue is a detective[SEP]Mitchell is a detective
22,Either Joanne or Lars is a handball player[SEP]Joanne is a handball player,Either Joanne or Lars is a handball player[SEP]Lars is a handball player,Either Lars or Joanne is a handball player[SEP]Joanne is a handball player,Either Lars or Joanne is a handball player[SEP]Lars is a handball player
23,Either Precious or Dustin is an arts[SEP]Precious is an arts,Either Precious or Dustin is an arts[SEP]Dustin is an arts,Either Dustin or Precious is an arts[SEP]Precious is an arts,Either Dustin or Precious is an arts[SEP]Dustin is an arts
24,Either Nia or Chan is a director[SEP]Nia is a director,Either Nia or Chan is a director[SEP]Chan is a director,Either Chan or Nia is a director[SEP]Nia is a director,Either Chan or Nia is a director[SEP]Chan is a director
25,Either Barbara or Marquis is a detective[SEP]Barbara is a detective,Either Barbara or Marquis is a detective[SEP]Marquis is a detective,Either Marquis or Barbara is a detective[SEP]Barbara is a detective,Either Marquis or Barbara is a detective[SEP]Marquis is a detective
26,Either Lea or Fred is a musician[SEP]Lea is a musician,Either Lea or Fred is a musician[SEP]Fred is a musician,Either Fred or Lea is a musician[SEP]Lea is a musician,Either Fred or Lea is a musician[SEP]Fred is a musician
27,Either Candy or Ronnie is an astronomer[SEP]Candy is an astronomer,Either Candy or Ronnie is an astronomer[SEP]Ronnie is an astronomer,Either Ronnie or Candy is an astronomer[SEP]Candy is an astronomer,Either Ronnie or Candy is an astronomer[SEP]Ronnie is an astronomer
28,Either Shelly or LeBron is a diplomat[SEP]Shelly is a diplomat,Either Shelly or LeBron is a diplomat[SEP]LeBron is a diplomat,Either LeBron or Shelly is a diplomat[SEP]Shelly is a diplomat,Either LeBron or Shelly is a diplomat[SEP]LeBron is a diplomat
29,Either Benny or Chan is a historian[SEP]Benny is a historian,Either Benny or Chan is a historian[SEP]Chan is a historian,Either Chan or Benny is a historian[SEP]Benny is a historian,Either Chan or Benny is a historian[SEP]Chan is a historian
30,Either Jacqui or Steven is an athlete[SEP]Jacqui is an athlete,Either Jacqui or Steven is an athlete[SEP]Steven is an athlete,Either Steven or Jacqui is an athlete[SEP]Jacqui is an athlete,Either Steven or Jacqui is an athlete[SEP]Steven is an athlete
31,Either Cathy or Treyvone is an agent[SEP]Cathy is an agent,Either Cathy or Treyvone is an agent[SEP]Treyvone is an agent,Either Treyvone or Cathy is an agent[SEP]Cathy is an agent,Either Treyvone or Cathy is an agent[SEP]Treyvone is an agent
32,Either Janet or Jesus is a manager[SEP]Janet is a manager,Either Janet or Jesus is a manager[SEP]Jesus is a manager,Either Jesus or Janet is a manager[SEP]Janet is a manager,Either Jesus or Janet is a manager[SEP]Jesus is a manager
33,Either Sharon or Vince is a psychologist[SEP]Sharon is a psychologist,Either Sharon or Vince is a psychologist[SEP]Vince is a psychologist,Either Vince or Sharon is a psychologist[SEP]Sharon is a psychologist,Either Vince or Sharon is a psychologist[SEP]Vince is a psychologist
34,Either Ellen or Jose is a radiologist[SEP]Ellen is a radiologist,Either Ellen or Jose is a radiologist[SEP]Jose is a radiologist,Either Jose or Ellen is a radiologist[SEP]Ellen is a radiologist,Either Jose or Ellen is a radiologist[SEP]Jose is a radiologist
35,Either Candice or Louis is a mathematician[SEP]Candice is a mathematician,Either Candice or Louis is a mathematician[SEP]Louis is a mathematician,Either Louis or Candice is a mathematician[SEP]Candice is a mathematician,Either Louis or Candice is a mathematician[SEP]Louis is a mathematician
36,Either Megan or Vince is an attourney[SEP]Megan is an attourney,Either Megan or Vince is an attourney[SEP]Vince is an attourney,Either Vince or Megan is an attourney[SEP]Megan is an attourney,Either Vince or Megan is an attourney[SEP]Vince is an attourney
37,Either Roberta or Treyvone is an umpire[SEP]Roberta is an umpire,Either Roberta or Treyvone is an umpire[SEP]Treyvone is an umpire,Either Treyvone or Roberta is an umpire[SEP]Roberta is an umpire,Either Treyvone or Roberta is an umpire[SEP]Treyvone is an umpire
38,Either Marianne or Joe is a mover[SEP]Marianne is a mover,Either Marianne or Joe is a mover[SEP]Joe is a mover,Either Joe or Marianne is a mover[SEP]Marianne is a mover,Either Joe or Marianne is a mover[SEP]Joe is a mover
39,Either Beyonce or Shane is a manager[SEP]Beyonce is a manager,Either Beyonce or Shane is a manager[SEP]Shane is a manager,Either Shane or Beyonce is a manager[SEP]Beyonce is a manager,Either Shane or Beyonce is a manager[SEP]Shane is a manager
40,Either Ruby or Scott is a laborer[SEP]Ruby is a laborer,Either Ruby or Scott is a laborer[SEP]Scott is a laborer,Either Scott or Ruby is a laborer[SEP]Ruby is a laborer,Either Scott or Ruby is a laborer[SEP]Scott is a laborer
41,Either Barbara or Ramon is an arts[SEP]Barbara is an arts,Either Barbara or Ramon is an arts[SEP]Ramon is an arts,Either Ramon or Barbara is an arts[SEP]Barbara is an arts,Either Ramon or Barbara is an arts[SEP]Ramon is an arts
42,Either Ellen or Kevin is a singer[SEP]Ellen is a singer,Either Ellen or Kevin is a singer[SEP]Kevin is a singer,Either Kevin or Ellen is a singer[SEP]Ellen is a singer,Either Kevin or Ellen is a singer[SEP]Kevin is a singer
43,Either Roberta or Rocco is a professor[SEP]Roberta is a professor,Either Roberta or Rocco is a professor[SEP]Rocco is a professor,Either Rocco or Roberta is a professor[SEP]Roberta is a professor,Either Rocco or Roberta is a professor[SEP]Rocco is a professor
44,Either Joanne or Trevon is a firefighter[SEP]Joanne is a firefighter,Either Joanne or Trevon is a firefighter[SEP]Trevon is a firefighter,Either Trevon or Joanne is a firefighter[SEP]Joanne is a firefighter,Either Trevon or Joanne is a firefighter[SEP]Trevon is a firefighter
45,Either Maya or Shane is a performing artist[SEP]Maya is a performing artist,Either Maya or Shane is a performing artist[SEP]Shane is a performing artist,Either Shane or Maya is a performing artist[SEP]Maya is a performing artist,Either Shane or Maya is a performing artist[SEP]Shane is a performing artist
46,Either Tessa or Robert is a firefighter[SEP]Tessa is a firefighter,Either Tessa or Robert is a firefighter[SEP]Robert is a firefighter,Either Robert or Tessa is a firefighter[SEP]Tessa is a firefighter,Either Robert or Tessa is a firefighter[SEP]Robert is a firefighter
47,Either Carla or Jones is a chief[SEP]Carla is a chief,Either Carla or Jones is a chief[SEP]Jones is a chief,Either Jones or Carla is a chief[SEP]Carla is a chief,Either Jones or Carla is a chief[SEP]Jones is a chief
48,Either Janet or John is an auditor[SEP]Janet is an auditor,Either Janet or John is an auditor[SEP]John is an auditor,Either John or Janet is an auditor[SEP]Janet is an auditor,Either John or Janet is an auditor[SEP]John is an auditor
49,Either Katie or Micheal is a judge[SEP]Katie is a judge,Either Katie or Micheal is a judge[SEP]Micheal is a judge,Either Micheal or Katie is a judge[SEP]Katie is a judge,Either Micheal or Katie is a judge[SEP]Micheal is a judge
50,Either Nina or LeShawn is a magician[SEP]Nina is a magician,Either Nina or LeShawn is a magician[SEP]LeShawn is a magician,Either LeShawn or Nina is a magician[SEP]Nina is a magician,Either LeShawn or Nina is a magician[SEP]LeShawn is a magician
51,Either Heather or Kevin is a banker[SEP]Heather is a banker,Either Heather or Kevin is a banker[SEP]Kevin is a banker,Either Kevin or Heather is a banker[SEP]Heather is a banker,Either Kevin or Heather is a banker[SEP]Kevin is a banker
52,Either Claire or Jamie is a receptionist[SEP]Claire is a receptionist,Either Claire or Jamie is a receptionist[SEP]Jamie is a receptionist,Either Jamie or Claire is a receptionist[SEP]Claire is a receptionist,Either Jamie or Claire is a receptionist[SEP]Jamie is a receptionist
53,Either Joanne or Javier is a guitarist[SEP]Joanne is a guitarist,Either Joanne or Javier is a guitarist[SEP]Javier is a guitarist,Either Javier or Joanne is a guitarist[SEP]Joanne is a guitarist,Either Javier or Joanne is a guitarist[SEP]Javier is a guitarist
54,Either Sharon or Jim is a plumber[SEP]Sharon is a plumber,Either Sharon or Jim is a plumber[SEP]Jim is a plumber,Either Jim or Sharon is a plumber[SEP]Sharon is a plumber,Either Jim or Sharon is a plumber[SEP]Jim is a plumber
55,Either Tina or David is an engineer[SEP]Tina is an engineer,Either Tina or David is an engineer[SEP]David is an engineer,Either David or Tina is an engineer[SEP]Tina is an engineer,Either David or Tina is an engineer[SEP]David is an engineer
56,Either Raven or Vince is a farmer[SEP]Raven is a farmer,Either Raven or Vince is a farmer[SEP]Vince is a farmer,Either Vince or Raven is a farmer[SEP]Raven is a farmer,Either Vince or Raven is a farmer[SEP]Vince is a farmer
57,Either Ellen or Dylan is a drawer[SEP]Ellen is a drawer,Either Ellen or Dylan is a drawer[SEP]Dylan is a drawer,Either Dylan or Ellen is a drawer[SEP]Ellen is a drawer,Either Dylan or Ellen is a drawer[SEP]Dylan is a drawer
58,Either Tuppence or LeShawn is a performing artist[SEP]Tuppence is a performing artist,Either Tuppence or LeShawn is a performing artist[SEP]LeShawn is a performing artist,Either LeShawn or Tuppence is a performing artist[SEP]Tuppence is a performing artist,Either LeShawn or Tuppence is a performing artist[SEP]LeShawn is a performing artist
59,Either Carla or Aaron is a janitor[SEP]Carla is a janitor,Either Carla or Aaron is a janitor[SEP]Aaron is a janitor,Either Aaron or Carla is a janitor[SEP]Carla is a janitor,Either Aaron or Carla is a janitor[SEP]Aaron is a janitor
60,Either Megan or Dylan is a lifeguard[SEP]Megan is a lifeguard,Either Megan or Dylan is a lifeguard[SEP]Dylan is a lifeguard,Either Dylan or Megan is a lifeguard[SEP]Megan is a lifeguard,Either Dylan or Megan is a lifeguard[SEP]Dylan is a lifeguard
61,Either Marianne or Edward is an agent[SEP]Marianne is an agent,Either Marianne or Edward is an agent[SEP]Edward is an agent,Either Edward or Marianne is an agent[SEP]Marianne is an agent,Either Edward or Marianne is an agent[SEP]Edward is an agent
62,Either Beth or Zack is a sociologist[SEP]Beth is a sociologist,Either Beth or Zack is a sociologist[SEP]Zack is a sociologist,Either Zack or Beth is a sociologist[SEP]Beth is a sociologist,Either Zack or Beth is a sociologist[SEP]Zack is a sociologist
63,Either Cindy or Aaron is an army[SEP]Cindy is an army,Either Cindy or Aaron is an army[SEP]Aaron is an army,Either Aaron or Cindy is an army[SEP]Cindy is an army,Either Aaron or Cindy is an army[SEP]Aaron is an army
64,Either Ruby or Terrance is an employee[SEP]Ruby is an employee,Either Ruby or Terrance is an employee[SEP]Terrance is an employee,Either Terrance or Ruby is an employee[SEP]Ruby is an employee,Either Terrance or Ruby is an employee[SEP]Terrance is an employee
65,Either Candace or Micheal is a teacher[SEP]Candace is a teacher,Either Candace or Micheal is a teacher[SEP]Micheal is a teacher,Either Micheal or Candace is a teacher[SEP]Candace is a teacher,Either Micheal or Candace is a teacher[SEP]Micheal is a teacher
66,Either Erica or Vince is a cleaner[SEP]Erica is a cleaner,Either Erica or Vince is a cleaner[SEP]Vince is a cleaner,Either Vince or Erica is a cleaner[SEP]Erica is a cleaner,Either Vince or Erica is a cleaner[SEP]Vince is a cleaner
67,Either Monique or Fred is a secretary[SEP]Monique is a secretary,Either Monique or Fred is a secretary[SEP]Fred is a secretary,Either Fred or Monique is a secretary[SEP]Monique is a secretary,Either Fred or Monique is a secretary[SEP]Fred is a secretary
68,Either Janice or Jake is an employee[SEP]Janice is an employee,Either Janice or Jake is an employee[SEP]Jake is an employee,Either Jake or Janice is an employee[SEP]Janice is an employee,Either Jake or Janice is an employee[SEP]Jake is an employee
69,Either Shevon or Terrance is a pilot[SEP]Shevon is a pilot,Either Shevon or Terrance is a pilot[SEP]Terrance is a pilot,Either Terrance or Shevon is a pilot[SEP]Shevon is a pilot,Either Terrance or Shevon is a pilot[SEP]Terrance is a pilot
70,Either Bai or DeShawn is a fireman[SEP]Bai is a fireman,Either Bai or DeShawn is a fireman[SEP]DeShawn is a fireman,Either DeShawn or Bai is a fireman[SEP]Bai is a fireman,Either DeShawn or Bai is a fireman[SEP]DeShawn is a fireman
71,Either Jenna or Fred is a hostess[SEP]Jenna is a hostess,Either Jenna or Fred is a hostess[SEP]Fred is a hostess,Either Fred or Jenna is a hostess[SEP]Jenna is a hostess,Either Fred or Jenna is a hostess[SEP]Fred is a hostess
72,Either Diamond or Kariem is a secretary[SEP]Diamond is a secretary,Either Diamond or Kariem is a secretary[SEP]Kariem is a secretary,Either Kariem or Diamond is a secretary[SEP]Diamond is a secretary,Either Kariem or Diamond is a secretary[SEP]Kariem is a secretary
73,Either Bai or DeShawn is a lifeguard[SEP]Bai is a lifeguard,Either Bai or DeShawn is a lifeguard[SEP]DeShawn is a lifeguard,Either DeShawn or Bai is a lifeguard[SEP]Bai is a lifeguard,Either DeShawn or Bai is a lifeguard[SEP]DeShawn is a lifeguard
74,Either Olga or Jafari is a tailor[SEP]Olga is a tailor,Either Olga or Jafari is a tailor[SEP]Jafari is a tailor,Either Jafari or Olga is a tailor[SEP]Olga is a tailor,Either Jafari or Olga is a tailor[SEP]Jafari is a tailor
75,Either Candace or Jafari is a comedian[SEP]Candace is a comedian,Either Candace or Jafari is a comedian[SEP]Jafari is a comedian,Either Jafari or Candace is a comedian[SEP]Candace is a comedian,Either Jafari or Candace is a comedian[SEP]Jafari is a comedian
76,Either Cathy or Fred is a barber[SEP]Cathy is a barber,Either Cathy or Fred is a barber[SEP]Fred is a barber,Either Fred or Cathy is a barber[SEP]Cathy is a barber,Either Fred or Cathy is a barber[SEP]Fred is a barber
77,Either Marianne or Tyresse is a performing artist[SEP]Marianne is a performing artist,Either Marianne or Tyresse is a performing artist[SEP]Tyresse is a performing artist,Either Tyresse or Marianne is a performing artist[SEP]Marianne is a performing artist,Either Tyresse or Marianne is a performing artist[SEP]Tyresse is a performing artist
78,Either Craig or Chang Lee is a postman[SEP]Craig is a postman,Either Craig or Chang Lee is a postman[SEP]Chang Lee is a postman,Either Chang Lee or Craig is a postman[SEP]Craig is a postman,Either Chang Lee or Craig is a postman[SEP]Chang Lee is a postman
79,Either Liz or Juan is a pilot[SEP]Liz is a pilot,Either Liz or Juan is a pilot[SEP]Juan is a pilot,Either Juan or Liz is a pilot[SEP]Liz is a pilot,Either Juan or Liz is a pilot[SEP]Juan is a pilot
80,Either Erica or Mark is an agent[SEP]Erica is an agent,Either Erica or Mark is an agent[SEP]Mark is an agent,Either Mark or Erica is an agent[SEP]Erica is an agent,Either Mark or Erica is an agent[SEP]Mark is an agent
81,Either Monique or Chen Wu is an academic[SEP]Monique is an academic,Either Monique or Chen Wu is an academic[SEP]Chen Wu is an academic,Either Chen Wu or Monique is an academic[SEP]Monique is an academic,Either Chen Wu or Monique is an academic[SEP]Chen Wu is an academic
82,Either Joan or Chan is a clerk[SEP]Joan is a clerk,Either Joan or Chan is a clerk[SEP]Chan is a clerk,Either Chan or Joan is a clerk[SEP]Joan is a clerk,Either Chan or Joan is a clerk[SEP]Chan is a clerk
83,Either Liz or Malik is a grocer[SEP]Liz is a grocer,Either Liz or Malik is a grocer[SEP]Malik is a grocer,Either Malik or Liz is a grocer[SEP]Liz is a grocer,Either Malik or Liz is a grocer[SEP]Malik is a grocer
84,Either Candace or Juan is a cook[SEP]Candace is a cook,Either Candace or Juan is a cook[SEP]Juan is a cook,Either Juan or Candace is a cook[SEP]Candace is a cook,Either Juan or Candace is a cook[SEP]Juan is a cook
85,Either Bai or Jim is a secretary[SEP]Bai is a secretary,Either Bai or Jim is a secretary[SEP]Jim is a secretary,Either Jim or Bai is a secretary[SEP]Bai is a secretary,Either Jim or Bai is a secretary[SEP]Jim is a secretary
86,Either Katie or Dustin is a director[SEP]Katie is a director,Either Katie or Dustin is a director[SEP]Dustin is a director,Either Dustin or Katie is a director[SEP]Katie is a director,Either Dustin or Katie is a director[SEP]Dustin is a director
87,Either Monique or Cody is a lawyer[SEP]Monique is a lawyer,Either Monique or Cody is a lawyer[SEP]Cody is a lawyer,Either Cody or Monique is a lawyer[SEP]Monique is a lawyer,Either Cody or Monique is a lawyer[SEP]Cody is a lawyer
88,Either Cathy or Steven is a tennis player[SEP]Cathy is a tennis player,Either Cathy or Steven is a tennis player[SEP]Steven is a tennis player,Either Steven or Cathy is a tennis player[SEP]Cathy is a tennis player,Either Steven or Cathy is a tennis player[SEP]Steven is a tennis player
89,Either Emily or John is a farmer[SEP]Emily is a farmer,Either Emily or John is a farmer[SEP]John is a farmer,Either John or Emily is a farmer[SEP]Emily is a farmer,Either John or Emily is a farmer[SEP]John is a farmer
90,Either Tuppence or Lamar is a hostess[SEP]Tuppence is a hostess,Either Tuppence or Lamar is a hostess[SEP]Lamar is a hostess,Either Lamar or Tuppence is a hostess[SEP]Tuppence is a hostess,Either Lamar or Tuppence is a hostess[SEP]Lamar is a hostess
91,Either Jenny or Ronnie is an economist[SEP]Jenny is an economist,Either Jenny or Ronnie is an economist[SEP]Ronnie is an economist,Either Ronnie or Jenny is an economist[SEP]Jenny is an economist,Either Ronnie or Jenny is an economist[SEP]Ronnie is an economist
92,Either Dawn or Eddie is a scientist[SEP]Dawn is a scientist,Either Dawn or Eddie is a scientist[SEP]Eddie is a scientist,Either Eddie or Dawn is a scientist[SEP]Dawn is a scientist,Either Eddie or Dawn is a scientist[SEP]Eddie is a scientist
93,Either Megan or Louis is a cleaner[SEP]Megan is a cleaner,Either Megan or Louis is a cleaner[SEP]Louis is a cleaner,Either Louis or Megan is a cleaner[SEP]Megan is a cleaner,Either Louis or Megan is a cleaner[SEP]Louis is a cleaner
94,Either Ellen or Jorge is an athlete[SEP]Ellen is an athlete,Either Ellen or Jorge is an athlete[SEP]Jorge is an athlete,Either Jorge or Ellen is an athlete[SEP]Ellen is an athlete,Either Jorge or Ellen is an athlete[SEP]Jorge is an athlete
95,Either Ebony or Cadan is a football player[SEP]Ebony is a football player,Either Ebony or Cadan is a football player[SEP]Cadan is a football player,Either Cadan or Ebony is a football player[SEP]Ebony is a football player,Either Cadan or Ebony is a football player[SEP]Cadan is a football player
96,Either Fabioloa or LeShawn is a security guard[SEP]Fabioloa is a security guard,Either Fabioloa or LeShawn is a security guard[SEP]LeShawn is a security guard,Either LeShawn or Fabioloa is a security guard[SEP]Fabioloa is a security guard,Either LeShawn or Fabioloa is a security guard[SEP]LeShawn is a security guard
97,Either Maggie or Kevin is a dentist[SEP]Maggie is a dentist,Either Maggie or Kevin is a dentist[SEP]Kevin is a dentist,Either Kevin or Maggie is a dentist[SEP]Maggie is a dentist,Either Kevin or Maggie is a dentist[SEP]Kevin is a dentist
98,Either Melissa or Steve is a doctor[SEP]Melissa is a doctor,Either Melissa or Steve is a doctor[SEP]Steve is a doctor,Either Steve or Melissa is a doctor[SEP]Melissa is a doctor,Either Steve or Melissa is a doctor[SEP]Steve is a doctor
99,Either Meghan or Terrell is an employment[SEP]Meghan is an employment,Either Meghan or Terrell is an employment[SEP]Terrell is an employment,Either Terrell or Meghan is an employment[SEP]Meghan is an employment,Either Terrell or Meghan is an employment[SEP]Terrell is an employment
100,Either Grace or Jacob is an employment[SEP]Grace is an employment,Either Grace or Jacob is an employment[SEP]Jacob is an employment,Either Jacob or Grace is an employment[SEP]Grace is an employment,Either Jacob or Grace is an employment[SEP]Jacob is an employment
101,Either Carla or Denny is a prosecutor[SEP]Carla is a prosecutor,Either Carla or Denny is a prosecutor[SEP]Denny is a prosecutor,Either Denny or Carla is a prosecutor[SEP]Carla is a prosecutor,Either Denny or Carla is a prosecutor[SEP]Denny is a prosecutor
102,Either Barbara or Juan is an assistant[SEP]Barbara is an assistant,Either Barbara or Juan is an assistant[SEP]Juan is an assistant,Either Juan or Barbara is an assistant[SEP]Barbara is an assistant,Either Juan or Barbara is an assistant[SEP]Juan is an assistant
103,Either Tricia or Chen Wee is a nurse[SEP]Tricia is a nurse,Either Tricia or Chen Wee is a nurse[SEP]Chen Wee is a nurse,Either Chen Wee or Tricia is a nurse[SEP]Tricia is a nurse,Either Chen Wee or Tricia is a nurse[SEP]Chen Wee is a nurse
104,Either Carla or Aaron is an entrepreneur[SEP]Carla is an entrepreneur,Either Carla or Aaron is an entrepreneur[SEP]Aaron is an entrepreneur,Either Aaron or Carla is an entrepreneur[SEP]Carla is an entrepreneur,Either Aaron or Carla is an entrepreneur[SEP]Aaron is an entrepreneur
105,Either Carly or Marquis is an electrician[SEP]Carly is an electrician,Either Carly or Marquis is an electrician[SEP]Marquis is an electrician,Either Marquis or Carly is an electrician[SEP]Carly is an electrician,Either Marquis or Carly is an electrician[SEP]Marquis is an electrician
106,Either Joan or John is a musician[SEP]Joan is a musician,Either Joan or John is a musician[SEP]John is a musician,Either John or Joan is a musician[SEP]Joan is a musician,Either John or Joan is a musician[SEP]John is a musician
107,Either Joanne or Vince is a singer[SEP]Joanne is a singer,Either Joanne or Vince is a singer[SEP]Vince is a singer,Either Vince or Joanne is a singer[SEP]Joanne is a singer,Either Vince or Joanne is a singer[SEP]Vince is a singer
108,Either Molly or Laquan is a dancer[SEP]Molly is a dancer,Either Molly or Laquan is a dancer[SEP]Laquan is a dancer,Either Laquan or Molly is a dancer[SEP]Molly is a dancer,Either Laquan or Molly is a dancer[SEP]Laquan is a dancer
109,Either Raven or Sidney is a police officer[SEP]Raven is a police officer,Either Raven or Sidney is a police officer[SEP]Sidney is a police officer,Either Sidney or Raven is a police officer[SEP]Raven is a police officer,Either Sidney or Raven is a police officer[SEP]Sidney is a police officer
110,Either Kassidy or Bill is a hairdresser[SEP]Kassidy is a hairdresser,Either Kassidy or Bill is a hairdresser[SEP]Bill is a hairdresser,Either Bill or Kassidy is a hairdresser[SEP]Kassidy is a hairdresser,Either Bill or Kassidy is a hairdresser[SEP]Bill is a hairdresser
111,Either Tricia or Tom is an academic[SEP]Tricia is an academic,Either Tricia or Tom is an academic[SEP]Tom is an academic,Either Tom or Tricia is an academic[SEP]Tricia is an academic,Either Tom or Tricia is an academic[SEP]Tom is an academic
112,Either Shevon or Tyrone is a chemist[SEP]Shevon is a chemist,Either Shevon or Tyrone is a chemist[SEP]Tyrone is a chemist,Either Tyrone or Shevon is a chemist[SEP]Shevon is a chemist,Either Tyrone or Shevon is a chemist[SEP]Tyrone is a chemist
113,Either Shevon or Denny is a receptionist[SEP]Shevon is a receptionist,Either Shevon or Denny is a receptionist[SEP]Denny is a receptionist,Either Denny or Shevon is a receptionist[SEP]Shevon is a receptionist,Either Denny or Shevon is a receptionist[SEP]Denny is a receptionist
114,Either Fabioloa or LeShawn is a handyman[SEP]Fabioloa is a handyman,Either Fabioloa or LeShawn is a handyman[SEP]LeShawn is a handyman,Either LeShawn or Fabioloa is a handyman[SEP]Fabioloa is a handyman,Either LeShawn or Fabioloa is a handyman[SEP]LeShawn is a handyman
