,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
21,Neither Cody or Lamar is a nurse,Cody is not a nurse,0.837,0.107,0.055,entailment,Lamar is not a nurse,0.816,0.116,0.068,entailment,0.044,Neither Lamar or Cody is a nurse,Cody is not a nurse,0.796,0.108,0.096,entailment,Lamar is not a nurse,0.892,0.087,0.021,entailment,0.192,0.083,0.154,0.236
22,Neither Heather or Gary is an inspector,Heather is not an inspector,0.902,0.078,0.019,entailment,Gary is not an inspector,0.759,0.116,0.126,entailment,0.288,Neither Gary or Heather is an inspector,Heather is not an inspector,0.751,0.149,0.100,entailment,Gary is not an inspector,0.865,0.112,0.023,entailment,0.228,0.303,0.213,0.516
23,Neither Scott or Chang Lee is an assistant,Scott is not an assistant,0.859,0.098,0.042,entailment,Chang Lee is not an assistant,0.757,0.122,0.122,entailment,0.205,Neither Chang Lee or Scott is an assistant,Scott is not an assistant,0.790,0.118,0.092,entailment,Chang Lee is not an assistant,0.834,0.090,0.076,entailment,0.088,0.139,0.154,0.293
24,Neither Katie or Feng Wu is a housekeeper,Katie is not a housekeeper,0.893,0.092,0.015,entailment,Feng Wu is not a housekeeper,0.843,0.083,0.074,entailment,0.118,Neither Feng Wu or Katie is a housekeeper,Katie is not a housekeeper,0.890,0.083,0.027,entailment,Feng Wu is not a housekeeper,0.912,0.058,0.031,entailment,0.051,0.024,0.137,0.161
25,Neither Greuze or Maya is a dealer,Greuze is not a dealer,0.870,0.091,0.039,entailment,Maya is not a dealer,0.845,0.108,0.047,entailment,0.049,Neither Maya or Greuze is a dealer,Greuze is not a dealer,0.840,0.082,0.078,entailment,Maya is not a dealer,0.876,0.103,0.020,entailment,0.116,0.079,0.062,0.141
26,Neither Cody or Ebony is an analyst,Cody is not an analyst,0.864,0.107,0.029,entailment,Ebony is not an analyst,0.834,0.125,0.041,entailment,0.059,Neither Ebony or Cody is an analyst,Cody is not an analyst,0.847,0.100,0.053,entailment,Ebony is not an analyst,0.873,0.103,0.024,entailment,0.057,0.047,0.076,0.124
27,Neither Scott or Wong Chang is a lawyer,Scott is not a lawyer,0.890,0.081,0.028,entailment,Wong Chang is not a lawyer,0.806,0.089,0.105,entailment,0.168,Neither Wong Chang or Scott is a lawyer,Scott is not a lawyer,0.852,0.094,0.053,entailment,Wong Chang is not a lawyer,0.872,0.084,0.044,entailment,0.040,0.076,0.132,0.208
28,Neither Claire or Laquisha is a chemist,Claire is not a chemist,0.868,0.090,0.042,entailment,Laquisha is not a chemist,0.774,0.086,0.140,entailment,0.196,Neither Laquisha or Claire is a chemist,Claire is not a chemist,0.843,0.086,0.070,entailment,Laquisha is not a chemist,0.836,0.104,0.060,entailment,0.035,0.056,0.160,0.216
29,Neither Katie or Tyresse is a tennis player,Katie is not a tennis player,0.837,0.088,0.075,entailment,Tyresse is not a tennis player,0.827,0.068,0.105,entailment,0.059,Neither Tyresse or Katie is a tennis player,Katie is not a tennis player,0.849,0.071,0.080,entailment,Tyresse is not a tennis player,0.886,0.056,0.058,entailment,0.074,0.033,0.117,0.150
30,Neither Greuze or Laquan is a security guard,Greuze is not a security guard,0.893,0.064,0.043,entailment,Laquan is not a security guard,0.832,0.079,0.089,entailment,0.122,Neither Laquan or Greuze is a security guard,Greuze is not a security guard,0.856,0.062,0.082,entailment,Laquan is not a security guard,0.907,0.066,0.027,entailment,0.110,0.078,0.150,0.229
31,Neither Scott or Gabriel is a counselor,Scott is not a counselor,0.898,0.066,0.035,entailment,Gabriel is not a counselor,0.820,0.098,0.083,entailment,0.157,Neither Gabriel or Scott is a counselor,Scott is not a counselor,0.831,0.087,0.082,entailment,Gabriel is not a counselor,0.909,0.068,0.023,entailment,0.156,0.134,0.179,0.313
32,Neither Dustin or Ebony is a guard,Dustin is not a guard,0.905,0.065,0.030,entailment,Ebony is not a guard,0.804,0.132,0.064,entailment,0.202,Neither Ebony or Dustin is a guard,Dustin is not a guard,0.859,0.062,0.080,entailment,Ebony is not a guard,0.858,0.100,0.042,entailment,0.077,0.099,0.108,0.206
33,Neither Essex or Laquan is a magician,Essex is not a magician,0.866,0.116,0.018,entailment,Laquan is not a magician,0.728,0.163,0.109,entailment,0.275,Neither Laquan or Essex is a magician,Essex is not a magician,0.825,0.130,0.045,entailment,Laquan is not a magician,0.800,0.152,0.048,entailment,0.049,0.082,0.144,0.226
34,Neither Katherine or Joo-Lin is a guitarist,Katherine is not a guitarist,0.840,0.135,0.025,entailment,Joo-Lin is not a guitarist,0.701,0.114,0.185,entailment,0.321,Neither Joo-Lin or Katherine is a guitarist,Katherine is not a guitarist,0.846,0.100,0.053,entailment,Joo-Lin is not a guitarist,0.807,0.113,0.080,entailment,0.079,0.070,0.212,0.281
35,Neither Hunter or Ramirez is an assistant,Hunter is not an assistant,0.872,0.087,0.041,entailment,Ramirez is not an assistant,0.828,0.088,0.084,entailment,0.088,Neither Ramirez or Hunter is an assistant,Hunter is not an assistant,0.825,0.100,0.075,entailment,Ramirez is not an assistant,0.862,0.085,0.053,entailment,0.074,0.094,0.068,0.163
36,Neither Cadan or Ragesh is a mover,Cadan is not a mover,0.914,0.069,0.017,entailment,Ragesh is not a mover,0.894,0.073,0.032,entailment,0.039,Neither Ragesh or Cadan is a mover,Cadan is not a mover,0.901,0.079,0.020,entailment,Ragesh is not a mover,0.908,0.070,0.021,entailment,0.017,0.026,0.028,0.054
37,Neither Cole or Gabriel is a barber,Cole is not a barber,0.851,0.110,0.039,entailment,Gabriel is not a barber,0.806,0.116,0.078,entailment,0.090,Neither Gabriel or Cole is a barber,Cole is not a barber,0.805,0.138,0.057,entailment,Gabriel is not a barber,0.872,0.099,0.029,entailment,0.134,0.091,0.133,0.223
38,Neither Carly or Diamond is a cleric,Carly is not a cleric,0.892,0.081,0.027,entailment,Diamond is not a cleric,0.843,0.094,0.063,entailment,0.099,Neither Diamond or Carly is a cleric,Carly is not a cleric,0.832,0.084,0.083,entailment,Diamond is not a cleric,0.896,0.064,0.041,entailment,0.127,0.120,0.105,0.226
39,Neither Jake or Jorge is a firefighter,Jake is not a firefighter,0.881,0.085,0.034,entailment,Jorge is not a firefighter,0.805,0.105,0.090,entailment,0.151,Neither Jorge or Jake is a firefighter,Jake is not a firefighter,0.772,0.124,0.105,entailment,Jorge is not a firefighter,0.854,0.092,0.054,entailment,0.165,0.218,0.099,0.316
40,Neither Katie or Chin Pang is an inspector,Katie is not an inspector,0.880,0.100,0.021,entailment,Chin Pang is not an inspector,0.815,0.076,0.109,entailment,0.176,Neither Chin Pang or Katie is an inspector,Katie is not an inspector,0.882,0.081,0.037,entailment,Chin Pang is not an inspector,0.891,0.068,0.041,entailment,0.025,0.038,0.152,0.190
41,Neither Essex or Jamal is a lawn mower,Essex is not a lawn mower,0.915,0.074,0.011,entailment,Jamal is not a lawn mower,0.938,0.048,0.014,entailment,0.053,Neither Jamal or Essex is a lawn mower,Essex is not a lawn mower,0.878,0.093,0.029,entailment,Jamal is not a lawn mower,0.933,0.057,0.010,entailment,0.110,0.074,0.018,0.092
42,Neither Cody or Raja is an artist,Cody is not an artist,0.771,0.127,0.102,entailment,Raja is not an artist,0.735,0.122,0.143,entailment,0.081,Neither Raja or Cody is an artist,Cody is not an artist,0.751,0.119,0.130,entailment,Raja is not an artist,0.767,0.129,0.104,entailment,0.052,0.055,0.078,0.133
43,Neither Greg or Bai is a composer,Greg is not a composer,0.848,0.104,0.049,entailment,Bai is not a composer,0.775,0.122,0.103,entailment,0.145,Neither Bai or Greg is a composer,Greg is not a composer,0.761,0.107,0.132,entailment,Bai is not a composer,0.816,0.107,0.078,entailment,0.110,0.174,0.082,0.255
44,Neither Jenna or Kia is a director,Jenna is not a director,0.898,0.066,0.036,entailment,Kia is not a director,0.743,0.095,0.162,entailment,0.309,Neither Kia or Jenna is a director,Jenna is not a director,0.852,0.081,0.067,entailment,Kia is not a director,0.833,0.073,0.094,entailment,0.054,0.091,0.180,0.271
45,Neither Inglethorp or Jorge is a plumber,Inglethorp is not a plumber,0.821,0.117,0.061,entailment,Jorge is not a plumber,0.862,0.072,0.067,entailment,0.091,Neither Jorge or Inglethorp is a plumber,Inglethorp is not a plumber,0.813,0.121,0.066,entailment,Jorge is not a plumber,0.900,0.077,0.023,entailment,0.174,0.016,0.088,0.104
46,Neither Katie or Ragesh is an architect,Katie is not an architect,0.913,0.071,0.016,entailment,Ragesh is not an architect,0.785,0.113,0.102,entailment,0.255,Neither Ragesh or Katie is an architect,Katie is not an architect,0.908,0.069,0.024,entailment,Ragesh is not an architect,0.868,0.082,0.051,entailment,0.080,0.014,0.165,0.179
47,Neither Cody or Feng Wu is a security guard,Cody is not a security guard,0.900,0.080,0.020,entailment,Feng Wu is not a security guard,0.825,0.069,0.106,entailment,0.172,Neither Feng Wu or Cody is a security guard,Cody is not a security guard,0.880,0.074,0.046,entailment,Feng Wu is not a security guard,0.919,0.045,0.036,entailment,0.078,0.052,0.188,0.240
48,Neither Amy or Laquisha is a professor,Amy is not a professor,0.869,0.071,0.060,entailment,Laquisha is not a professor,0.696,0.094,0.210,entailment,0.346,Neither Laquisha or Amy is a professor,Amy is not a professor,0.794,0.076,0.130,entailment,Laquisha is not a professor,0.841,0.083,0.076,entailment,0.107,0.150,0.289,0.438
49,Neither Heather or Jamal is an employee,Heather is not an employee,0.859,0.084,0.058,entailment,Jamal is not an employee,0.732,0.110,0.158,entailment,0.253,Neither Jamal or Heather is an employee,Heather is not an employee,0.721,0.129,0.150,entailment,Jamal is not an employee,0.815,0.102,0.083,entailment,0.187,0.275,0.166,0.441
50,Neither Carly or Ebony is a tailor,Carly is not a tailor,0.814,0.156,0.030,entailment,Ebony is not a tailor,0.795,0.150,0.054,entailment,0.048,Neither Ebony or Carly is a tailor,Carly is not a tailor,0.779,0.143,0.078,entailment,Ebony is not a tailor,0.825,0.145,0.030,entailment,0.096,0.096,0.059,0.155
51,Neither Cody or Kia is an artist,Cody is not an artist,0.811,0.110,0.080,entailment,Kia is not an artist,0.670,0.120,0.209,entailment,0.280,Neither Kia or Cody is an artist,Cody is not an artist,0.805,0.110,0.085,entailment,Kia is not an artist,0.769,0.102,0.129,entailment,0.087,0.012,0.198,0.210
52,Neither Inglethorp or Ebony is a chef,Inglethorp is not a chef,0.812,0.099,0.089,entailment,Ebony is not a chef,0.821,0.081,0.098,entailment,0.037,Neither Ebony or Inglethorp is a chef,Inglethorp is not a chef,0.755,0.083,0.162,entailment,Ebony is not a chef,0.863,0.096,0.040,entailment,0.244,0.146,0.115,0.261
53,Neither Claire or Laquan is a cleric,Claire is not a cleric,0.931,0.053,0.016,entailment,Laquan is not a cleric,0.861,0.083,0.056,entailment,0.139,Neither Laquan or Claire is a cleric,Claire is not a cleric,0.906,0.065,0.029,entailment,Laquan is not a cleric,0.897,0.077,0.026,entailment,0.024,0.049,0.073,0.122
54,Neither Greuze or Terrance is a chef,Greuze is not a chef,0.821,0.086,0.094,entailment,Terrance is not a chef,0.810,0.101,0.089,entailment,0.030,Neither Terrance or Greuze is a chef,Greuze is not a chef,0.778,0.075,0.147,entailment,Terrance is not a chef,0.847,0.100,0.053,entailment,0.188,0.107,0.074,0.181
55,Neither Ronnie or Precious is a linguist,Ronnie is not a linguist,0.885,0.069,0.046,entailment,Precious is not a linguist,0.746,0.078,0.176,entailment,0.277,Neither Precious or Ronnie is a linguist,Ronnie is not a linguist,0.868,0.067,0.066,entailment,Precious is not a linguist,0.869,0.071,0.061,entailment,0.010,0.040,0.245,0.285
56,Neither Essex or Nina is a librarian,Essex is not a librarian,0.897,0.073,0.030,entailment,Nina is not a librarian,0.724,0.090,0.186,entailment,0.346,Neither Nina or Essex is a librarian,Essex is not a librarian,0.828,0.097,0.075,entailment,Nina is not a librarian,0.838,0.093,0.069,entailment,0.020,0.138,0.233,0.372
57,Neither Heather or Gabriel is a pharmacist,Heather is not a pharmacist,0.908,0.063,0.029,entailment,Gabriel is not a pharmacist,0.878,0.080,0.042,entailment,0.059,Neither Gabriel or Heather is a pharmacist,Heather is not a pharmacist,0.851,0.082,0.067,entailment,Gabriel is not a pharmacist,0.920,0.067,0.013,entailment,0.137,0.113,0.083,0.196
58,Neither Ronnie or Shaniqua is an administrator,Ronnie is not an administrator,0.932,0.055,0.013,entailment,Shaniqua is not an administrator,0.888,0.061,0.051,entailment,0.087,Neither Shaniqua or Ronnie is an administrator,Ronnie is not an administrator,0.916,0.062,0.022,entailment,Shaniqua is not an administrator,0.921,0.053,0.026,entailment,0.018,0.032,0.064,0.097
59,Neither Emily or Terrell is an astronomer,Emily is not an astronomer,0.866,0.098,0.036,entailment,Terrell is not an astronomer,0.758,0.164,0.078,entailment,0.216,Neither Terrell or Emily is an astronomer,Emily is not an astronomer,0.810,0.112,0.079,entailment,Terrell is not an astronomer,0.838,0.126,0.036,entailment,0.085,0.113,0.159,0.273
60,Neither Craig or Chan is a janitor,Craig is not a janitor,0.889,0.088,0.022,entailment,Chan is not a janitor,0.795,0.147,0.059,entailment,0.190,Neither Chan or Craig is a janitor,Craig is not a janitor,0.865,0.101,0.034,entailment,Chan is not a janitor,0.869,0.092,0.039,entailment,0.018,0.049,0.149,0.198
61,Neither Cadan or Chin Pang is a grocer,Cadan is not a grocer,0.869,0.105,0.025,entailment,Chin Pang is not a grocer,0.899,0.059,0.042,entailment,0.092,Neither Chin Pang or Cadan is a grocer,Cadan is not a grocer,0.846,0.104,0.050,entailment,Chin Pang is not a grocer,0.893,0.080,0.027,entailment,0.094,0.049,0.042,0.090
62,Neither Jacob or Wong Chang is a butler,Jacob is not a butler,0.796,0.170,0.034,entailment,Wong Chang is not a butler,0.765,0.130,0.105,entailment,0.142,Neither Wong Chang or Jacob is a butler,Jacob is not a butler,0.748,0.186,0.067,entailment,Wong Chang is not a butler,0.830,0.106,0.064,entailment,0.165,0.098,0.130,0.227
63,Neither Prescott or Shaniqua is an opera singer,Prescott is not an opera singer,0.915,0.073,0.011,entailment,Shaniqua is not an opera singer,0.863,0.065,0.071,entailment,0.120,Neither Shaniqua or Prescott is an opera singer,Prescott is not an opera singer,0.903,0.074,0.023,entailment,Shaniqua is not an opera singer,0.895,0.068,0.037,entailment,0.027,0.025,0.069,0.095
64,Neither Heather or Won San Lee is a medical student,Heather is not a medical student,0.859,0.064,0.077,entailment,Won San Lee is not a medical student,0.704,0.061,0.235,entailment,0.316,Neither Won San Lee or Heather is a medical student,Heather is not a medical student,0.736,0.061,0.203,entailment,Won San Lee is not a medical student,0.722,0.065,0.212,entailment,0.028,0.253,0.045,0.298
65,Neither Jack or Anita is a soldier,Jack is not a soldier,0.843,0.107,0.051,entailment,Anita is not a soldier,0.825,0.119,0.056,entailment,0.037,Neither Anita or Jack is a soldier,Jack is not a soldier,0.695,0.156,0.149,entailment,Anita is not a soldier,0.898,0.082,0.020,entailment,0.406,0.295,0.148,0.442
66,Neither Ronnie or Chang Lee is an engineer,Ronnie is not an engineer,0.857,0.107,0.036,entailment,Chang Lee is not an engineer,0.779,0.109,0.112,entailment,0.157,Neither Chang Lee or Ronnie is an engineer,Ronnie is not an engineer,0.834,0.110,0.056,entailment,Chang Lee is not an engineer,0.833,0.102,0.065,entailment,0.017,0.046,0.108,0.154
67,Neither Heather or Chan is a butler,Heather is not a butler,0.863,0.107,0.030,entailment,Chan is not a butler,0.727,0.190,0.083,entailment,0.272,Neither Chan or Heather is a butler,Heather is not a butler,0.809,0.148,0.043,entailment,Chan is not a butler,0.780,0.170,0.050,entailment,0.057,0.109,0.106,0.215
68,Neither Amy or Feng Wu is a civil,Amy is not a civil,0.842,0.122,0.037,entailment,Feng Wu is not a civil,0.839,0.090,0.071,entailment,0.068,Neither Feng Wu or Amy is a civil,Amy is not a civil,0.749,0.193,0.058,entailment,Feng Wu is not a civil,0.882,0.084,0.034,entailment,0.265,0.184,0.086,0.270
69,Neither Craig or Carlos is a fireman,Craig is not a fireman,0.877,0.092,0.031,entailment,Carlos is not a fireman,0.840,0.108,0.051,entailment,0.074,Neither Carlos or Craig is a fireman,Craig is not a fireman,0.849,0.105,0.046,entailment,Carlos is not a fireman,0.865,0.095,0.040,entailment,0.031,0.056,0.049,0.105
70,Neither Jack or Chong Ling is a secretary,Jack is not a secretary,0.826,0.116,0.058,entailment,Chong Ling is not a secretary,0.802,0.121,0.077,entailment,0.048,Neither Chong Ling or Jack is a secretary,Jack is not a secretary,0.747,0.141,0.112,entailment,Chong Ling is not a secretary,0.844,0.092,0.064,entailment,0.194,0.158,0.085,0.242
71,Neither Molly or Li is an economist,Molly is not an economist,0.865,0.099,0.036,entailment,Li is not an economist,0.703,0.171,0.126,entailment,0.324,Neither Li or Molly is an economist,Molly is not an economist,0.770,0.146,0.084,entailment,Li is not an economist,0.805,0.139,0.056,entailment,0.071,0.190,0.205,0.395
72,Neither Emily or Chong Ling is an airman,Emily is not an airman,0.831,0.133,0.036,entailment,Chong Ling is not an airman,0.689,0.177,0.134,entailment,0.284,Neither Chong Ling or Emily is an airman,Emily is not an airman,0.785,0.134,0.082,entailment,Chong Ling is not an airman,0.761,0.138,0.101,entailment,0.047,0.093,0.145,0.238
73,Neither Brown or Jose is a carpenter,Brown is not a carpenter,0.849,0.108,0.043,entailment,Jose is not a carpenter,0.785,0.105,0.110,entailment,0.134,Neither Jose or Brown is a carpenter,Brown is not a carpenter,0.771,0.123,0.106,entailment,Jose is not a carpenter,0.862,0.106,0.031,entailment,0.182,0.155,0.158,0.313
74,Neither Greuze or Manuel is a secretary,Greuze is not a secretary,0.858,0.080,0.061,entailment,Manuel is not a secretary,0.863,0.073,0.064,entailment,0.015,Neither Manuel or Greuze is a secretary,Greuze is not a secretary,0.823,0.086,0.091,entailment,Manuel is not a secretary,0.905,0.068,0.027,entailment,0.163,0.071,0.083,0.154
75,Neither LeShawn or Adrin is a chef,LeShawn is not a chef,0.813,0.085,0.101,entailment,Adrin is not a chef,0.769,0.100,0.131,entailment,0.088,Neither Adrin or LeShawn is a chef,LeShawn is not a chef,0.769,0.093,0.138,entailment,Adrin is not a chef,0.818,0.090,0.092,entailment,0.098,0.088,0.098,0.186
76,Neither Brown or Javier is a firefighter,Brown is not a firefighter,0.836,0.090,0.074,entailment,Javier is not a firefighter,0.762,0.081,0.158,entailment,0.168,Neither Javier or Brown is a firefighter,Brown is not a firefighter,0.771,0.115,0.114,entailment,Javier is not a firefighter,0.848,0.078,0.074,entailment,0.153,0.130,0.173,0.302
77,Neither Greuze or Anita is a driver,Greuze is not a driver,0.928,0.050,0.022,entailment,Anita is not a driver,0.901,0.070,0.028,entailment,0.054,Neither Anita or Greuze is a driver,Greuze is not a driver,0.895,0.053,0.052,entailment,Anita is not a driver,0.929,0.059,0.012,entailment,0.080,0.066,0.055,0.121
78,Neither Brown or Laquisha is a servant,Brown is not a servant,0.806,0.124,0.071,entailment,Laquisha is not a servant,0.751,0.121,0.127,entailment,0.114,Neither Laquisha or Brown is a servant,Brown is not a servant,0.734,0.149,0.117,entailment,Laquisha is not a servant,0.780,0.133,0.087,entailment,0.092,0.144,0.081,0.224
79,Neither Craig or Tyresse is a poet,Craig is not a poet,0.749,0.141,0.109,entailment,Tyresse is not a poet,0.724,0.147,0.130,entailment,0.052,Neither Tyresse or Craig is a poet,Craig is not a poet,0.759,0.130,0.111,entailment,Tyresse is not a poet,0.769,0.138,0.093,entailment,0.036,0.023,0.091,0.113
80,Neither Molly or Feng Wu is a chemist,Molly is not a chemist,0.819,0.145,0.035,entailment,Feng Wu is not a chemist,0.643,0.114,0.243,entailment,0.416,Neither Feng Wu or Molly is a chemist,Molly is not a chemist,0.797,0.135,0.068,entailment,Feng Wu is not a chemist,0.783,0.124,0.092,entailment,0.048,0.066,0.302,0.368
81,Neither Cadan or Laquan is a psychologist,Cadan is not a psychologist,0.746,0.134,0.119,entailment,Laquan is not a psychologist,0.771,0.116,0.113,entailment,0.050,Neither Laquan or Cadan is a psychologist,Cadan is not a psychologist,0.702,0.154,0.144,entailment,Laquan is not a psychologist,0.791,0.136,0.073,entailment,0.178,0.088,0.081,0.169
