,text,hypo,entailment,neutral,contradiction
85,Anita is a hairdresser,either Jake or Anita is a hairdresser,0.05,0.92,0.03
86,Jake is an inspector,either Jake or Diamond is an inspector,0.06,0.90,0.05
87,Diamond is an inspector,either Jake or Diamond is an inspector,0.08,0.86,0.06
88,Cadan is an aeronautical engineer,either Cadan or Nina is an aeronautical engineer,0.19,0.72,0.09
89,Nina is an aeronautical engineer,either Cadan or Nina is an aeronautical engineer,0.74,0.25,0.01
90,Ronnie is a handball player,either Ronnie or Anita is a handball player,0.13,0.84,0.03
91,Anita is a handball player,either Ronnie or Anita is a handball player,0.15,0.81,0.03
92,Dustin is a cleric,either Dustin or Ebony is a cleric,0.28,0.67,0.04
93,Ebony is a cleric,either Dustin or Ebony is a cleric,0.12,0.68,0.20
94,Dustin is a prosecutor,either Dustin or Diamond is a prosecutor,0.14,0.81,0.05
95,Diamond is a prosecutor,either Dustin or Diamond is a prosecutor,0.28,0.67,0.05
96,Cody is a hostess,either Cody or Precious is a hostess,0.32,0.62,0.07
97,Precious is a hostess,either Cody or Precious is a hostess,0.13,0.80,0.07
98,Hunter is a pensioner,either Hunter or Maya is a pensioner,0.07,0.86,0.07
99,Maya is a pensioner,either Hunter or Maya is a pensioner,0.38,0.56,0.06
100,Dustin is a surgeon,either Dustin or Laquisha is a surgeon,0.37,0.60,0.03
101,Laquisha is a surgeon,either Dustin or Laquisha is a surgeon,0.16,0.76,0.08
102,Connor is a lifeguard,either Connor or Bai is a lifeguard,0.12,0.86,0.03
103,Bai is a lifeguard,either Connor or Bai is a lifeguard,0.28,0.67,0.05
104,Jacob is an office worker,either Jacob or Nina is an office worker,0.19,0.78,0.03
105,Nina is an office worker,either Jacob or Nina is an office worker,0.04,0.92,0.04
106,Jacob is an attourney,either Jacob or Bai is an attourney,0.11,0.81,0.08
107,Bai is an attourney,either Jacob or Bai is an attourney,0.05,0.83,0.12
108,Jake is a scientist,either Jake or Maya is a scientist,0.07,0.90,0.04
109,Maya is a scientist,either Jake or Maya is a scientist,0.07,0.82,0.11
110,Hunter is a poet,either Hunter or Tanisha is a poet,0.23,0.74,0.03
111,Tanisha is a poet,either Hunter or Tanisha is a poet,0.35,0.59,0.05
112,LeShawn is a receptionist,either LeShawn or Raven is a receptionist,0.06,0.89,0.05
113,Raven is a receptionist,either LeShawn or Raven is a receptionist,0.30,0.61,0.09
114,Cadan is an athlete,either Cadan or Tanisha is an athlete,0.37,0.61,0.03
115,Tanisha is an athlete,either Cadan or Tanisha is an athlete,0.31,0.67,0.02
116,Dylan is a magician,either Dylan or Nina is a magician,0.19,0.76,0.05
117,Nina is a magician,either Dylan or Nina is a magician,0.03,0.83,0.14
118,Hunter is a groom,either Hunter or Precious is a groom,0.28,0.66,0.05
119,Precious is a groom,either Hunter or Precious is a groom,0.17,0.68,0.15
120,Greg is an umpire,either Greg or Laquisha is an umpire,0.29,0.68,0.03
121,Laquisha is an umpire,either Greg or Laquisha is an umpire,0.25,0.72,0.03
122,Cadan is a judge,either Cadan or Laquisha is a judge,0.32,0.65,0.04
123,Laquisha is a judge,either Cadan or Laquisha is a judge,0.27,0.69,0.04
124,Connor is a businessperson,either Connor or Ebony is a businessperson,0.29,0.67,0.04
125,Ebony is a businessperson,either Connor or Ebony is a businessperson,0.45,0.52,0.04
126,Ronnie is a nurse,either Ronnie or Precious is a nurse,0.16,0.82,0.02
127,Precious is a nurse,either Ronnie or Precious is a nurse,0.07,0.84,0.09
128,Hunter is an arts,either Hunter or Shaniqua is an arts,0.31,0.62,0.08
129,Shaniqua is an arts,either Hunter or Shaniqua is an arts,0.33,0.56,0.11
130,Dylan is a fireman,either Dylan or Laquisha is a fireman,0.36,0.62,0.02
131,Laquisha is a fireman,either Dylan or Laquisha is a fireman,0.05,0.90,0.05
132,Jack is an economist,either Jack or Maya is an economist,0.14,0.81,0.06
133,Maya is an economist,either Jack or Maya is an economist,0.07,0.61,0.33
134,Connor is a software engineer,either Connor or Raven is a software engineer,0.08,0.91,0.02
135,Raven is a software engineer,either Connor or Raven is a software engineer,0.48,0.50,0.03
136,Cadan is a cook,either Cadan or Tanisha is a cook,0.26,0.70,0.04
137,Tanisha is a cook,either Cadan or Tanisha is a cook,0.32,0.64,0.04
138,Cole is a salesperson,either Cole or Ebony is a salesperson,0.31,0.65,0.04
139,Ebony is a salesperson,either Cole or Ebony is a salesperson,0.24,0.73,0.02
140,Jacob is an accountant,either Jacob or Raven is an accountant,0.08,0.87,0.05
141,Raven is an accountant,either Jacob or Raven is an accountant,0.05,0.84,0.11
142,Cody is an engineer,either Cody or Maya is an engineer,0.10,0.84,0.06
143,Maya is an engineer,either Cody or Maya is an engineer,0.11,0.78,0.12
144,Dylan is a diplomat,either Dylan or Tanisha is a diplomat,0.27,0.71,0.02
145,Tanisha is a diplomat,either Dylan or Tanisha is a diplomat,0.05,0.88,0.07
146,Scott is a researcher,either Scott or Ebony is a researcher,0.29,0.69,0.03
147,Ebony is a researcher,either Scott or Ebony is a researcher,0.25,0.69,0.07
148,Dylan is a pianist,either Dylan or Shaniqua is a pianist,0.27,0.69,0.05
149,Shaniqua is a pianist,either Dylan or Shaniqua is a pianist,0.07,0.87,0.06
150,Cadan is a civil,either Cadan or Shaniqua is a civil,0.38,0.54,0.09
151,Shaniqua is a civil,either Cadan or Shaniqua is a civil,0.34,0.61,0.06
152,Cadan is a cook,either Cadan or Nina is a cook,0.24,0.68,0.08
153,Nina is a cook,either Cadan or Nina is a cook,0.25,0.71,0.05
154,Jake is a guitarist,either Jake or Anita is a guitarist,0.18,0.79,0.03
155,Anita is a guitarist,either Jake or Anita is a guitarist,0.04,0.89,0.07
156,Cadan is a journalist,either Cadan or Raven is a journalist,0.11,0.83,0.06
157,Raven is a journalist,either Cadan or Raven is a journalist,0.26,0.68,0.06
158,Cadan is a doctor,either Cadan or Maya is a doctor,0.41,0.55,0.04
159,Maya is a doctor,either Cadan or Maya is a doctor,0.26,0.70,0.04
160,Hunter is a pensioner,either Hunter or Anita is a pensioner,0.19,0.75,0.07
161,Anita is a pensioner,either Hunter or Anita is a pensioner,0.44,0.52,0.04
162,Connor is a barber,either Connor or Nina is a barber,0.10,0.86,0.04
163,Nina is a barber,either Connor or Nina is a barber,0.12,0.84,0.04
164,Greg is a coach,either Greg or Maya is a coach,0.11,0.82,0.07
165,Maya is a coach,either Greg or Maya is a coach,0.05,0.83,0.12
166,Cole is an airman,either Cole or Shaniqua is an airman,0.32,0.65,0.03
167,Shaniqua is an airman,either Cole or Shaniqua is an airman,0.08,0.91,0.02
168,Ronnie is a cashier,either Ronnie or Anita is a cashier,0.16,0.80,0.03
169,Anita is a cashier,either Ronnie or Anita is a cashier,0.15,0.81,0.04
170,Connor is a researcher,either Connor or Maya is a researcher,0.10,0.85,0.04
171,Maya is a researcher,either Connor or Maya is a researcher,0.10,0.76,0.13
172,Cody is a tennis player,either Cody or Shaniqua is a tennis player,0.43,0.55,0.02
173,Shaniqua is a tennis player,either Cody or Shaniqua is a tennis player,0.18,0.80,0.02
174,LeShawn is a construction worker,either LeShawn or Bai is a construction worker,0.12,0.86,0.02
175,Bai is a construction worker,either LeShawn or Bai is a construction worker,0.40,0.56,0.04
176,Greg is a pharmacist,either Greg or Ebony is a pharmacist,0.36,0.61,0.03
177,Ebony is a pharmacist,either Greg or Ebony is a pharmacist,0.17,0.80,0.03
178,Jacob is a football player,either Jacob or Shaniqua is a football player,0.30,0.68,0.02
179,Shaniqua is a football player,either Jacob or Shaniqua is a football player,0.09,0.89,0.02
180,Jake is a doctor,either Jake or Raven is a doctor,0.04,0.94,0.02
181,Raven is a doctor,either Jake or Raven is a doctor,0.05,0.88,0.08
182,Connor is a lawyer,either Connor or Diamond is a lawyer,0.08,0.86,0.06
183,Diamond is a lawyer,either Connor or Diamond is a lawyer,0.15,0.80,0.06
184,Jacob is a salesperson,either Jacob or Anita is a salesperson,0.19,0.76,0.05
185,Anita is a salesperson,either Jacob or Anita is a salesperson,0.06,0.89,0.06
186,Hunter is a diplomat,either Hunter or Kia is a diplomat,0.20,0.78,0.03
187,Kia is a diplomat,either Hunter or Kia is a diplomat,0.15,0.81,0.04
188,Cody is an entrepreneur,either Cody or Raven is an entrepreneur,0.10,0.83,0.08
189,Raven is an entrepreneur,either Cody or Raven is an entrepreneur,0.09,0.78,0.13
190,Jack is an opera singer,either Jack or Kia is an opera singer,0.21,0.77,0.02
191,Kia is an opera singer,either Jack or Kia is an opera singer,0.10,0.82,0.07
192,Greg is a firefighter,either Greg or Maya is a firefighter,0.10,0.85,0.05
193,Maya is a firefighter,either Greg or Maya is a firefighter,0.07,0.87,0.07
194,Dylan is a performing artist,either Dylan or Kia is a performing artist,0.33,0.63,0.05
195,Kia is a performing artist,either Dylan or Kia is a performing artist,0.06,0.77,0.17
196,Hunter is a gambler,either Hunter or Kia is a gambler,0.12,0.86,0.02
197,Kia is a gambler,either Hunter or Kia is a gambler,0.21,0.77,0.02
198,Cadan is an attourney,either Cadan or Precious is an attourney,0.24,0.65,0.11
199,Precious is an attourney,either Cadan or Precious is an attourney,0.28,0.61,0.11
